,answer_name,answer_agreement,answer_price,answer_satisfaction,city,model_landlord,model_renter,renter_name,experiment_id,interview_partner,correct_character
0,Peter Schmidt,Yes,825,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,08572bc2-b5ec-4c3b-ac26-5d6b647c2429,landlord,1.0
1,Emilia Müller,Yes,825,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,08572bc2-b5ec-4c3b-ac26-5d6b647c2429,renter,1.0
2,Peter Schmidt,Yes,780,7.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,0ec17f2f-98a8-4ebd-aab2-11f5178dd7e2,landlord,1.0
3,Emilia Müller,Yes,780,7.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,0ec17f2f-98a8-4ebd-aab2-11f5178dd7e2,renter,1.0
4,Peter Schmidt,Yes,775,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,1ca6ad24-e82f-436a-9380-c70c2443bafb,landlord,1.0
5,Emilia Müller,Yes,775,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,1ca6ad24-e82f-436a-9380-c70c2443bafb,renter,1.0
6,Peter Schmidt,No,1.200,3.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3bec85f2-ecba-4c08-a254-5bd648856525,landlord,1.0
7,Emilia Müller,No,1.200,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3bec85f2-ecba-4c08-a254-5bd648856525,renter,1.0
8,Peter Schmidt,Yes,850,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,47538df9-7930-4e52-b0c8-f15c709bcf37,landlord,1.0
9,Emilia Müller,Yes,850,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,47538df9-7930-4e52-b0c8-f15c709bcf37,renter,1.0
10,Peter Schmidt,No,1.500,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,4763f3f0-8ab3-4f9a-8b03-c69b431d22b3,landlord,1.0
11,Emilia Müller,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,4763f3f0-8ab3-4f9a-8b03-c69b431d22b3,renter,1.0
12,Peter Schmidt,Yes,590,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,5cc270b8-4cf3-4521-85d5-94a33d8e1290,landlord,1.0
13,Emilia Müller,Yes,590,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,5cc270b8-4cf3-4521-85d5-94a33d8e1290,renter,1.0
14,Peter Schmidt,Yes,750,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,714d6a3b-a722-4995-bed6-32a4350d6787,landlord,1.0
15,Emilia Müller,Yes,750,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,714d6a3b-a722-4995-bed6-32a4350d6787,renter,1.0
16,Peter Schmidt,Yes,900,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8822823c-72d3-4285-a4ea-f27631378dc3,landlord,1.0
17,Emilia Müller,Yes,900,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8822823c-72d3-4285-a4ea-f27631378dc3,renter,1.0
18,Peter Schmidt,Yes,535,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,92fe64bf-817e-4b79-bee4-b06d2382bc53,landlord,1.0
19,Emilia Müller,Yes,535,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,92fe64bf-817e-4b79-bee4-b06d2382bc53,renter,1.0
20,Peter Schmidt,Yes,1.450,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,a300601c-20b5-486f-ad06-5aaa3337013e,landlord,1.0
21,Emilia Müller,Yes,1.450,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,a300601c-20b5-486f-ad06-5aaa3337013e,renter,1.0
22,Peter Schmidt,No,750,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,a56a4f60-651a-4688-92d1-a2d2d5cb5d82,landlord,1.0
23,Emilia Müller,No,750,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,a56a4f60-651a-4688-92d1-a2d2d5cb5d82,renter,1.0
24,Peter Schmidt,Yes,890,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,ab670acd-7b49-4a95-a08e-cb0fed3351ef,landlord,1.0
25,Emilia Müller,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,ab670acd-7b49-4a95-a08e-cb0fed3351ef,renter,1.0
26,Peter Schmidt,Yes,1.400,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b3ba9350-6d9f-41cf-9f09-a1bd417a6309,landlord,1.0
27,Emilia Müller,Yes,1.400,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b3ba9350-6d9f-41cf-9f09-a1bd417a6309,renter,1.0
