Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Haoyu Wang from China,800.0,1300.0,1100.0,1300.0,0a8287b3-1a6d-4216-aeb2-9b8577b11f7d,9,"1500.0, 800.0, 1200.0, 1300.0","[800.0, 1200.0, 1300.0]"
50,Peter Schmidt from Germany,800.0,1500.0,1270.0,1350.0,0a8287b3-1a6d-4216-aeb2-9b8577b11f7d,9,"1500.0, 800.0, 800.0, 1200.0, 1350.0, 1300.0, 1350.0, 1350.0","[1500.0, 800.0, 1350.0, 1350.0, 1350.0]"
50,Haoyu Wang from China,1000.0,1000.0,1000.0,1000.0,25578bd4-894b-4ff4-8ab8-65dedb417688,6,"1000.0, 1000.0","[1000.0, 1000.0]"
50,Peter Schmidt from Germany,1000.0,2000.0,1250.0,1000.0,25578bd4-894b-4ff4-8ab8-65dedb417688,5,"1000.0, 1000.0, 1000.0, 2000.0, 1000.0","[1000.0, 1000.0, 2000.0, 1000.0]"
50,Haoyu Wang from China,300.0,500.0,430.0,500.0,260f346a-5e26-4e0e-b53c-b40f37ad448d,7,"300.0, 400.0, 450.0, 500.0, 500.0","[300.0, 400.0, 450.0, 500.0, 500.0]"
50,Peter Schmidt from Germany,450.0,550.0,500.0,550.0,260f346a-5e26-4e0e-b53c-b40f37ad448d,6,"450.0, 500.0, 550.0","[450.0, 500.0, 550.0]"
50,Haoyu Wang from China,500.0,1400.0,950.0,1400.0,2fbf2642-c6f8-4e9b-988e-d48315732e8a,11,"500.0, 600.0, 700.0, 800.0, 900.0, 1000.0, 1100.0, 1200.0, 1300.0, 1400.0","[500.0, 600.0, 700.0, 800.0, 900.0, 1000.0, 1100.0, 1200.0, 1300.0, 1400.0]"
50,Peter Schmidt from Germany,0,0,0,0,2fbf2642-c6f8-4e9b-988e-d48315732e8a,11,,[]
50,Haoyu Wang from China,800.0,875.0,841.6666666666666,875.0,3768f246-85c3-45df-9719-01a2e8205348,6,"800.0, 850.0, 875.0","[800.0, 850.0, 875.0]"
50,Peter Schmidt from Germany,875.0,1000.0,931.25,875.0,3768f246-85c3-45df-9719-01a2e8205348,5,"1000.0, 950.0, 800.0, 900.0, 850.0, 875.0","[1000.0, 950.0, 900.0, 875.0]"
50,Haoyu Wang from China,600.0,650.0,625.0,650.0,3de37c33-ab6e-4558-9b56-f98c667ed699,3,"600.0, 650.0","[600.0, 650.0]"
50,Peter Schmidt from Germany,650.0,1000.0,816.6666666666666,650.0,3de37c33-ab6e-4558-9b56-f98c667ed699,3,"1000.0, 600.0, 800.0, 650.0","[1000.0, 800.0, 650.0]"
50,Haoyu Wang from China,400.0,600.0,516.6666666666666,600.0,4183938d-3ffc-4547-8211-1dc740938067,7,"400.0, 500.0, 450.0, 550.0, 500.0, 600.0, 550.0, 650.0, 600.0, 600.0","[400.0, 450.0, 500.0, 550.0, 600.0, 600.0]"
50,Peter Schmidt from Germany,500.0,650.0,580.0,600.0,4183938d-3ffc-4547-8211-1dc740938067,7,"400.0, 500.0, 450.0, 550.0, 500.0, 600.0, 550.0, 650.0, 600.0","[500.0, 550.0, 600.0, 650.0, 600.0]"
50,Haoyu Wang from China,750.0,1050.94,991.08,1050.94,46849f1f-a4fc-4df8-aa01-2f294e10cdba,13,"800.0, 750.0, 1200.0, 850.0, 1100.0, 950.0, 1050.0, 1000.0, 1075.0, 1050.0, 1062.5, 1050.0, 1057.5, 1050.0, 1053.75, 1050.0, 1051.88, 1050.0, 1050.94, 1050.94, 1050.94","[750.0, 850.0, 950.0, 1000.0, 1050.0, 1050.0, 1050.0, 1050.0, 1050.0, 1050.94, 1050.94]"
50,Peter Schmidt from Germany,1050.0,1500.0,1113.8645454545456,1050.94,46849f1f-a4fc-4df8-aa01-2f294e10cdba,13,"1500.0, 750.0, 1200.0, 850.0, 1100.0, 950.0, 1050.0, 1000.0, 1075.0, 1050.0, 1062.5, 1050.0, 1057.5, 1050.0, 1053.75, 1050.0, 1051.88, 1050.0, 1050.94, 1050.94","[1500.0, 1200.0, 1100.0, 1050.0, 1075.0, 1062.5, 1057.5, 1053.75, 1051.88, 1050.94, 1050.94]"
50,Haoyu Wang from China,300.0,950.0,637.5,950.0,55f945ac-6502-4235-a5ef-e971a1d99ccb,14,"300.0, 400.0, 550.0, 450.0, 600.0, 500.0, 650.0, 550.0, 700.0, 600.0, 750.0, 650.0, 800.0, 700.0, 850.0, 800.0, 900.0, 850.0, 950.0, 900.0, 1000.0, 950.0","[300.0, 400.0, 450.0, 500.0, 550.0, 600.0, 650.0, 700.0, 800.0, 850.0, 900.0, 950.0]"
50,Peter Schmidt from Germany,500.0,1000.0,770.8333333333334,1000.0,55f945ac-6502-4235-a5ef-e971a1d99ccb,14,"500.0, 400.0, 550.0, 450.0, 600.0, 500.0, 650.0, 550.0, 700.0, 600.0, 750.0, 650.0, 800.0, 700.0, 850.0, 800.0, 900.0, 850.0, 950.0, 900.0, 1000.0, 1000.0","[500.0, 550.0, 600.0, 650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1000.0]"
50,Haoyu Wang from China,400.0,1200.0,800.0,1200.0,59568c47-fd2b-441b-ae29-e0a159ff9d50,19,"400.0, 450.0, 500.0, 550.0, 600.0, 650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1100.0, 1150.0, 1200.0","[400.0, 450.0, 500.0, 550.0, 600.0, 650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1100.0, 1150.0, 1200.0]"
50,Peter Schmidt from Germany,400.0,1200.0,800.0,1200.0,59568c47-fd2b-441b-ae29-e0a159ff9d50,18,"400.0, 400.0, 450.0, 500.0, 550.0, 600.0, 650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1100.0, 1150.0, 1200.0","[400.0, 450.0, 500.0, 550.0, 600.0, 650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1100.0, 1150.0, 1200.0]"
50,Haoyu Wang from China,600.0,720.0,676.4285714285714,720.0,697c7121-d59f-44c9-adb9-a614d59fa3e1,8,"700.0, 600.0, 650.0, 680.0, 690.0, 695.0, 700.0, 720.0","[600.0, 650.0, 680.0, 690.0, 695.0, 700.0, 720.0]"
50,Peter Schmidt from Germany,720.0,720.0,720.0,720.0,697c7121-d59f-44c9-adb9-a614d59fa3e1,8,720.0,[720.0]
50,Haoyu Wang from China,750.0,800.0,762.5,750.0,6b1605ee-5013-444d-ad81-bd4d11ec7c4e,7,"800.0, 750.0, 750.0, 750.0","[800.0, 750.0, 750.0, 750.0]"
50,Peter Schmidt from Germany,800.0,900.0,850.0,800.0,6b1605ee-5013-444d-ad81-bd4d11ec7c4e,6,"900.0, 850.0, 800.0","[900.0, 850.0, 800.0]"
