Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,400.0,500.0,469.1666666666667,500.0,00c826ef-2a31-45e6-8a3a-cab296e4d7ba,8,"400.0, 450.0, 475.0, 490.0, 500.0, 550.0, 500.0","[400.0, 450.0, 475.0, 490.0, 500.0, 500.0]"
50,Peter Schmidt from Germany,400.0,550.0,475.0,550.0,00c826ef-2a31-45e6-8a3a-cab296e4d7ba,8,"400.0, 550.0","[400.0, 550.0]"
50,Maryam Abbasi from Iran,800.0,1000.0,912.5,1000.0,013145d3-2043-458f-a3e1-2bd8746d38c4,6,"800.0, 900.0, 950.0, 1000.0","[800.0, 900.0, 950.0, 1000.0]"
50,Peter Schmidt from Germany,1000.0,1500.0,1140.0,1000.0,013145d3-2043-458f-a3e1-2bd8746d38c4,5,"1500.0, 800.0, 1200.0, 900.0, 1000.0, 950.0, 1000.0, 1000.0","[1500.0, 1200.0, 1000.0, 1000.0, 1000.0]"
50,Maryam Abbasi from Iran,650.0,700.0,675.0,700.0,0a279a2b-222f-4590-b196-00725b251b1f,8,"650.0, 650.0, 675.0, 685.0, 690.0, 700.0","[650.0, 650.0, 675.0, 685.0, 690.0, 700.0]"
50,Peter Schmidt from Germany,700.0,700.0,700.0,700.0,0a279a2b-222f-4590-b196-00725b251b1f,7,"700.0, 675.0, 700.0, 685.0, 700.0, 700.0, 700.0","[700.0, 700.0, 700.0, 700.0, 700.0]"
50,Maryam Abbasi from Iran,500.0,695.0,652.2,695.0,285d1e11-34dc-4267-9fdd-a4e2e17806d0,12,"500.0, 600.0, 650.0, 660.0, 670.0, 680.0, 685.0, 690.0, 692.0, 695.0","[500.0, 600.0, 650.0, 660.0, 670.0, 680.0, 685.0, 690.0, 692.0, 695.0]"
50,Peter Schmidt from Germany,675.0,800.0,702.8,695.0,285d1e11-34dc-4267-9fdd-a4e2e17806d0,11,"500.0, 800.0, 600.0, 700.0, 650.0, 675.0, 660.0, 685.0, 670.0, 690.0, 680.0, 695.0, 685.0, 698.0, 690.0, 695.0, 692.0, 695.0, 695.0","[800.0, 700.0, 675.0, 685.0, 690.0, 695.0, 698.0, 695.0, 695.0, 695.0]"
50,Maryam Abbasi from Iran,0,0,0,0,2e693360-88fa-4536-9e69-f41b6aeb5203,6,,[]
50,Peter Schmidt from Germany,1700.0,2000.0,1850.0,1700.0,2e693360-88fa-4536-9e69-f41b6aeb5203,6,"2000.0, 1900.0, 1800.0, 1700.0","[2000.0, 1900.0, 1800.0, 1700.0]"
50,Maryam Abbasi from Iran,700.0,850.0,795.0,850.0,3f260c3f-dde9-4fd3-8f9d-42c21bf2ac53,6,"700.0, 800.0, 850.0, 830.0, 850.0","[700.0, 800.0, 830.0, 850.0]"
50,Peter Schmidt from Germany,850.0,1000.0,900.0,850.0,3f260c3f-dde9-4fd3-8f9d-42c21bf2ac53,6,"1000.0, 1000.0, 900.0, 800.0, 850.0, 830.0, 850.0","[1000.0, 900.0, 850.0, 850.0]"
50,Maryam Abbasi from Iran,800.0,870.0,849.0,870.0,44559933-b73f-4800-9963-cdd910436af9,8,"800.0, 850.0, 860.0, 865.0, 870.0","[800.0, 850.0, 860.0, 865.0, 870.0]"
50,Peter Schmidt from Germany,870.0,1000.0,911.6666666666666,870.0,44559933-b73f-4800-9963-cdd910436af9,7,"1000.0, 950.0, 800.0, 900.0, 880.0, 860.0, 870.0, 865.0, 870.0","[1000.0, 950.0, 900.0, 880.0, 870.0, 870.0]"
50,Maryam Abbasi from Iran,850.0,875.0,855.0,875.0,48944fa5-2018-46d2-a2f1-1ebffd229728,6,"850.0, 850.0, 850.0, 850.0, 875.0","[850.0, 850.0, 850.0, 850.0, 875.0]"
50,Peter Schmidt from Germany,875.0,900.0,881.25,875.0,48944fa5-2018-46d2-a2f1-1ebffd229728,6,"900.0, 875.0, 850.0, 875.0, 875.0","[900.0, 875.0, 875.0, 875.0]"
50,Maryam Abbasi from Iran,400.0,600.0,512.5,600.0,4ba1050b-824f-4204-8bc7-4a8b35c21bda,6,"400.0, 500.0, 550.0, 600.0","[400.0, 500.0, 550.0, 600.0]"
50,Peter Schmidt from Germany,600.0,700.0,650.0,600.0,4ba1050b-824f-4204-8bc7-4a8b35c21bda,5,"700.0, 500.0, 650.0, 550.0, 600.0","[700.0, 650.0, 600.0]"
