Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,550.0,725.0,655.0,725.0,095d7b99-7d37-432a-862e-aba291b448ef,7,"550.0, 800.0, 600.0, 700.0, 700.0, 725.0","[550.0, 600.0, 700.0, 700.0, 725.0]"
50,Peter Schmidt from Germany,725.0,1000.0,805.0,725.0,095d7b99-7d37-432a-862e-aba291b448ef,6,"1000.0, 550.0, 800.0, 600.0, 750.0, 750.0, 725.0","[1000.0, 800.0, 750.0, 750.0, 725.0]"
50,Maryam Abbasi from Iran,700.0,850.0,790.0,850.0,0de83f4e-b38c-47ce-a1e7-46dcdcd3bc8c,6,"750.0, 700.0, 800.0, 850.0, 850.0, 850.0","[750.0, 700.0, 800.0, 850.0, 850.0]"
50,Peter Schmidt from Germany,850.0,950.0,900.0,850.0,0de83f4e-b38c-47ce-a1e7-46dcdcd3bc8c,6,"900.0, 950.0, 850.0","[900.0, 950.0, 850.0]"
50,Maryam Abbasi from Iran,1350.0,1500.0,1416.6666666666667,1400.0,0e00c2a2-248d-4c58-b23a-b5e607bc943a,5,"1500.0, 1350.0, 1400.0","[1500.0, 1350.0, 1400.0]"
50,Peter Schmidt from Germany,1400.0,1500.0,1450.0,1400.0,0e00c2a2-248d-4c58-b23a-b5e607bc943a,5,"1500.0, 1400.0","[1500.0, 1400.0]"
50,Maryam Abbasi from Iran,4.0,950.0,460.44444444444446,950.0,24506161-f63a-4edd-a228-41b1bd1ff4bf,8,"600.0, 20.0, 4.0, 20.0, 4.0, 16.0, 800.0, 850.0, 900.0, 950.0","[600.0, 4.0, 20.0, 4.0, 16.0, 800.0, 850.0, 900.0, 950.0]"
50,Peter Schmidt from Germany,4.0,950.0,700.8,950.0,24506161-f63a-4edd-a228-41b1bd1ff4bf,7,"20.0, 4.0, 800.0, 850.0, 900.0, 950.0","[4.0, 800.0, 850.0, 900.0, 950.0]"
50,Maryam Abbasi from Iran,550.0,625.0,602.5,620.0,485b5c32-102b-4b80-be39-037bccc45c40,15,"550.0, 600.0, 620.0, 625.0, 600.0, 610.0, 620.0","[550.0, 600.0, 620.0, 625.0, 600.0, 620.0]"
50,Peter Schmidt from Germany,600.0,650.0,621.0,620.0,485b5c32-102b-4b80-be39-037bccc45c40,14,"650.0, 600.0, 625.0, 600.0, 610.0, 620.0","[650.0, 625.0, 600.0, 610.0, 620.0]"
50,Maryam Abbasi from Iran,0,0,0,0,5bb7eb4f-5dfe-414d-a243-36aacdfe49aa,5,,[]
50,Peter Schmidt from Germany,900.0,1000.0,937.5,900.0,5bb7eb4f-5dfe-414d-a243-36aacdfe49aa,4,"1000.0, 950.0, 900.0, 900.0","[1000.0, 950.0, 900.0, 900.0]"
50,Maryam Abbasi from Iran,500.0,1000.0,787.5,1000.0,61ce112d-920b-4417-871d-505a535551f2,11,"500.0, 600.0, 700.0, 800.0, 850.0, 900.0, 950.0, 1000.0","[500.0, 600.0, 700.0, 800.0, 850.0, 900.0, 950.0, 1000.0]"
50,Peter Schmidt from Germany,600.0,1000.0,828.5714285714286,1000.0,61ce112d-920b-4417-871d-505a535551f2,11,"600.0, 700.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1000.0","[600.0, 700.0, 800.0, 850.0, 900.0, 950.0, 1000.0]"
50,Maryam Abbasi from Iran,500.0,550.0,523.3333333333334,500.0,74798479-e875-44d3-aae8-38137efc4d6a,6,"550.0, 520.0, 500.0","[550.0, 520.0, 500.0]"
50,Peter Schmidt from Germany,0,0,0,0,74798479-e875-44d3-aae8-38137efc4d6a,5,,[]
50,Maryam Abbasi from Iran,550.0,600.0,575.0,600.0,8ba99776-8267-4e78-ad38-2c74e2533430,5,"550.0, 750.0, 600.0","[550.0, 600.0]"
50,Peter Schmidt from Germany,750.0,1000.0,850.0,750.0,8ba99776-8267-4e78-ad38-2c74e2533430,4,"1000.0, 800.0, 750.0","[1000.0, 800.0, 750.0]"
