Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Max Müller from Germany,600.0,750.0,683.3333333333334,750.0,13a4c691-962f-4bf5-9a70-f784da414a95,5,"600.0, 700.0, 750.0","[600.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,750.0,800.0,775.0,750.0,13a4c691-962f-4bf5-9a70-f784da414a95,4,"800.0, 700.0, 750.0","[800.0, 750.0]"
50,Max Müller from Germany,250.0,350.0,300.0,350.0,2fff7fd3-277d-436f-aa11-cf605eeae481,5,"250.0, 350.0","[250.0, 350.0]"
50,Peter Schmidt from Germany,0,0,0,0,2fff7fd3-277d-436f-aa11-cf605eeae481,5,,[]
50,Max Müller from Germany,850.0,900.0,875.0,850.0,36968e5e-c3a9-472a-885c-bc88e5e3f69c,3,"900.0, 850.0","[900.0, 850.0]"
50,Peter Schmidt from Germany,800.0,875.0,833.3333333333334,875.0,36968e5e-c3a9-472a-885c-bc88e5e3f69c,3,"850.0, 825.0, 800.0, 875.0","[825.0, 800.0, 875.0]"
50,Max Müller from Germany,400.0,400.0,400.0,400.0,38c4a87d-b1a5-4ea4-92fd-d3ed62b507b2,5,"400.0, 400.0",[400.0]
50,Peter Schmidt from Germany,0,0,0,0,38c4a87d-b1a5-4ea4-92fd-d3ed62b507b2,4,,[]
50,Max Müller from Germany,600.0,800.0,700.0,800.0,47004e0f-2ab4-4309-8f51-aa5ef1f4a90c,6,"600.0, 900.0, 700.0, 800.0, 800.0","[600.0, 700.0, 800.0]"
50,Peter Schmidt from Germany,800.0,1000.0,900.0,800.0,47004e0f-2ab4-4309-8f51-aa5ef1f4a90c,5,"1000.0, 600.0, 900.0, 700.0, 800.0","[1000.0, 900.0, 800.0]"
50,Max Müller from Germany,300.0,520.0,456.6666666666667,520.0,475642be-7b11-4477-bfeb-c285b1869203,9,"300.0, 450.0, 480.0, 490.0, 500.0, 520.0","[300.0, 450.0, 480.0, 490.0, 500.0, 520.0]"
50,Peter Schmidt from Germany,300.0,550.0,470.0,520.0,475642be-7b11-4477-bfeb-c285b1869203,8,"300.0, 550.0, 450.0, 480.0, 490.0, 500.0, 520.0","[300.0, 550.0, 450.0, 480.0, 490.0, 500.0, 520.0]"
50,Max Müller from Germany,600.0,750.0,683.3333333333334,750.0,576598f3-244d-404b-a16f-f05ffef7d035,5,"600.0, 700.0, 750.0, 750.0","[600.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,750.0,800.0,775.0,750.0,576598f3-244d-404b-a16f-f05ffef7d035,4,"800.0, 700.0, 750.0","[800.0, 750.0]"
50,Max Müller from Germany,600.0,900.0,737.5,850.0,6201eda3-d15d-4ad3-ab98-b02841b78d89,5,"600.0, 700.0, 600.0, 900.0, 850.0, 850.0","[600.0, 600.0, 900.0, 850.0]"
50,Peter Schmidt from Germany,850.0,1000.0,916.6666666666666,850.0,6201eda3-d15d-4ad3-ab98-b02841b78d89,4,"1000.0, 600.0, 900.0, 700.0, 850.0","[1000.0, 900.0, 850.0]"
50,Max Müller from Germany,500.0,575.0,541.6666666666666,575.0,6857fcb6-c89c-4163-a223-3d8d4fccd5a6,4,"500.0, 550.0, 575.0","[500.0, 550.0, 575.0]"
50,Peter Schmidt from Germany,600.0,650.0,625.0,600.0,6857fcb6-c89c-4163-a223-3d8d4fccd5a6,4,"650.0, 600.0","[650.0, 600.0]"
