Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,900.0,1325.0,1131.25,1325.0,164a3fc7-e894-456d-b6da-81fbb4042521,6,"900.0, 1000.0, 1300.0, 1325.0","[900.0, 1000.0, 1300.0, 1325.0]"
50,Peter Schmidt from Germany,1325.0,1500.0,1393.75,1325.0,164a3fc7-e894-456d-b6da-81fbb4042521,5,"1500.0, 900.0, 1400.0, 1000.0, 1350.0, 1325.0","[1500.0, 1400.0, 1350.0, 1325.0]"
50,Yi-Nuo Wang from China,600.0,750.0,683.3333333333334,750.0,29ec5aad-41bb-4d6e-81f5-628d71221441,5,"600.0, 800.0, 700.0, 750.0","[600.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,750.0,1000.0,850.0,750.0,29ec5aad-41bb-4d6e-81f5-628d71221441,5,"1000.0, 600.0, 800.0, 700.0, 750.0","[1000.0, 800.0, 750.0]"
50,Yi-Nuo Wang from China,500.0,600.0,577.2,600.0,2f969894-b759-445b-a5cc-78557d9095b1,12,"500.0, 550.0, 575.0, 580.0, 585.0, 590.0, 595.0, 598.0, 599.0, 600.0","[500.0, 550.0, 575.0, 580.0, 585.0, 590.0, 595.0, 598.0, 599.0, 600.0]"
50,Peter Schmidt from Germany,585.0,700.0,614.2,600.0,2f969894-b759-445b-a5cc-78557d9095b1,11,"700.0, 650.0, 625.0, 600.0, 600.0, 585.0, 600.0, 590.0, 600.0, 595.0, 600.0, 598.0, 600.0, 599.0, 600.0","[700.0, 650.0, 625.0, 600.0, 585.0, 590.0, 595.0, 598.0, 599.0, 600.0]"
50,Yi-Nuo Wang from China,500.0,750.0,640.0,750.0,41c4b496-c805-49b1-8490-9702eecb286b,7,"500.0, 600.0, 650.0, 700.0, 750.0","[500.0, 600.0, 650.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,500.0,850.0,660.0,850.0,41c4b496-c805-49b1-8490-9702eecb286b,6,"500.0, 600.0, 650.0, 700.0, 850.0","[500.0, 600.0, 650.0, 700.0, 850.0]"
50,Yi-Nuo Wang from China,650.0,765.0,730.4,765.0,4a974db0-3dfb-4da4-b194-d4958648f01c,7,"650.0, 725.0, 750.0, 762.0, 765.0","[650.0, 725.0, 750.0, 762.0, 765.0]"
50,Peter Schmidt from Germany,768.0,800.0,779.5,768.0,4a974db0-3dfb-4da4-b194-d4958648f01c,6,"800.0, 725.0, 775.0, 775.0, 768.0","[800.0, 775.0, 775.0, 768.0]"
50,Yi-Nuo Wang from China,500.0,770.0,662.0,770.0,5731808c-9951-4049-91b1-6ee3561bfab3,7,"500.0, 600.0, 700.0, 780.0, 740.0, 770.0, 770.0","[500.0, 600.0, 700.0, 740.0, 770.0]"
50,Peter Schmidt from Germany,750.0,800.0,774.0,770.0,5731808c-9951-4049-91b1-6ee3561bfab3,6,"500.0, 800.0, 600.0, 750.0, 700.0, 780.0, 740.0, 770.0, 770.0","[800.0, 750.0, 780.0, 770.0, 770.0]"
50,Yi-Nuo Wang from China,900.0,1000.0,978.7111111111111,1000.0,5d3ff1b0-266c-4ca1-8a82-4288bc6bf4c7,11,"900.0, 950.0, 975.0, 990.0, 995.0, 999.0, 999.5, 999.9, 1000.0","[900.0, 950.0, 975.0, 990.0, 995.0, 999.0, 999.5, 999.9, 1000.0]"
50,Peter Schmidt from Germany,950.0,1000.0,995.4545454545455,1000.0,5d3ff1b0-266c-4ca1-8a82-4288bc6bf4c7,11,"1000.0, 900.0, 1000.0, 950.0, 950.0, 1000.0, 975.0, 1000.0, 990.0, 1000.0, 995.0, 1000.0, 999.0, 1000.0, 999.5, 1000.0, 999.9, 1000.0, 1000.0","[1000.0, 1000.0, 950.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
50,Yi-Nuo Wang from China,600.0,750.0,683.3333333333334,750.0,5ff15966-d809-4e65-9e8b-c10000b46d55,5,"600.0, 700.0, 750.0","[600.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,750.0,1000.0,850.0,750.0,5ff15966-d809-4e65-9e8b-c10000b46d55,5,"1000.0, 600.0, 800.0, 700.0, 750.0","[1000.0, 800.0, 750.0]"
50,Yi-Nuo Wang from China,850.0,1000.0,916.6666666666666,850.0,69ca245e-17ae-40d4-be7f-d8b1be0c6f4f,6,"1000.0, 10.0, 900.0, 800.0, 850.0","[1000.0, 900.0, 850.0]"
50,Peter Schmidt from Germany,700.0,850.0,783.3333333333334,850.0,69ca245e-17ae-40d4-be7f-d8b1be0c6f4f,5,"700.0, 900.0, 800.0, 850.0","[700.0, 800.0, 850.0]"
50,Yi-Nuo Wang from China,1200.0,1290.0,1262.0,1290.0,75a2068c-d170-4a55-9601-4c0c7b106d8c,7,"1200.0, 1250.0, 1280.0, 1290.0, 1290.0","[1200.0, 1250.0, 1280.0, 1290.0, 1290.0]"
50,Peter Schmidt from Germany,1290.0,1500.0,1363.3333333333333,1290.0,75a2068c-d170-4a55-9601-4c0c7b106d8c,7,"1500.0, 1450.0, 1200.0, 1350.0, 1250.0, 1300.0, 1280.0, 1290.0, 1290.0","[1500.0, 1450.0, 1350.0, 1300.0, 1290.0, 1290.0]"
50,Yi-Nuo Wang from China,900.0,1200.0,1012.5,1000.0,7c6f5054-6991-4553-b650-de1ef919e720,6,"1200.0, 900.0, 1050.0, 950.0, 1000.0","[1200.0, 900.0, 950.0, 1000.0]"
50,Peter Schmidt from Germany,1000.0,1200.0,1083.3333333333333,1000.0,7c6f5054-6991-4553-b650-de1ef919e720,6,"1200.0, 900.0, 1050.0, 950.0, 1000.0","[1200.0, 1050.0, 1000.0]"
50,Yi-Nuo Wang from China,700.0,850.0,775.0,700.0,80ed2973-874b-428b-a532-bcd1351c2893,6,"850.0, 800.0, 800.0, 750.0, 750.0, 700.0","[850.0, 800.0, 750.0, 700.0]"
50,Peter Schmidt from Germany,800.0,800.0,800.0,800.0,80ed2973-874b-428b-a532-bcd1351c2893,5,800.0,[800.0]
50,Yi-Nuo Wang from China,1000.0,1350.0,1235.0,1350.0,87349b21-c6cb-4ea3-960b-de593d78ee38,8,"1000.0, 1200.0, 1300.0, 1325.0, 1350.0","[1000.0, 1200.0, 1300.0, 1325.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,2000.0,1482.142857142857,1375.0,87349b21-c6cb-4ea3-960b-de593d78ee38,8,"2000.0, 1000.0, 1500.0, 1200.0, 1400.0, 1300.0, 1350.0, 1325.0, 1375.0, 1350.0, 1375.0, 1375.0","[2000.0, 1500.0, 1400.0, 1350.0, 1375.0, 1375.0, 1375.0]"
