Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,650.0,950.0,800.0,950.0,07241c71-187f-4a50-b07e-8e66a6c12d2f,8,"650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0","[650.0, 700.0, 750.0, 800.0, 850.0, 900.0, 950.0]"
50,Peter Schmidt from Germany,650.0,950.0,783.3333333333334,950.0,07241c71-187f-4a50-b07e-8e66a6c12d2f,8,"650.0, 700.0, 750.0, 800.0, 850.0, 950.0","[650.0, 700.0, 750.0, 800.0, 850.0, 950.0]"
50,Yi-Nuo Wang from China,600.0,700.0,662.5,700.0,1bbd8a52-2434-4e5d-b337-0de5e13d5aa0,6,"600.0, 650.0, 700.0, 700.0","[600.0, 650.0, 700.0, 700.0]"
50,Peter Schmidt from Germany,0,0,0,0,1bbd8a52-2434-4e5d-b337-0de5e13d5aa0,5,,[]
50,Yi-Nuo Wang from China,1000.0,1125.0,1073.142857142857,1125.0,1d31a22f-edb7-4ece-a250-0ef83fd3714c,8,"1100.0, 1000.0, 1050.0, 1075.0, 1075.0, 1087.0, 1125.0","[1100.0, 1000.0, 1050.0, 1075.0, 1075.0, 1087.0, 1125.0]"
50,Peter Schmidt from Germany,1150.0,1500.0,1316.6666666666667,1150.0,1d31a22f-edb7-4ece-a250-0ef83fd3714c,8,"1500.0, 1300.0, 1150.0","[1500.0, 1300.0, 1150.0]"
50,Yi-Nuo Wang from China,1200.0,1400.0,1316.6666666666667,1350.0,20dd8703-7862-4b20-b225-0267cffee6bd,6,"1200.0, 1300.0, 1400.0, 1350.0","[1200.0, 1400.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,1500.0,1412.5,1350.0,20dd8703-7862-4b20-b225-0267cffee6bd,6,"1500.0, 1200.0, 1400.0, 1300.0, 1400.0, 1350.0, 1350.0","[1500.0, 1400.0, 1400.0, 1350.0]"
50,Yi-Nuo Wang from China,800.0,1000.0,930.0,1000.0,43c7a618-01ec-49aa-96a6-8b9c3b6f2793,8,"800.0, 100.0, 900.0, 950.0, 1000.0, 1000.0","[800.0, 900.0, 950.0, 1000.0, 1000.0]"
50,Peter Schmidt from Germany,800.0,1000.0,900.0,1000.0,43c7a618-01ec-49aa-96a6-8b9c3b6f2793,8,"800.0, 900.0, 1000.0, 1000.0","[800.0, 900.0, 1000.0]"
50,Yi-Nuo Wang from China,24.0,1500.0,1004.8,1500.0,4695595b-9538-474d-be35-7b2e21dd4dfb,7,"1000.0, 1200.0, 1300.0, 24.0, 1500.0","[1000.0, 1200.0, 1300.0, 24.0, 1500.0]"
50,Peter Schmidt from Germany,1500.0,2000.0,1620.0,1500.0,4695595b-9538-474d-be35-7b2e21dd4dfb,6,"2000.0, 1000.0, 1600.0, 1200.0, 1500.0, 1300.0, 1500.0, 1500.0","[2000.0, 1600.0, 1500.0, 1500.0, 1500.0]"
50,Yi-Nuo Wang from China,1000.0,1200.0,1075.0,1000.0,47e56dac-bd8b-4a4d-ada1-ebb3beaec6e4,7,"1200.0, 100.0, 1100.0, 1000.0, 1000.0","[1200.0, 1100.0, 1000.0, 1000.0]"
50,Peter Schmidt from Germany,900.0,1000.0,956.25,1000.0,47e56dac-bd8b-4a4d-ada1-ebb3beaec6e4,6,"900.0, 1100.0, 950.0, 975.0, 1000.0","[900.0, 950.0, 975.0, 1000.0]"
50,Yi-Nuo Wang from China,1300.0,1450.0,1375.0,1300.0,5099762b-0bcd-4277-af4c-c8ea2c68bd57,6,"1250.0, 1450.0, 1250.0, 1300.0","[1450.0, 1300.0]"
50,Peter Schmidt from Germany,1250.0,1500.0,1350.0,1250.0,5099762b-0bcd-4277-af4c-c8ea2c68bd57,6,"1500.0, 1450.0, 1250.0, 1300.0, 1250.0","[1500.0, 1450.0, 1250.0, 1300.0, 1250.0]"
50,Yi-Nuo Wang from China,900.0,1100.0,1000.0,1100.0,536f8962-da16-441d-ae84-e4c0f5caad28,7,"900.0, 950.0, 1000.0, 1050.0, 1100.0","[900.0, 950.0, 1000.0, 1050.0, 1100.0]"
50,Peter Schmidt from Germany,0,0,0,0,536f8962-da16-441d-ae84-e4c0f5caad28,6,,[]
50,Yi-Nuo Wang from China,800.0,950.0,875.0,950.0,55118088-87a2-4150-bbd6-7522e08b8287,7,"800.0, 850.0, 900.0, 950.0","[800.0, 850.0, 900.0, 950.0]"
50,Peter Schmidt from Germany,950.0,950.0,950.0,950.0,55118088-87a2-4150-bbd6-7522e08b8287,6,"950.0, 950.0",[950.0]
50,Yi-Nuo Wang from China,1200.0,1325.0,1275.0,1325.0,71bcc698-dbb5-4ae5-a1f5-5efa62556482,7,"1200.0, 1400.0, 1250.0, 1350.0, 1300.0, 1325.0, 1300.0, 1325.0, 1325.0","[1200.0, 1250.0, 1300.0, 1300.0, 1325.0]"
50,Peter Schmidt from Germany,1325.0,1500.0,1380.0,1325.0,71bcc698-dbb5-4ae5-a1f5-5efa62556482,7,"1500.0, 1200.0, 1400.0, 1250.0, 1350.0, 1300.0, 1325.0, 1300.0, 1325.0","[1500.0, 1400.0, 1350.0, 1325.0, 1325.0]"
50,Yi-Nuo Wang from China,500.0,850.0,708.3333333333334,850.0,74825999-2125-47c9-9736-4852c2e6adcf,7,"500.0, 650.0, 700.0, 750.0, 800.0, 850.0","[500.0, 650.0, 700.0, 750.0, 800.0, 850.0]"
50,Peter Schmidt from Germany,500.0,850.0,690.0,850.0,74825999-2125-47c9-9736-4852c2e6adcf,6,"500.0, 650.0, 700.0, 750.0, 850.0","[500.0, 650.0, 700.0, 750.0, 850.0]"
50,Yi-Nuo Wang from China,24.0,1800.0,1108.0,24.0,7f69ad75-0628-42d9-aa9c-5bf954f1116e,10,"1500.0, 1800.0, 24.0","[1500.0, 1800.0, 24.0]"
