Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Haoyu Wang from China,1300.0,1400.0,1366.6666666666667,1400.0,004f0a42-0775-48fa-98fe-e55319316ed3,6,"1300.0, 1400.0, 1400.0","[1300.0, 1400.0, 1400.0]"
50,Peter Schmidt from Germany,1300.0,1500.0,1400.0,1400.0,004f0a42-0775-48fa-98fe-e55319316ed3,5,"1500.0, 1300.0, 1400.0, 1400.0","[1500.0, 1300.0, 1400.0]"
50,Haoyu Wang from China,1000.0,1300.0,1150.0,1300.0,0f5c64d2-c24e-4fda-90e1-cce5e1416463,7,"1000.0, 1100.0, 1200.0, 1300.0","[1000.0, 1100.0, 1200.0, 1300.0]"
50,Peter Schmidt from Germany,1000.0,1500.0,1220.0,1500.0,0f5c64d2-c24e-4fda-90e1-cce5e1416463,7,"1000.0, 1100.0, 1100.0, 1200.0, 1200.0, 1500.0, 1300.0, 1500.0","[1000.0, 1100.0, 1200.0, 1300.0, 1500.0]"
50,Haoyu Wang from China,1200.0,1900.0,1550.0,1900.0,2d2d9f75-bd6f-476c-9f7c-5253d9081d89,9,"1200.0, 1300.0, 1400.0, 1500.0, 1600.0, 1700.0, 1800.0, 1900.0","[1200.0, 1300.0, 1400.0, 1500.0, 1600.0, 1700.0, 1800.0, 1900.0]"
50,Peter Schmidt from Germany,1900.0,1900.0,1900.0,1900.0,2d2d9f75-bd6f-476c-9f7c-5253d9081d89,8,1900.0,[1900.0]
50,Haoyu Wang from China,700.0,800.0,762.5,800.0,443f0ca7-0c50-44a5-9626-bdd6ab9001ca,6,"700.0, 750.0, 800.0, 800.0, 800.0","[700.0, 750.0, 800.0, 800.0]"
50,Peter Schmidt from Germany,750.0,800.0,775.0,800.0,443f0ca7-0c50-44a5-9626-bdd6ab9001ca,5,"750.0, 800.0","[750.0, 800.0]"
50,Haoyu Wang from China,1200.0,2000.0,1683.3333333333333,2000.0,4a90aa7b-fbf4-44f0-900b-cb6c5abed911,17,"1200.0, 1350.0, 1450.0, 1500.0, 1550.0, 1600.0, 1650.0, 1700.0, 1750.0, 1800.0, 1850.0, 1900.0, 1950.0, 2000.0, 2000.0","[1200.0, 1350.0, 1450.0, 1500.0, 1550.0, 1600.0, 1650.0, 1700.0, 1750.0, 1800.0, 1850.0, 1900.0, 1950.0, 2000.0, 2000.0]"
50,Peter Schmidt from Germany,2000.0,2000.0,2000.0,2000.0,4a90aa7b-fbf4-44f0-900b-cb6c5abed911,17,2000.0,[2000.0]
50,Haoyu Wang from China,0,0,0,0,601b2e18-7ea6-4619-ace3-a33c7e7d9cd8,4,,[]
50,Peter Schmidt from Germany,1200.0,1200.0,1200.0,1200.0,601b2e18-7ea6-4619-ace3-a33c7e7d9cd8,3,1200.0,[1200.0]
50,Haoyu Wang from China,2300.0,2300.0,2300.0,2300.0,767deb61-2edf-4bc6-abd4-01445f1a1c9f,4,"2400.0, 2300.0",[2300.0]
50,Peter Schmidt from Germany,2300.0,2500.0,2400.0,2300.0,767deb61-2edf-4bc6-abd4-01445f1a1c9f,4,"2500.0, 2400.0, 2300.0","[2500.0, 2400.0, 2300.0]"
50,Haoyu Wang from China,2500.0,2629.5,2605.8571428571427,2629.5,8789f25c-6034-41ed-ae0b-046504a5557f,10,"2500.0, 2600.0, 2625.0, 2628.0, 2629.0, 2629.5, 2629.5","[2500.0, 2600.0, 2625.0, 2628.0, 2629.0, 2629.5, 2629.5]"
50,Peter Schmidt from Germany,2629.5,3000.0,2696.785714285714,2629.5,8789f25c-6034-41ed-ae0b-046504a5557f,9,"3000.0, 2700.0, 2650.0, 2637.0, 2630.0, 2631.0, 2629.5","[3000.0, 2700.0, 2650.0, 2637.0, 2630.0, 2631.0, 2629.5]"
50,Haoyu Wang from China,1000.0,1250.0,1125.0,1250.0,89cb16b7-e757-425b-b229-981b4b8893fb,5,"1000.0, 1250.0, 1125.0, 1250.0, 1250.0","[1000.0, 1125.0, 1250.0]"
50,Peter Schmidt from Germany,1250.0,1250.0,1250.0,1250.0,89cb16b7-e757-425b-b229-981b4b8893fb,4,"1250.0, 1250.0, 1250.0","[1250.0, 1250.0]"
50,Haoyu Wang from China,950.0,950.0,950.0,950.0,90783331-d2c5-496a-8220-c7e4169a16fb,4,950.0,[950.0]
50,Peter Schmidt from Germany,950.0,1200.0,1075.0,950.0,90783331-d2c5-496a-8220-c7e4169a16fb,3,"1200.0, 950.0","[1200.0, 950.0]"
50,Haoyu Wang from China,800.0,1000.0,900.0,1000.0,9413acea-a6e1-485e-8efb-efca50ab1e0f,14,"800.0, 850.0, 900.0, 950.0, 1000.0","[800.0, 850.0, 900.0, 950.0, 1000.0]"
50,Peter Schmidt from Germany,800.0,1000.0,900.0,1000.0,9413acea-a6e1-485e-8efb-efca50ab1e0f,14,"800.0, 850.0, 900.0, 950.0, 1000.0","[800.0, 850.0, 900.0, 950.0, 1000.0]"
50,Haoyu Wang from China,950.0,1000.0,966.6666666666666,950.0,aad36d4a-4c0a-4068-af4c-9393253c56ac,5,"1000.0, 950.0, 950.0, 950.0","[1000.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,950.0,1000.0,975.0,950.0,aad36d4a-4c0a-4068-af4c-9393253c56ac,4,"1000.0, 950.0","[1000.0, 950.0]"
50,Haoyu Wang from China,1300.0,1350.0,1325.0,1350.0,ad2fdef3-a3aa-4488-a20e-89adb98cf3cd,5,"1400.0, 1300.0, 1350.0, 1350.0","[1300.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,1500.0,1416.6666666666667,1350.0,ad2fdef3-a3aa-4488-a20e-89adb98cf3cd,4,"1500.0, 1400.0, 1300.0, 1350.0","[1500.0, 1400.0, 1350.0]"
50,Haoyu Wang from China,1700.0,2000.0,1800.0,1700.0,b3f8dd6d-ebec-4b0e-b136-f51b793ce134,7,"2000.0, 1800.0, 1700.0, 1700.0","[2000.0, 1800.0, 1700.0, 1700.0]"
50,Peter Schmidt from Germany,1700.0,2000.0,1780.0,1700.0,b3f8dd6d-ebec-4b0e-b136-f51b793ce134,6,"2000.0, 1800.0, 1700.0, 1700.0, 1700.0","[2000.0, 1800.0, 1700.0, 1700.0, 1700.0]"
50,Haoyu Wang from China,1000.0,1400.0,1200.0,1400.0,b45dc1f0-0294-4303-81be-85ba02c8e1d3,5,"1000.0, 1200.0, 1400.0","[1000.0, 1200.0, 1400.0]"
50,Peter Schmidt from Germany,1000.0,1400.0,1200.0,1400.0,b45dc1f0-0294-4303-81be-85ba02c8e1d3,5,"1000.0, 1200.0, 1400.0","[1000.0, 1200.0, 1400.0]"
50,Haoyu Wang from China,800.0,950.0,890.0,950.0,cd57d1cc-b795-4561-b099-c33fb2fcb275,8,"800.0, 850.0, 900.0, 950.0, 950.0","[800.0, 850.0, 900.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,850.0,950.0,900.0,950.0,cd57d1cc-b795-4561-b099-c33fb2fcb275,8,"850.0, 900.0, 950.0","[850.0, 900.0, 950.0]"
50,Haoyu Wang from China,1000.0,1000.0,1000.0,1000.0,d13e9a4e-41a1-4d62-b6e0-c69a78d8a9d6,5,"1300.0, 1000.0, 1000.0","[1000.0, 1000.0]"
50,Peter Schmidt from Germany,1000.0,1500.0,1266.6666666666667,1000.0,d13e9a4e-41a1-4d62-b6e0-c69a78d8a9d6,4,"1500.0, 1300.0, 1000.0","[1500.0, 1300.0, 1000.0]"
50,Haoyu Wang from China,1250.0,1350.0,1325.0,1350.0,da948bdc-7f5b-4b1a-a45e-930fede91e8f,6,"1250.0, 1350.0, 1350.0, 1350.0","[1250.0, 1350.0, 1350.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,1500.0,1400.0,1350.0,da948bdc-7f5b-4b1a-a45e-930fede91e8f,5,"1500.0, 1400.0, 1250.0, 1350.0, 1350.0","[1500.0, 1400.0, 1350.0, 1350.0]"
50,Haoyu Wang from China,10.0,1125.0,745.0,10.0,dbe8d3e7-5896-44c9-bb05-94e908e6fa1e,6,"1150.0, 1100.0, 1125.0, 10.0","[1100.0, 1125.0, 10.0]"
50,Peter Schmidt from Germany,10.0,1200.0,871.25,10.0,dbe8d3e7-5896-44c9-bb05-94e908e6fa1e,6,"1200.0, 1150.0, 1100.0, 1125.0, 10.0","[1200.0, 1150.0, 1125.0, 10.0]"
50,Haoyu Wang from China,750.0,800.0,775.0,800.0,e59104af-c0ff-4112-8989-fa45c3664629,6,"750.0, 1200.0, 750.0, 1100.0, 800.0, 800.0","[750.0, 750.0, 800.0, 800.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,e59104af-c0ff-4112-8989-fa45c3664629,6,"1200.0, 1100.0","[1200.0, 1100.0]"
50,Haoyu Wang from China,1200.0,1500.0,1380.0,1500.0,efaccfa0-c75e-4e3b-bf0e-14b36a4bb653,6,"1200.0, 1300.0, 1400.0, 1500.0, 1500.0","[1200.0, 1300.0, 1400.0, 1500.0, 1500.0]"
50,Peter Schmidt from Germany,0,0,0,0,efaccfa0-c75e-4e3b-bf0e-14b36a4bb653,6,,[]
50,Haoyu Wang from China,800.0,950.0,900.0,950.0,f7c81ecf-3f0b-40a2-9488-cbea9927986f,6,"800.0, 900.0, 950.0, 950.0","[800.0, 900.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,800.0,1000.0,900.0,1000.0,f7c81ecf-3f0b-40a2-9488-cbea9927986f,5,"800.0, 1000.0","[800.0, 1000.0]"
