Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,450.0,650.0,550.0,650.0,0049581b-4120-4a42-a685-1c9f1a84954a,7,"450.0, 500.0, 550.0, 600.0, 650.0","[450.0, 500.0, 550.0, 600.0, 650.0]"
50,Peter Schmidt from Germany,500.0,650.0,587.5,650.0,0049581b-4120-4a42-a685-1c9f1a84954a,6,"500.0, 550.0, 650.0, 650.0","[500.0, 550.0, 650.0, 650.0]"
50,Maryam Abbasi from Iran,1.0,900.0,550.3333333333334,1.0,01458e20-8a6b-4ada-a4f0-4481c3448bb5,7,"750.0, 900.0, 900.0, 3.0, 1.0","[750.0, 900.0, 1.0]"
50,Peter Schmidt from Germany,1.0,1000.0,475.5,1.0,01458e20-8a6b-4ada-a4f0-4481c3448bb5,6,"1000.0, 750.0, 900.0, 3.0, 1.0, 3.0, 1.0","[1000.0, 900.0, 1.0, 1.0]"
50,Maryam Abbasi from Iran,800.0,910.0,874.0,910.0,14ce7bc8-8727-43ff-89cc-56aea236c273,15,"800.0, 850.0, 900.0, 935.0, 910.0, 910.0","[800.0, 850.0, 900.0, 910.0, 910.0]"
50,Peter Schmidt from Germany,800.0,950.0,904.0,910.0,14ce7bc8-8727-43ff-89cc-56aea236c273,14,"950.0, 800.0, 850.0, 925.0, 900.0, 935.0, 910.0","[950.0, 800.0, 925.0, 935.0, 910.0]"
50,Maryam Abbasi from Iran,600.0,725.0,687.5,725.0,400fd032-1dd8-4f70-97d6-ace5925b6642,6,"600.0, 800.0, 700.0, 750.0, 725.0, 725.0","[600.0, 700.0, 725.0, 725.0]"
50,Peter Schmidt from Germany,750.0,800.0,775.0,750.0,400fd032-1dd8-4f70-97d6-ace5925b6642,5,"800.0, 700.0, 750.0","[800.0, 750.0]"
50,Maryam Abbasi from Iran,850.0,1000.0,908.3333333333334,875.0,4027cf09-9428-4550-88ab-c8f79a7da917,5,"1000.0, 900.0, 850.0, 875.0","[1000.0, 850.0, 875.0]"
50,Peter Schmidt from Germany,875.0,1000.0,912.5,875.0,4027cf09-9428-4550-88ab-c8f79a7da917,4,"1000.0, 900.0, 850.0, 875.0, 875.0","[1000.0, 900.0, 875.0, 875.0]"
