Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Max Müller from Germany,1600.0,1700.0,1666.6666666666667,1700.0,105488e9-c8b2-4028-b134-63d0c9ca67bb,5,"1800.0, 1600.0, 1700.0, 1700.0","[1600.0, 1700.0, 1700.0]"
50,Peter Schmidt from Germany,1700.0,2000.0,1800.0,1700.0,105488e9-c8b2-4028-b134-63d0c9ca67bb,4,"2000.0, 1800.0, 1600.0, 1700.0, 1700.0, 1700.0","[2000.0, 1800.0, 1700.0, 1700.0]"
50,Max Müller from Germany,2000.0,2250.0,2166.6666666666665,2250.0,1067091a-2556-4e05-ad64-d3c5e7563ea8,4,"2000.0, 2250.0, 2250.0","[2000.0, 2250.0, 2250.0]"
50,Peter Schmidt from Germany,2250.0,2500.0,2375.0,2250.0,1067091a-2556-4e05-ad64-d3c5e7563ea8,3,"2500.0, 2000.0, 2250.0","[2500.0, 2250.0]"
50,Max Müller from Germany,2000.0,2150.0,2100.0,2150.0,26b46770-ca30-4577-a3a4-b416a07fb803,6,"2000.0, 2150.0, 2150.0","[2000.0, 2150.0, 2150.0]"
50,Peter Schmidt from Germany,2100.0,2500.0,2333.3333333333335,2100.0,26b46770-ca30-4577-a3a4-b416a07fb803,6,"2500.0, 2400.0, 2000.0, 2100.0","[2500.0, 2400.0, 2100.0]"
50,Max Müller from Germany,1000.0,1100.0,1050.0,1100.0,34095cda-dbe6-460b-98d1-86d165dbb642,6,"1000.0, 1100.0, 1100.0","[1000.0, 1100.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,34095cda-dbe6-460b-98d1-86d165dbb642,5,"1200.0, 1000.0, 1100.0","[1200.0, 1100.0]"
50,Max Müller from Germany,1200.0,1450.0,1362.5,1450.0,34d5e511-bf09-4d53-8ce4-35c7639b6546,5,"1200.0, 1350.0, 1450.0, 1450.0, 1450.0","[1200.0, 1350.0, 1450.0, 1450.0]"
50,Peter Schmidt from Germany,1200.0,1500.0,1400.0,1450.0,34d5e511-bf09-4d53-8ce4-35c7639b6546,4,"1500.0, 1200.0, 1350.0, 1450.0, 1450.0","[1500.0, 1200.0, 1450.0, 1450.0]"
50,Max Müller from Germany,750.0,1050.0,918.75,1050.0,3565ce73-098c-4ab6-9322-5d27158705a5,9,"750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1050.0","[750.0, 800.0, 850.0, 900.0, 950.0, 1000.0, 1050.0, 1050.0]"
50,Peter Schmidt from Germany,750.0,1050.0,933.3333333333334,1050.0,3565ce73-098c-4ab6-9322-5d27158705a5,8,"750.0, 1000.0, 1050.0, 1050.0","[750.0, 1000.0, 1050.0]"
50,Max Müller from Germany,1000.0,1200.0,1080.0,1050.0,3b23c162-3373-4c0b-ab4f-7ae2e681103e,8,"1200.0, 1000.0, 1100.0, 1050.0, 1050.0","[1200.0, 1000.0, 1100.0, 1050.0, 1050.0]"
50,Peter Schmidt from Germany,1050.0,1200.0,1100.0,1050.0,3b23c162-3373-4c0b-ab4f-7ae2e681103e,7,"1200.0, 1000.0, 1100.0, 1050.0, 1050.0","[1200.0, 1100.0, 1050.0, 1050.0]"
50,Max Müller from Germany,0,0,0,0,4ac22ea5-56d2-441b-985b-dc3fff0523b4,2,,[]
50,Peter Schmidt from Germany,2000.0,2000.0,2000.0,2000.0,4ac22ea5-56d2-441b-985b-dc3fff0523b4,1,2000.0,[2000.0]
50,Max Müller from Germany,1000.0,1500.0,1262.5,1500.0,4f09f2ef-0882-46f8-967e-1997a2787a9c,9,"1000.0, 1200.0, 1350.0, 1500.0","[1000.0, 1200.0, 1350.0, 1500.0]"
50,Peter Schmidt from Germany,1000.0,1800.0,1337.5,1800.0,4f09f2ef-0882-46f8-967e-1997a2787a9c,8,"1000.0, 1200.0, 1350.0, 1800.0","[1000.0, 1200.0, 1350.0, 1800.0]"
