Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Emilia Müller from Germany,300.0,425.0,399.1666666666667,425.0,01793b1d-d352-4480-b671-80a5fa874ed7,7,"300.0, 400.0, 450.0, 425.0, 420.0, 6.0, 425.0, 425.0","[300.0, 400.0, 425.0, 420.0, 425.0, 425.0]"
50,Peter Schmidt from Germany,6.0,500.0,374.3333333333333,435.0,01793b1d-d352-4480-b671-80a5fa874ed7,7,"500.0, 400.0, 450.0, 425.0, 435.0, 420.0, 6.0, 420.0, 425.0, 435.0","[500.0, 450.0, 435.0, 6.0, 420.0, 435.0]"
50,Emilia Müller from Germany,350.0,490.0,445.0,490.0,0c5ad364-37cf-45df-84eb-646cc05e0d07,5,"350.0, 650.0, 450.0, 550.0, 490.0, 490.0, 490.0","[350.0, 450.0, 490.0, 490.0]"
50,Peter Schmidt from Germany,490.0,650.0,545.0,490.0,0c5ad364-37cf-45df-84eb-646cc05e0d07,5,"350.0, 650.0, 450.0, 550.0, 490.0, 490.0, 490.0","[650.0, 550.0, 490.0, 490.0]"
50,Emilia Müller from Germany,300.0,400.0,350.0,400.0,20cfcf4c-4275-410a-9bba-d72328ba48b9,5,"300.0, 350.0, 400.0","[300.0, 350.0, 400.0]"
50,Peter Schmidt from Germany,300.0,400.0,350.0,400.0,20cfcf4c-4275-410a-9bba-d72328ba48b9,5,"300.0, 350.0, 400.0","[300.0, 350.0, 400.0]"
50,Emilia Müller from Germany,350.0,460.0,417.0,460.0,2ac7bacd-35c0-4325-b203-3f29eb29964e,6,"350.0, 400.0, 450.0, 425.0, 475.0, 450.0, 460.0, 460.0","[350.0, 400.0, 425.0, 450.0, 460.0]"
50,Peter Schmidt from Germany,425.0,500.0,462.0,460.0,2ac7bacd-35c0-4325-b203-3f29eb29964e,6,"500.0, 400.0, 450.0, 500.0, 425.0, 475.0, 460.0","[500.0, 450.0, 425.0, 475.0, 460.0]"
50,Emilia Müller from Germany,300.0,450.0,393.75,450.0,4bad26ab-fc54-4eff-ba0a-336cfd827ee7,7,"300.0, 400.0, 425.0, 450.0","[300.0, 400.0, 425.0, 450.0]"
50,Peter Schmidt from Germany,450.0,500.0,466.6666666666667,450.0,4bad26ab-fc54-4eff-ba0a-336cfd827ee7,6,"300.0, 500.0, 400.0, 450.0, 425.0, 450.0","[500.0, 450.0, 450.0]"
50,Emilia Müller from Germany,500.0,650.0,583.3333333333334,650.0,556fd535-e456-4e95-98c2-b7059e9fbbcf,33,"500.0, 700.0, 600.0, 650.0","[500.0, 600.0, 650.0]"
50,Peter Schmidt from Germany,650.0,700.0,666.6666666666666,650.0,556fd535-e456-4e95-98c2-b7059e9fbbcf,32,"500.0, 700.0, 600.0, 650.0, 650.0","[700.0, 650.0, 650.0]"
50,Emilia Müller from Germany,400.0,475.0,454.0,475.0,560fcab8-2b1b-4a4c-a1d6-d81edc73555f,9,"400.0, 450.0, 470.0, 475.0, 475.0","[400.0, 450.0, 470.0, 475.0, 475.0]"
50,Peter Schmidt from Germany,475.0,500.0,482.5,480.0,560fcab8-2b1b-4a4c-a1d6-d81edc73555f,8,"500.0, 450.0, 475.0, 480.0, 480.0, 480.0, 480.0","[500.0, 475.0, 480.0, 480.0, 480.0, 480.0]"
50,Emilia Müller from Germany,500.0,560.0,536.6666666666666,560.0,6e472b83-e852-480f-a9d5-1c74a41227de,8,"500.0, 600.0, 550.0, 575.0, 560.0","[500.0, 550.0, 560.0]"
