Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,500.0,750.0,625.0,750.0,003214c1-9649-4af5-bcd1-f93f9c810825,8,"500.0, 550.0, 600.0, 650.0, 700.0, 750.0","[500.0, 550.0, 600.0, 650.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,550.0,750.0,637.5,750.0,003214c1-9649-4af5-bcd1-f93f9c810825,8,"550.0, 600.0, 650.0, 750.0, 750.0","[550.0, 600.0, 650.0, 750.0]"
50,Farhad Abbasi from Iran,450.0,500.0,468.75,475.0,02e5d921-aaca-40a8-865d-e8a055fff02b,19,"500.0, 450.0, 450.0, 475.0","[500.0, 450.0, 450.0, 475.0]"
50,Peter Schmidt from Germany,475.0,500.0,483.3333333333333,475.0,02e5d921-aaca-40a8-865d-e8a055fff02b,19,"450.0, 500.0, 475.0, 475.0","[500.0, 475.0, 475.0]"
50,Farhad Abbasi from Iran,350.0,450.0,400.0,450.0,200b6402-2cdc-4c05-99d9-f28bf184497b,4,"350.0, 500.0, 400.0, 450.0","[350.0, 400.0, 450.0]"
50,Peter Schmidt from Germany,450.0,500.0,466.6666666666667,450.0,200b6402-2cdc-4c05-99d9-f28bf184497b,4,"500.0, 400.0, 450.0, 450.0","[500.0, 450.0, 450.0]"
50,Farhad Abbasi from Iran,300.0,440.0,399.0,440.0,28ea1227-1169-463c-8f67-931817d610ee,8,"300.0, 400.0, 425.0, 430.0, 440.0","[300.0, 400.0, 425.0, 430.0, 440.0]"
50,Peter Schmidt from Germany,450.0,500.0,457.14285714285717,450.0,28ea1227-1169-463c-8f67-931817d610ee,8,"500.0, 400.0, 450.0, 450.0, 430.0, 450.0, 440.0, 450.0, 440.0, 450.0, 450.0","[500.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0]"
50,Farhad Abbasi from Iran,450.0,495.0,478.75,495.0,2a7332bb-0d2f-45df-a86a-e90db95bb249,6,"450.0, 480.0, 490.0, 495.0","[450.0, 480.0, 490.0, 495.0]"
50,Peter Schmidt from Germany,450.0,500.0,485.0,495.0,2a7332bb-0d2f-45df-a86a-e90db95bb249,6,"450.0, 500.0, 500.0, 495.0, 495.0","[450.0, 500.0, 495.0, 495.0]"
50,Farhad Abbasi from Iran,11.0,480.0,358.2,11.0,2fe940a9-be0b-42ec-9a8b-f27f4173140b,9,"450.0, 420.0, 430.0, 480.0, 11.0","[450.0, 420.0, 430.0, 480.0, 11.0]"
50,Peter Schmidt from Germany,11.0,480.0,361.2,11.0,2fe940a9-be0b-42ec-9a8b-f27f4173140b,9,"450.0, 420.0, 435.0, 430.0, 480.0, 11.0","[450.0, 435.0, 430.0, 480.0, 11.0]"
50,Farhad Abbasi from Iran,500.0,600.0,550.0,525.0,3438f36f-7856-4d47-8670-3e37961c5579,8,"500.0, 550.0, 650.0, 600.0, 625.0, 575.0, 600.0, 550.0, 600.0, 525.0","[500.0, 550.0, 600.0, 575.0, 550.0, 525.0]"
50,Peter Schmidt from Germany,600.0,700.0,629.1666666666666,600.0,3438f36f-7856-4d47-8670-3e37961c5579,7,"700.0, 650.0, 650.0, 625.0, 575.0, 600.0, 600.0, 600.0, 525.0, 600.0","[700.0, 650.0, 625.0, 600.0, 600.0, 600.0]"
50,Farhad Abbasi from Iran,300.0,390.0,349.0,390.0,391a9409-8a45-4c74-8e3f-b4028b1c9b38,8,"300.0, 350.0, 300.0, 400.0, 375.0, 380.0, 390.0","[300.0, 300.0, 375.0, 380.0, 390.0]"
