Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,800.0,1075.0,1051.5625,1075.0,088a71a4-e81d-42c1-95c1-f42b5ec65ca0,18,"800.0, 1200.0, 1000.0, 1000.0, 1050.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0","[800.0, 1000.0, 1050.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0, 1075.0]"
50,Peter Schmidt from Germany,1080.0,1200.0,1094.6666666666667,1080.0,088a71a4-e81d-42c1-95c1-f42b5ec65ca0,17,"800.0, 1200.0, 1000.0, 1150.0, 1100.0, 1075.0, 1090.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0, 1075.0, 1080.0","[1200.0, 1150.0, 1100.0, 1090.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0, 1080.0]"
50,Farhad Abbasi from Iran,850.0,910.0,888.3333333333334,910.0,088f4ff9-18aa-46ee-893a-5984347308e9,7,"900.0, 850.0, 880.0, 890.0, 900.0, 910.0, 910.0","[900.0, 850.0, 880.0, 890.0, 900.0, 910.0]"
50,Peter Schmidt from Germany,850.0,920.0,895.0,910.0,088f4ff9-18aa-46ee-893a-5984347308e9,7,"900.0, 850.0, 880.0, 890.0, 920.0, 900.0, 910.0, 910.0","[900.0, 850.0, 880.0, 920.0, 910.0, 910.0]"
50,Farhad Abbasi from Iran,500.0,850.0,675.0,850.0,10c00a12-c732-4f89-8f1b-24f064c03a14,6,"500.0, 800.0, 650.0, 700.0, 850.0","[500.0, 650.0, 700.0, 850.0]"
50,Peter Schmidt from Germany,800.0,850.0,837.5,850.0,10c00a12-c732-4f89-8f1b-24f064c03a14,6,"500.0, 800.0, 650.0, 850.0, 850.0, 850.0","[800.0, 850.0, 850.0, 850.0]"
50,Farhad Abbasi from Iran,600.0,850.0,750.0,850.0,1637ba36-fb51-4372-abc2-da75521ebbd8,5,"600.0, 800.0, 850.0","[600.0, 800.0, 850.0]"
50,Peter Schmidt from Germany,800.0,900.0,850.0,850.0,1637ba36-fb51-4372-abc2-da75521ebbd8,5,"600.0, 900.0, 800.0, 850.0","[900.0, 800.0, 850.0]"
50,Farhad Abbasi from Iran,400.0,600.0,525.0,600.0,16e22256-9986-4f5d-9b98-6b27a1ad3616,6,"400.0, 500.0, 650.0, 600.0, 600.0","[400.0, 500.0, 600.0, 600.0]"
50,Peter Schmidt from Germany,600.0,800.0,675.0,600.0,16e22256-9986-4f5d-9b98-6b27a1ad3616,5,"400.0, 800.0, 500.0, 650.0, 600.0, 650.0, 600.0","[800.0, 650.0, 650.0, 600.0]"
