Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Haoyu Wang from China,350.0,500.0,450.0,500.0,08beb5ea-45d0-4094-85ad-af9c6930b254,6,"350.0, 450.0, 475.0, 475.0, 500.0","[350.0, 450.0, 475.0, 475.0, 500.0]"
50,Peter Schmidt from Germany,475.0,550.0,505.0,500.0,08beb5ea-45d0-4094-85ad-af9c6930b254,6,"550.0, 450.0, 500.0, 475.0, 475.0, 500.0, 500.0","[550.0, 500.0, 475.0, 500.0, 500.0]"
50,Haoyu Wang from China,300.0,420.0,385.0,420.0,0b8052ba-4b9b-4e48-9ffa-21c953bb0699,5,"300.0, 400.0, 450.0, 420.0, 420.0","[300.0, 400.0, 420.0, 420.0]"
50,Peter Schmidt from Germany,300.0,450.0,390.0,420.0,0b8052ba-4b9b-4e48-9ffa-21c953bb0699,5,"300.0, 400.0, 450.0, 420.0","[300.0, 450.0, 420.0]"
50,Haoyu Wang from China,500.0,650.0,575.0,650.0,0db6cf0c-96e5-44cf-a2d5-b08f8659e70d,6,"500.0, 550.0, 600.0, 650.0","[500.0, 550.0, 600.0, 650.0]"
50,Peter Schmidt from Germany,700.0,700.0,700.0,700.0,0db6cf0c-96e5-44cf-a2d5-b08f8659e70d,6,700.0,[700.0]
50,Haoyu Wang from China,300.0,450.0,370.0,450.0,101a8845-4acf-457e-a2f9-a1c2f22ad76b,6,"300.0, 350.0, 380.0, 450.0","[300.0, 350.0, 380.0, 450.0]"
50,Peter Schmidt from Germany,400.0,450.0,437.5,450.0,101a8845-4acf-457e-a2f9-a1c2f22ad76b,6,"350.0, 400.0, 380.0, 450.0, 450.0, 450.0","[400.0, 450.0, 450.0, 450.0]"
50,Haoyu Wang from China,450.0,470.0,460.0,470.0,1b733e86-5bb2-47a3-8280-44c53a9945f1,5,"450.0, 500.0, 460.0, 475.0, 460.0, 470.0","[450.0, 460.0, 460.0, 470.0]"
50,Peter Schmidt from Germany,470.0,500.0,480.0,470.0,1b733e86-5bb2-47a3-8280-44c53a9945f1,5,"450.0, 500.0, 475.0, 475.0, 470.0","[500.0, 475.0, 475.0, 470.0]"
50,Haoyu Wang from China,400.0,470.0,447.5,470.0,1ddd1fae-2f3a-4256-acd9-6dfa22ce3d7a,5,"400.0, 400.0, 450.0, 470.0, 470.0","[400.0, 450.0, 470.0, 470.0]"
50,Peter Schmidt from Germany,470.0,500.0,486.25,470.0,1ddd1fae-2f3a-4256-acd9-6dfa22ce3d7a,5,"500.0, 500.0, 450.0, 500.0, 475.0, 470.0, 470.0","[500.0, 500.0, 475.0, 470.0]"
50,Haoyu Wang from China,400.0,500.0,462.5,500.0,25fe618f-d022-40bb-986d-792afca26ca5,6,"400.0, 450.0, 500.0, 500.0","[400.0, 450.0, 500.0, 500.0]"
50,Peter Schmidt from Germany,400.0,500.0,450.0,500.0,25fe618f-d022-40bb-986d-792afca26ca5,6,"400.0, 550.0, 450.0, 500.0","[400.0, 450.0, 500.0]"
