Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,500.0,700.0,630.0,700.0,03fcb43c-059d-453e-9aae-4a7cbc81b235,7,"500.0, 600.0, 630.0, 660.0, 690.0, 700.0","[500.0, 600.0, 630.0, 660.0, 690.0, 700.0]"
50,Peter Schmidt from Germany,650.0,700.0,688.3333333333334,700.0,03fcb43c-059d-453e-9aae-4a7cbc81b235,7,"700.0, 600.0, 650.0, 630.0, 680.0, 660.0, 700.0, 700.0, 700.0","[700.0, 650.0, 680.0, 700.0, 700.0, 700.0]"
50,Maryam Abbasi from Iran,350.0,499.99999999,460.89120370375,499.99999999,0ff54b60-2802-44d3-9c4f-4b40556294d9,25,"350.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 425.0, 400.0, 400.0, 450.0, 475.0, 400.0, 400.0, 480.0, 490.0, 495.0, 498.0, 499.0, 499.5, 499.9, 499.99, 499.999, 499.9999, 499.99999, 499.999999, 499.9999999, 499.99999999, 499.99999999","[350.0, 400.0, 400.0, 400.0, 400.0, 425.0, 400.0, 450.0, 475.0, 400.0, 480.0, 490.0, 495.0, 498.0, 499.0, 499.5, 499.9, 499.99, 499.999, 499.9999, 499.99999, 499.999999, 499.9999999, 499.99999999]"
50,Peter Schmidt from Germany,450.0,500.0,497.82608695652175,500.0,0ff54b60-2802-44d3-9c4f-4b40556294d9,25,"350.0, 500.0, 400.0, 450.0, 400.0, 500.0, 400.0, 500.0, 400.0, 500.0, 425.0, 500.0, 400.0, 500.0, 450.0, 500.0, 475.0, 500.0, 400.0, 500.0, 480.0, 500.0, 490.0, 500.0, 495.0, 500.0, 498.0, 500.0, 499.0, 500.0, 499.5, 500.0, 499.9, 500.0, 499.99, 500.0, 499.999, 500.0, 499.9999, 500.0, 499.99999, 500.0, 499.999999, 500.0, 499.9999999, 500.0","[500.0, 450.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
50,Maryam Abbasi from Iran,500.0,650.0,575.0,650.0,1ec7b346-2d19-4354-ae92-1873fbc4392d,7,"500.0, 550.0, 600.0, 650.0","[500.0, 550.0, 600.0, 650.0]"
50,Peter Schmidt from Germany,500.0,650.0,590.0,650.0,1ec7b346-2d19-4354-ae92-1873fbc4392d,7,"500.0, 550.0, 600.0, 650.0, 650.0, 650.0","[500.0, 550.0, 600.0, 650.0, 650.0]"
50,Maryam Abbasi from Iran,300.0,400.0,350.0,400.0,267a42d0-0f98-4972-aa31-e6758566364d,5,"300.0, 350.0, 400.0","[300.0, 350.0, 400.0]"
50,Peter Schmidt from Germany,300.0,400.0,362.5,400.0,267a42d0-0f98-4972-aa31-e6758566364d,5,"300.0, 350.0, 400.0, 400.0","[300.0, 350.0, 400.0, 400.0]"
50,Maryam Abbasi from Iran,450.0,517.5,500.6875,517.5,321b5e3e-9796-485c-8fc4-4b429bfd3afd,10,"450.0, 480.0, 550.0, 500.0, 510.0, 515.0, 516.0, 517.0, 517.5","[450.0, 480.0, 500.0, 510.0, 515.0, 516.0, 517.0, 517.5]"
50,Peter Schmidt from Germany,450.0,550.0,514.375,517.5,321b5e3e-9796-485c-8fc4-4b429bfd3afd,9,"450.0, 480.0, 550.0, 500.0, 525.0, 510.0, 520.0, 515.0, 518.0, 516.0, 517.0, 517.0, 517.5, 517.5","[450.0, 550.0, 525.0, 520.0, 518.0, 517.0, 517.5, 517.5]"
