Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,500.0,550.0,525.0,550.0,072376da-9fbb-4044-87d1-ccbfb00ce592,3,"500.0, 600.0, 550.0","[500.0, 550.0]"
50,Peter Schmidt from Germany,550.0,600.0,575.0,550.0,072376da-9fbb-4044-87d1-ccbfb00ce592,3,"500.0, 600.0, 550.0, 550.0","[600.0, 550.0]"
50,Yi-Nuo Wang from China,400.0,510.0,465.0,510.0,0b93e909-8e8f-4b9a-ae14-17148b30be98,7,"400.0, 450.0, 550.0, 500.0, 525.0, 510.0","[400.0, 450.0, 500.0, 510.0]"
50,Peter Schmidt from Germany,400.0,550.0,496.25,510.0,0b93e909-8e8f-4b9a-ae14-17148b30be98,6,"400.0, 450.0, 550.0, 500.0, 525.0, 510.0","[400.0, 550.0, 525.0, 510.0]"
50,Yi-Nuo Wang from China,300.0,500.0,412.5,500.0,1fdad1ef-1a86-434e-94c7-ddc07e7be7ed,5,"300.0, 400.0, 450.0, 500.0","[300.0, 400.0, 450.0, 500.0]"
50,Peter Schmidt from Germany,300.0,500.0,425.0,500.0,1fdad1ef-1a86-434e-94c7-ddc07e7be7ed,5,"300.0, 400.0, 450.0, 500.0, 500.0","[300.0, 400.0, 500.0, 500.0]"
50,Yi-Nuo Wang from China,400.0,510.0,465.0,510.0,1fdce8b8-29a9-4abf-af70-e30d062c9c4b,8,"400.0, 450.0, 525.0, 500.0, 525.0, 510.0","[400.0, 450.0, 500.0, 510.0]"
50,Peter Schmidt from Germany,525.0,600.0,543.75,525.0,1fdce8b8-29a9-4abf-af70-e30d062c9c4b,7,"600.0, 450.0, 525.0, 500.0, 525.0, 510.0, 525.0","[600.0, 525.0, 525.0, 525.0]"
50,Yi-Nuo Wang from China,500.0,675.0,618.0,675.0,27e02913-a7d9-433c-8532-5028170b61f5,7,"500.0, 650.0, 625.0, 640.0, 675.0","[500.0, 650.0, 625.0, 640.0, 675.0]"
50,Peter Schmidt from Germany,650.0,700.0,675.0,675.0,27e02913-a7d9-433c-8532-5028170b61f5,7,"700.0, 650.0, 675.0, 625.0, 650.0, 640.0, 675.0, 645.0, 675.0, 675.0","[700.0, 675.0, 650.0, 675.0, 675.0, 675.0]"
50,Yi-Nuo Wang from China,450.0,525.0,488.75,525.0,31ad8967-c791-4507-8a66-2300117b48f4,6,"450.0, 480.0, 500.0, 525.0, 525.0","[450.0, 480.0, 500.0, 525.0]"
50,Peter Schmidt from Germany,450.0,550.0,512.5,525.0,31ad8967-c791-4507-8a66-2300117b48f4,6,"450.0, 480.0, 550.0, 500.0, 525.0, 525.0","[450.0, 550.0, 525.0, 525.0]"
50,Yi-Nuo Wang from China,480.0,550.0,505.0,550.0,49238dcc-de1c-4ff1-b631-67098d5c1858,7,"500.0, 500.0, 480.0, 490.0, 550.0","[500.0, 480.0, 490.0, 550.0]"
50,Peter Schmidt from Germany,500.0,600.0,550.0,550.0,49238dcc-de1c-4ff1-b631-67098d5c1858,6,"500.0, 480.0, 600.0, 490.0, 550.0, 550.0","[500.0, 600.0, 550.0, 550.0]"
50,Yi-Nuo Wang from China,450.0,550.0,499.1666666666667,550.0,5028c3b9-67b6-4286-a7f5-8f206e8f2677,7,"450.0, 500.0, 480.0, 485.0, 510.0, 520.0, 550.0","[450.0, 480.0, 485.0, 510.0, 520.0, 550.0]"
50,Peter Schmidt from Germany,550.0,600.0,558.3333333333334,550.0,5028c3b9-67b6-4286-a7f5-8f206e8f2677,7,"600.0, 500.0, 550.0, 550.0, 510.0, 550.0, 520.0, 550.0, 550.0","[600.0, 550.0, 550.0, 550.0, 550.0, 550.0]"
50,Yi-Nuo Wang from China,500.0,575.0,541.6666666666666,575.0,542134dc-1853-4dae-8085-af6106361615,4,"500.0, 600.0, 550.0, 575.0","[500.0, 550.0, 575.0]"
50,Peter Schmidt from Germany,554.0,600.0,576.3333333333334,554.0,542134dc-1853-4dae-8085-af6106361615,4,"600.0, 600.0, 575.0, 554.0","[600.0, 575.0, 554.0]"
50,Yi-Nuo Wang from China,300.0,450.0,383.3333333333333,450.0,572718fc-60c6-4ae9-b97e-e3a27fdab4c8,7,"300.0, 400.0, 450.0","[300.0, 400.0, 450.0]"
50,Peter Schmidt from Germany,300.0,450.0,412.5,450.0,572718fc-60c6-4ae9-b97e-e3a27fdab4c8,6,"300.0, 400.0, 450.0, 450.0, 450.0","[300.0, 450.0, 450.0, 450.0]"
50,Yi-Nuo Wang from China,300.0,465.0,416.6666666666667,465.0,5d64cef4-76bf-4e70-8660-700074ff28ca,8,"300.0, 500.0, 400.0, 450.0, 425.0, 475.0, 450.0, 475.0, 460.0, 475.0, 465.0","[300.0, 400.0, 425.0, 450.0, 460.0, 465.0]"
50,Peter Schmidt from Germany,450.0,500.0,471.42857142857144,475.0,5d64cef4-76bf-4e70-8660-700074ff28ca,8,"300.0, 500.0, 400.0, 450.0, 425.0, 475.0, 450.0, 475.0, 475.0, 475.0","[500.0, 450.0, 475.0, 450.0, 475.0, 475.0, 475.0]"
50,Yi-Nuo Wang from China,300.0,500.0,450.0,500.0,6af8a32b-086a-4310-86ba-562ec87f8769,9,"300.0, 400.0, 450.0, 500.0, 480.0, 485.0, 490.0, 495.0, 500.0","[300.0, 400.0, 450.0, 480.0, 485.0, 490.0, 495.0, 500.0]"
