Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,700.0,950.0,833.3333333333334,950.0,0b7cccba-9f49-4949-8b92-72ee5dcb465c,5,"700.0, 850.0, 950.0","[700.0, 850.0, 950.0]"
50,Peter Schmidt from Germany,950.0,1000.0,966.6666666666666,950.0,0b7cccba-9f49-4949-8b92-72ee5dcb465c,5,"1000.0, 850.0, 950.0, 950.0","[1000.0, 950.0, 950.0]"
50,Yi-Nuo Wang from China,500.0,660.0,608.0,660.0,0c542f94-cfe0-46be-ac2e-a5ba1af1f2a7,7,"500.0, 600.0, 630.0, 675.0, 650.0, 660.0","[500.0, 600.0, 630.0, 650.0, 660.0]"
50,Peter Schmidt from Germany,500.0,675.0,629.0,660.0,0c542f94-cfe0-46be-ac2e-a5ba1af1f2a7,6,"500.0, 600.0, 650.0, 630.0, 675.0, 675.0, 660.0, 660.0","[500.0, 650.0, 675.0, 660.0, 660.0]"
50,Yi-Nuo Wang from China,500.0,750.0,677.1428571428571,750.0,0ffb0849-54b3-4cc5-ab4d-8fc4ffcbb836,10,"500.0, 600.0, 700.0, 700.0, 740.0, 750.0, 750.0","[500.0, 600.0, 700.0, 700.0, 740.0, 750.0, 750.0]"
50,Peter Schmidt from Germany,500.0,800.0,714.2857142857143,750.0,0ffb0849-54b3-4cc5-ab4d-8fc4ffcbb836,10,"500.0, 600.0, 800.0, 700.0, 750.0, 740.0, 750.0, 750.0, 750.0","[500.0, 800.0, 700.0, 750.0, 750.0, 750.0, 750.0]"
50,Yi-Nuo Wang from China,400.0,500.0,457.5,500.0,15533baa-6a17-479d-a651-1a3a6ab6eaec,5,"400.0, 450.0, 480.0, 500.0","[400.0, 450.0, 480.0, 500.0]"
50,Peter Schmidt from Germany,400.0,525.0,481.25,500.0,15533baa-6a17-479d-a651-1a3a6ab6eaec,5,"400.0, 450.0, 500.0, 480.0, 525.0, 500.0, 500.0","[400.0, 500.0, 525.0, 500.0]"
50,Yi-Nuo Wang from China,400.0,590.0,523.0,590.0,221ab50b-dcce-404a-8ba3-70d0132b52a3,6,"400.0, 800.0, 500.0, 650.0, 550.0, 600.0, 575.0, 590.0, 590.0","[400.0, 500.0, 550.0, 575.0, 590.0]"
50,Peter Schmidt from Germany,590.0,800.0,646.0,590.0,221ab50b-dcce-404a-8ba3-70d0132b52a3,6,"400.0, 800.0, 500.0, 650.0, 550.0, 600.0, 575.0, 590.0, 590.0","[800.0, 650.0, 600.0, 590.0, 590.0]"
50,Yi-Nuo Wang from China,500.0,800.0,687.5,800.0,27481574-e404-4c78-886e-848dacc55b5a,14,"500.0, 700.0, 750.0, 800.0","[500.0, 700.0, 750.0, 800.0]"
50,Peter Schmidt from Germany,500.0,800.0,700.0,800.0,27481574-e404-4c78-886e-848dacc55b5a,13,"500.0, 700.0, 750.0, 800.0, 800.0","[500.0, 700.0, 800.0, 800.0]"
50,Yi-Nuo Wang from China,900.0,1020.0,970.0,1020.0,3797b912-2164-4147-a892-f30ffbf89b0d,6,"900.0, 1000.0, 950.0, 1050.0, 980.0, 1020.0","[900.0, 1000.0, 950.0, 980.0, 1020.0]"
50,Peter Schmidt from Germany,1020.0,1200.0,1092.5,1020.0,3797b912-2164-4147-a892-f30ffbf89b0d,6,"1200.0, 1000.0, 1100.0, 950.0, 1050.0, 980.0, 1020.0","[1200.0, 1100.0, 1050.0, 1020.0]"
50,Yi-Nuo Wang from China,500.0,850.0,716.6666666666666,850.0,3c69b9f3-f7ab-4fda-ab26-ef81ef4f5621,10,"500.0, 600.0, 700.0, 800.0, 850.0, 850.0","[500.0, 600.0, 700.0, 800.0, 850.0, 850.0]"
50,Peter Schmidt from Germany,500.0,850.0,741.6666666666666,850.0,3c69b9f3-f7ab-4fda-ab26-ef81ef4f5621,9,"500.0, 600.0, 700.0, 800.0, 800.0, 850.0, 850.0, 850.0","[500.0, 600.0, 800.0, 850.0, 850.0, 850.0]"
50,Yi-Nuo Wang from China,700.0,875.0,822.0,875.0,557e67c2-8126-4a3b-a712-470b1a5594ec,9,"700.0, 825.0, 850.0, 860.0, 875.0","[700.0, 825.0, 850.0, 860.0, 875.0]"
50,Peter Schmidt from Germany,862.5,950.0,890.625,875.0,557e67c2-8126-4a3b-a712-470b1a5594ec,9,"700.0, 950.0, 825.0, 875.0, 850.0, 862.5, 875.0","[950.0, 875.0, 862.5, 875.0]"
50,Yi-Nuo Wang from China,600.0,612.5,604.1666666666666,612.5,6b6aa250-8d60-4ced-bb16-a9f575bbc351,5,"600.0, 600.0, 612.5","[600.0, 600.0, 612.5]"
50,Peter Schmidt from Germany,612.5,650.0,625.0,612.5,6b6aa250-8d60-4ced-bb16-a9f575bbc351,5,"600.0, 650.0, 625.0, 600.0, 612.5, 612.5","[650.0, 625.0, 612.5, 612.5]"
50,Yi-Nuo Wang from China,600.0,750.0,700.0,750.0,7ab232af-1852-4831-8654-5015532834a9,6,"600.0, 750.0, 750.0","[600.0, 750.0, 750.0]"
50,Peter Schmidt from Germany,800.0,800.0,800.0,800.0,7ab232af-1852-4831-8654-5015532834a9,5,"800.0, 800.0, 800.0, 750.0, 800.0","[800.0, 800.0, 800.0, 800.0]"
50,Yi-Nuo Wang from China,800.0,800.0,800.0,800.0,951d6f2f-9fc2-4f93-bc97-7bc56bc1cc92,8,"800.0, 800.0, 800.0, 800.0","[800.0, 800.0, 800.0, 800.0]"
50,Peter Schmidt from Germany,800.0,800.0,800.0,800.0,951d6f2f-9fc2-4f93-bc97-7bc56bc1cc92,8,"800.0, 800.0, 800.0, 800.0","[800.0, 800.0, 800.0, 800.0]"
50,Yi-Nuo Wang from China,500.0,700.0,612.5,700.0,984733e8-328c-4039-a814-ef99ed9c2b9d,6,"500.0, 600.0, 650.0, 700.0","[500.0, 600.0, 650.0, 700.0]"
