Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Emilia Müller from Germany,850.0,850.0,850.0,850.0,01fabcd5-6c93-45eb-abac-b40f42bbfe3b,6,"850.0, 750.0, 850.0","[850.0, 850.0]"
50,Peter Schmidt from Germany,850.0,850.0,850.0,850.0,01fabcd5-6c93-45eb-abac-b40f42bbfe3b,5,"850.0, 750.0, 850.0","[850.0, 850.0]"
50,Emilia Müller from Germany,800.0,900.0,866.6666666666666,900.0,196049f4-30ec-4087-819c-e4426a4e141c,9,"800.0, 900.0, 900.0","[800.0, 900.0, 900.0]"
50,Peter Schmidt from Germany,900.0,1000.0,933.3333333333334,900.0,196049f4-30ec-4087-819c-e4426a4e141c,8,"800.0, 1000.0, 900.0, 900.0","[1000.0, 900.0, 900.0]"
50,Emilia Müller from Germany,4.0,693.75,542.05,4.0,2d43c1bd-9e44-4f22-9b6e-a365cbca6453,9,"650.0, 675.0, 700.0, 687.5, 693.75, 4.0","[650.0, 675.0, 687.5, 693.75, 4.0]"
50,Peter Schmidt from Germany,4.0,700.0,573.5833333333334,4.0,2d43c1bd-9e44-4f22-9b6e-a365cbca6453,9,"650.0, 675.0, 700.0, 687.5, 700.0, 693.75, 693.75, 4.0","[650.0, 700.0, 700.0, 693.75, 693.75, 4.0]"
50,Emilia Müller from Germany,10.0,1175.0,592.5,10.0,394b4f78-306e-4c67-b336-3880ffb17f24,6,"1175.0, 10.0","[1175.0, 10.0]"
50,Peter Schmidt from Germany,1175.0,1200.0,1187.5,1175.0,394b4f78-306e-4c67-b336-3880ffb17f24,5,"1200.0, 24.0, 1175.0","[1200.0, 1175.0]"
50,Emilia Müller from Germany,800.0,950.0,910.0,950.0,3a241b18-7559-4fa0-bf97-e2ee219562b4,8,"800.0, 1000.0, 900.0, 950.0, 950.0, 950.0","[800.0, 900.0, 950.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,800.0,1000.0,930.0,950.0,3a241b18-7559-4fa0-bf97-e2ee219562b4,7,"800.0, 1000.0, 900.0, 950.0, 950.0, 950.0","[800.0, 1000.0, 950.0, 950.0, 950.0]"
50,Emilia Müller from Germany,850.0,875.0,866.6666666666666,875.0,3f39efce-6b52-4755-a18a-f3636b8a83e1,5,"850.0, 900.0, 875.0, 875.0","[850.0, 875.0, 875.0]"
50,Peter Schmidt from Germany,875.0,900.0,887.5,875.0,3f39efce-6b52-4755-a18a-f3636b8a83e1,4,"850.0, 900.0, 875.0, 875.0","[900.0, 875.0]"
50,Emilia Müller from Germany,700.0,875.0,800.0,875.0,45c75e9e-9900-48d6-ad08-608a49d6dc6f,4,"700.0, 950.0, 825.0, 875.0","[700.0, 825.0, 875.0]"
50,Peter Schmidt from Germany,875.0,950.0,912.5,875.0,45c75e9e-9900-48d6-ad08-608a49d6dc6f,3,"950.0, 825.0, 875.0","[950.0, 875.0]"
50,Emilia Müller from Germany,800.0,950.0,900.0,950.0,50eeb30d-45c1-4bf9-939b-dc4544773419,9,"800.0, 850.0, 950.0, 950.0, 950.0, 950.0","[800.0, 850.0, 950.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,800.0,950.0,912.5,950.0,50eeb30d-45c1-4bf9-939b-dc4544773419,8,"800.0, 950.0, 950.0, 950.0","[800.0, 950.0, 950.0, 950.0]"
50,Emilia Müller from Germany,700.0,750.0,736.25,745.0,617bf0c3-bb5f-4f97-a1ca-1600b1a5ff42,6,"800.0, 700.0, 750.0, 740.0, 750.0, 745.0, 745.0","[700.0, 750.0, 750.0, 745.0]"
50,Peter Schmidt from Germany,745.0,800.0,757.5,745.0,617bf0c3-bb5f-4f97-a1ca-1600b1a5ff42,5,"800.0, 700.0, 750.0, 750.0, 740.0, 750.0, 750.0, 745.0","[800.0, 750.0, 750.0, 750.0, 750.0, 745.0]"
50,Emilia Müller from Germany,850.0,950.0,912.5,950.0,771cce63-0a19-4a0d-bb26-018d4ffa9eaa,8,"850.0, 1000.0, 900.0, 950.0, 950.0","[850.0, 900.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,950.0,1000.0,975.0,950.0,771cce63-0a19-4a0d-bb26-018d4ffa9eaa,7,"850.0, 1000.0, 900.0, 950.0","[1000.0, 950.0]"
50,Emilia Müller from Germany,11.0,1100.0,590.1428571428571,20.0,85fef7a7-eabb-4aeb-ae25-901d0ebb18ad,6,"1200.0, 1000.0, 1100.0, 12.0, 20.0, 990.0, 1100.0, 11.0, 990.0, 20.0","[1000.0, 1100.0, 20.0, 990.0, 11.0, 990.0, 20.0]"
50,Peter Schmidt from Germany,11.0,1200.0,684.6,1100.0,85fef7a7-eabb-4aeb-ae25-901d0ebb18ad,5,"1200.0, 1000.0, 1100.0, 12.0, 20.0, 11.0, 1100.0","[1200.0, 1100.0, 12.0, 11.0, 1100.0]"
50,Emilia Müller from Germany,1000.0,1100.0,1033.3333333333333,1100.0,a1780114-e5dd-4e00-94cc-75cfb28fca8a,6,"1000.0, 1000.0, 1100.0","[1000.0, 1000.0, 1100.0]"
50,Peter Schmidt from Germany,1000.0,1200.0,1100.0,1100.0,a1780114-e5dd-4e00-94cc-75cfb28fca8a,5,"1200.0, 1000.0, 1100.0","[1200.0, 1000.0, 1100.0]"
50,Emilia Müller from Germany,1100.0,1200.0,1166.6666666666667,1200.0,b430ace6-5a16-4209-904e-5da2fb30f798,7,"1200.0, 1100.0, 1200.0","[1200.0, 1100.0, 1200.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,b430ace6-5a16-4209-904e-5da2fb30f798,6,"1200.0, 1100.0","[1200.0, 1100.0]"
50,Emilia Müller from Germany,650.0,710.0,689.0,710.0,b5729a26-fb6e-4424-a987-cfd59e7c5ae4,7,"650.0, 750.0, 680.0, 725.0, 695.0, 710.0, 710.0","[650.0, 680.0, 695.0, 710.0, 710.0]"
50,Peter Schmidt from Germany,710.0,750.0,728.3333333333334,710.0,b5729a26-fb6e-4424-a987-cfd59e7c5ae4,6,"650.0, 750.0, 680.0, 725.0, 695.0, 710.0","[750.0, 725.0, 710.0]"
50,Emilia Müller from Germany,800.0,900.0,833.3333333333334,800.0,bd93b10b-8e34-4887-8f47-e1e486683277,5,"900.0, 850.0, 800.0, 800.0","[900.0, 800.0, 800.0]"
50,Peter Schmidt from Germany,800.0,900.0,850.0,800.0,bd93b10b-8e34-4887-8f47-e1e486683277,4,"900.0, 850.0, 800.0","[900.0, 850.0, 800.0]"
50,Emilia Müller from Germany,800.0,850.0,825.0,850.0,be199691-5faf-4692-af81-94cb6f44b379,4,"800.0, 850.0, 850.0","[800.0, 850.0]"
50,Peter Schmidt from Germany,850.0,850.0,850.0,850.0,be199691-5faf-4692-af81-94cb6f44b379,3,"800.0, 850.0",[850.0]
50,Emilia Müller from Germany,750.0,825.0,793.75,800.0,c3480eb6-bdfd-452a-b92a-eeae9c09eb36,7,"900.0, 750.0, 825.0, 800.0, 800.0","[750.0, 825.0, 800.0, 800.0]"
50,Peter Schmidt from Germany,800.0,900.0,843.75,800.0,c3480eb6-bdfd-452a-b92a-eeae9c09eb36,6,"900.0, 750.0, 825.0, 850.0, 800.0","[900.0, 825.0, 850.0, 800.0]"
50,Emilia Müller from Germany,700.0,750.0,716.6666666666666,700.0,d58b4d1e-7255-4f7d-9b11-55b0511d7928,8,"700.0, 750.0, 700.0, 700.0","[700.0, 750.0, 700.0]"
50,Peter Schmidt from Germany,5.0,750.0,600.8333333333334,700.0,d58b4d1e-7255-4f7d-9b11-55b0511d7928,8,"750.0, 700.0, 5.0, 750.0, 700.0, 700.0","[750.0, 700.0, 5.0, 750.0, 700.0, 700.0]"
50,Emilia Müller from Germany,3.0,1200.0,701.0,3.0,d6cc7bd5-bf91-448e-b2b5-323907e35df8,8,"800.0, 1200.0, 1100.0, 1100.0, 3.0, 3.0","[800.0, 1200.0, 1100.0, 1100.0, 3.0, 3.0]"
50,Peter Schmidt from Germany,3.0,1200.0,950.5,3.0,d6cc7bd5-bf91-448e-b2b5-323907e35df8,7,"800.0, 1200.0, 200.0, 1200.0, 1100.0, 1100.0, 1100.0, 1100.0, 3.0, 3.0","[1200.0, 1200.0, 1100.0, 1100.0, 1100.0, 3.0]"
50,Emilia Müller from Germany,200.0,1100.0,850.0,1100.0,daa610b1-0106-44c2-a18e-bbf6e093d143,8,"1000.0, 1100.0, 200.0, 1100.0","[1000.0, 1100.0, 200.0, 1100.0]"
50,Peter Schmidt from Germany,1000.0,1200.0,1080.0,1100.0,daa610b1-0106-44c2-a18e-bbf6e093d143,7,"1200.0, 1000.0, 1000.0, 1100.0, 200.0, 1100.0","[1200.0, 1000.0, 1000.0, 1100.0, 1100.0]"
50,Emilia Müller from Germany,700.0,800.0,750.0,750.0,e5228c16-a31f-4283-9dd2-104c6d233f7e,6,"700.0, 900.0, 800.0, 750.0","[700.0, 800.0, 750.0]"
50,Peter Schmidt from Germany,700.0,900.0,790.0,750.0,e5228c16-a31f-4283-9dd2-104c6d233f7e,6,"700.0, 900.0, 800.0, 800.0, 750.0, 750.0","[700.0, 900.0, 800.0, 800.0, 750.0]"
50,Emilia Müller from Germany,750.0,850.0,800.0,850.0,eaccbf64-f013-4bac-b211-32701072bb91,4,"750.0, 900.0, 800.0, 850.0, 850.0","[750.0, 800.0, 850.0]"
50,Peter Schmidt from Germany,850.0,900.0,866.6666666666666,850.0,eaccbf64-f013-4bac-b211-32701072bb91,4,"750.0, 900.0, 800.0, 850.0, 850.0","[900.0, 850.0, 850.0]"
50,Emilia Müller from Germany,800.0,865.0,845.0,865.0,fb255875-041c-465f-9c30-cb8745c16368,6,"800.0, 850.0, 865.0, 865.0","[800.0, 850.0, 865.0, 865.0]"
50,Peter Schmidt from Germany,865.0,900.0,880.0,865.0,fb255875-041c-465f-9c30-cb8745c16368,5,"900.0, 875.0, 865.0","[900.0, 875.0, 865.0]"
