Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Emilia Müller from Germany,650.0,700.0,681.25,695.0,07531fd3-004b-49a3-859b-dcc9edb4de3d,7,"650.0, 700.0, 680.0, 695.0, 695.0","[650.0, 700.0, 680.0, 695.0]"
50,Peter Schmidt from Germany,695.0,750.0,710.0,695.0,07531fd3-004b-49a3-859b-dcc9edb4de3d,6,"750.0, 650.0, 700.0, 680.0, 695.0, 695.0","[750.0, 700.0, 695.0, 695.0]"
50,Emilia Müller from Germany,600.0,650.0,625.0,650.0,28d9d27d-4d33-42f8-9f05-799c93fb4a5b,11,"600.0, 700.0, 600.0, 650.0, 650.0, 650.0","[600.0, 600.0, 650.0, 650.0]"
50,Peter Schmidt from Germany,650.0,700.0,666.6666666666666,650.0,28d9d27d-4d33-42f8-9f05-799c93fb4a5b,10,"600.0, 700.0, 650.0, 650.0","[700.0, 650.0, 650.0]"
50,Emilia Müller from Germany,550.0,700.0,645.0,700.0,3889d433-df43-44f2-8e8c-43d42b94cdc7,8,"550.0, 700.0, 625.0, 700.0, 675.0, 700.0, 675.0, 700.0","[550.0, 625.0, 675.0, 675.0, 700.0]"
50,Peter Schmidt from Germany,700.0,700.0,700.0,700.0,3889d433-df43-44f2-8e8c-43d42b94cdc7,7,"550.0, 700.0, 625.0, 700.0, 675.0, 700.0, 675.0, 700.0","[700.0, 700.0, 700.0, 700.0]"
50,Emilia Müller from Germany,800.0,1100.0,962.5,1100.0,49d4c1f6-b9e4-45f9-b427-be6573003553,7,"800.0, 1000.0, 900.0, 1100.0, 1050.0, 1100.0","[800.0, 900.0, 1050.0, 1100.0]"
50,Peter Schmidt from Germany,1000.0,1100.0,1066.6666666666667,1100.0,49d4c1f6-b9e4-45f9-b427-be6573003553,6,"800.0, 1000.0, 900.0, 1100.0, 1050.0, 1100.0","[1000.0, 1100.0, 1100.0]"
50,Emilia Müller from Germany,6.0,850.0,422.5,850.0,5bfe286e-909c-4b84-b9c5-c97e37b861ca,9,"800.0, 850.0, 6.0, 800.0, 6.0, 800.0, 6.0, 12.0, 850.0, 12.0, 850.0","[800.0, 850.0, 6.0, 6.0, 6.0, 850.0, 12.0, 850.0]"
50,Peter Schmidt from Germany,6.0,850.0,671.2,850.0,5bfe286e-909c-4b84-b9c5-c97e37b861ca,9,"800.0, 850.0, 850.0, 6.0, 6.0, 800.0, 12.0, 850.0, 12.0, 850.0","[850.0, 6.0, 800.0, 850.0, 850.0]"
50,Emilia Müller from Germany,750.0,750.0,750.0,750.0,685cb5ab-e446-4d93-b3e1-cdfbde5a0038,6,"750.0, 750.0","[750.0, 750.0]"
50,Peter Schmidt from Germany,750.0,800.0,783.3333333333334,750.0,685cb5ab-e446-4d93-b3e1-cdfbde5a0038,5,"800.0, 800.0, 750.0","[800.0, 800.0, 750.0]"
50,Emilia Müller from Germany,750.0,800.0,775.0,800.0,7c711181-b8e7-46be-9513-417f765d0165,9,"750.0, 780.0, 800.0","[750.0, 800.0]"
50,Peter Schmidt from Germany,800.0,850.0,816.6666666666666,800.0,7c711181-b8e7-46be-9513-417f765d0165,8,"850.0, 750.0, 800.0, 780.0, 800.0","[850.0, 800.0, 800.0]"
50,Emilia Müller from Germany,2.0,650.0,326.0,2.0,8693afef-2120-432c-9018-2ec70f43794e,6,"650.0, 675.0, 2.0","[650.0, 2.0]"
50,Peter Schmidt from Germany,2.0,650.0,326.0,2.0,8693afef-2120-432c-9018-2ec70f43794e,5,"650.0, 675.0, 2.0","[650.0, 2.0]"
50,Emilia Müller from Germany,500.0,600.0,566.6666666666666,600.0,8e610265-775b-4b9b-91c1-35916c0535f2,6,"500.0, 700.0, 600.0, 600.0","[500.0, 600.0, 600.0]"
50,Peter Schmidt from Germany,600.0,700.0,650.0,600.0,8e610265-775b-4b9b-91c1-35916c0535f2,5,"500.0, 700.0, 600.0, 600.0","[700.0, 600.0]"
50,Emilia Müller from Germany,600.0,690.0,653.75,690.0,8ef78bef-6cc7-4580-bb6f-17681baabd3c,6,"600.0, 700.0, 650.0, 675.0, 690.0","[600.0, 650.0, 675.0, 690.0]"
50,Peter Schmidt from Germany,690.0,700.0,696.0,690.0,8ef78bef-6cc7-4580-bb6f-17681baabd3c,6,"700.0, 650.0, 700.0, 675.0, 700.0, 690.0, 690.0, 690.0","[700.0, 700.0, 700.0, 690.0, 690.0]"
50,Emilia Müller from Germany,3.0,675.0,500.75,3.0,99b399c6-9e5e-4704-a154-04535c7be5b9,9,"650.0, 700.0, 675.0, 675.0, 3.0","[650.0, 675.0, 675.0, 3.0]"
50,Peter Schmidt from Germany,3.0,700.0,345.25,3.0,99b399c6-9e5e-4704-a154-04535c7be5b9,8,"650.0, 700.0, 675.0, 675.0, 3.0, 3.0","[700.0, 675.0, 3.0, 3.0]"
50,Emilia Müller from Germany,650.0,700.0,690.0,700.0,a32c793f-070f-4f42-8130-0bc82364af03,7,"750.0, 700.0, 725.0, 650.0, 700.0, 700.0, 700.0","[700.0, 650.0, 700.0, 700.0, 700.0]"
50,Peter Schmidt from Germany,700.0,725.0,706.25,700.0,a32c793f-070f-4f42-8130-0bc82364af03,7,"725.0, 650.0, 700.0, 700.0, 700.0, 700.0","[725.0, 700.0, 700.0, 700.0]"
