Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,800.0,1200.0,970.0,950.0,085583c1-ca4d-41bc-93e7-d31563398d1d,9,"1200.0, 800.0, 1000.0, 950.0, 950.0, 950.0, 950.0","[1200.0, 800.0, 950.0, 950.0, 950.0]"
50,Peter Schmidt from Germany,950.0,1200.0,1060.0,950.0,085583c1-ca4d-41bc-93e7-d31563398d1d,9,"1200.0, 1200.0, 800.0, 1000.0, 950.0, 950.0, 950.0","[1200.0, 1200.0, 1000.0, 950.0, 950.0]"
50,Farhad Abbasi from Iran,800.0,1000.0,925.0,1000.0,0b748669-1ba2-4630-95ec-ca33afb9a1ae,5,"800.0, 900.0, 1100.0, 1000.0, 1000.0, 1000.0","[800.0, 900.0, 1000.0, 1000.0]"
50,Peter Schmidt from Germany,1000.0,1200.0,1075.0,1000.0,0b748669-1ba2-4630-95ec-ca33afb9a1ae,5,"800.0, 1200.0, 900.0, 1100.0, 1000.0, 1000.0, 1000.0","[1200.0, 1100.0, 1000.0, 1000.0]"
50,Farhad Abbasi from Iran,1000.0,1100.0,1050.0,1100.0,1677b3dd-5500-4e6f-8612-4fc6467e62df,4,"1000.0, 1200.0, 1100.0","[1000.0, 1100.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,1677b3dd-5500-4e6f-8612-4fc6467e62df,4,"1000.0, 1200.0, 1100.0, 1100.0","[1200.0, 1100.0]"
50,Farhad Abbasi from Iran,12.0,925.0,624.8571428571429,925.0,2d2533f5-9266-43d2-a901-e46730859962,7,"1000.0, 800.0, 12.0, 800.0, 950.0, 12.0, 900.0, 925.0, 12.0, 925.0, 925.0","[800.0, 800.0, 12.0, 900.0, 12.0, 925.0, 925.0]"
50,Peter Schmidt from Germany,12.0,1000.0,460.1666666666667,12.0,2d2533f5-9266-43d2-a901-e46730859962,6,"1000.0, 800.0, 950.0, 12.0, 900.0, 925.0, 12.0, 925.0, 12.0","[1000.0, 800.0, 12.0, 925.0, 12.0, 12.0]"
50,Farhad Abbasi from Iran,800.0,850.0,837.5,850.0,2f248da1-484e-46d2-9a4c-1a741f554968,8,"800.0, 850.0, 850.0, 850.0","[800.0, 850.0, 850.0, 850.0]"
50,Peter Schmidt from Germany,800.0,900.0,850.0,850.0,2f248da1-484e-46d2-9a4c-1a741f554968,8,"800.0, 850.0, 900.0, 850.0, 850.0","[800.0, 900.0, 850.0, 850.0]"
50,Farhad Abbasi from Iran,600.0,650.0,625.0,650.0,2f311123-5197-4ebc-8b90-413f9a34a900,3,"600.0, 650.0, 650.0","[600.0, 650.0]"
50,Peter Schmidt from Germany,650.0,650.0,650.0,650.0,2f311123-5197-4ebc-8b90-413f9a34a900,2,"600.0, 650.0",[650.0]
50,Farhad Abbasi from Iran,1200.0,1350.0,1300.0,1350.0,43dd79dc-fd8a-4bb9-90d8-376d893be16f,8,"1200.0, 1350.0, 1350.0, 1350.0","[1200.0, 1350.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,1350.0,1350.0,1350.0,43dd79dc-fd8a-4bb9-90d8-376d893be16f,7,"1200.0, 1350.0, 1350.0","[1350.0, 1350.0]"
50,Farhad Abbasi from Iran,1000.0,1350.0,1183.3333333333333,1350.0,56dd0aac-6e45-461e-a33b-fa1921f18cd4,7,"1000.0, 1500.0, 1200.0, 1350.0","[1000.0, 1200.0, 1350.0]"
50,Peter Schmidt from Germany,1200.0,1500.0,1350.0,1350.0,56dd0aac-6e45-461e-a33b-fa1921f18cd4,6,"1000.0, 1500.0, 1200.0, 1350.0","[1500.0, 1200.0, 1350.0]"
50,Farhad Abbasi from Iran,1000.0,1200.0,1133.3333333333333,1200.0,63f99fd0-9082-4bac-93b8-7a2875726308,8,"1000.0, 1200.0, 1200.0","[1000.0, 1200.0, 1200.0]"
50,Peter Schmidt from Germany,1000.0,1200.0,1133.3333333333333,1200.0,63f99fd0-9082-4bac-93b8-7a2875726308,8,"1000.0, 1200.0, 1200.0","[1000.0, 1200.0, 1200.0]"
50,Farhad Abbasi from Iran,12.0,675.0,484.25,675.0,6778aaa6-72a5-4f8a-bc82-0561bdef2d5a,8,"600.0, 650.0, 12.0, 675.0","[600.0, 650.0, 12.0, 675.0]"
50,Peter Schmidt from Germany,600.0,675.0,643.75,675.0,6778aaa6-72a5-4f8a-bc82-0561bdef2d5a,7,"600.0, 650.0, 650.0, 675.0","[600.0, 650.0, 650.0, 675.0]"
50,Farhad Abbasi from Iran,1200.0,1400.0,1325.0,1400.0,760eaf49-040d-409e-bf49-e122a3c4953c,6,"1200.0, 1300.0, 1400.0, 1400.0","[1200.0, 1300.0, 1400.0, 1400.0]"
50,Peter Schmidt from Germany,1400.0,1500.0,1450.0,1400.0,760eaf49-040d-409e-bf49-e122a3c4953c,6,"1500.0, 1500.0, 1300.0, 1400.0, 1400.0","[1500.0, 1500.0, 1400.0, 1400.0]"
