Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,600.0,600.0,600.0,600.0,0950195e-80c7-4566-a7cf-1cf71cff3dcb,5,"650.0, 600.0, 550.0, 600.0","[600.0, 600.0]"
50,Peter Schmidt from Germany,550.0,600.0,583.3333333333334,600.0,0950195e-80c7-4566-a7cf-1cf71cff3dcb,4,"600.0, 600.0, 550.0, 600.0","[600.0, 550.0, 600.0]"
50,Maryam Abbasi from Iran,550.0,750.0,612.5,600.0,116e5ebf-3d02-4800-a312-6509a1fea1d1,7,"750.0, 550.0, 650.0, 550.0, 600.0","[750.0, 550.0, 550.0, 600.0]"
50,Peter Schmidt from Germany,600.0,750.0,650.0,600.0,116e5ebf-3d02-4800-a312-6509a1fea1d1,7,"750.0, 650.0, 600.0, 600.0","[750.0, 650.0, 600.0, 600.0]"
50,Maryam Abbasi from Iran,10.0,750.0,367.5,10.0,19d1cb18-9b1f-4b0d-9e5d-4db0ffc1a0a0,12,"700.0, 750.0, 10.0, 10.0","[700.0, 750.0, 10.0, 10.0]"
50,Peter Schmidt from Germany,10.0,800.0,520.0,10.0,19d1cb18-9b1f-4b0d-9e5d-4db0ffc1a0a0,11,"800.0, 750.0, 10.0","[800.0, 750.0, 10.0]"
50,Maryam Abbasi from Iran,600.0,750.0,683.3333333333334,700.0,1e5d7572-d330-4051-a82e-3bba812761ee,6,"600.0, 750.0, 700.0, 700.0","[600.0, 750.0, 700.0]"
50,Peter Schmidt from Germany,600.0,750.0,687.5,700.0,1e5d7572-d330-4051-a82e-3bba812761ee,6,"600.0, 750.0, 700.0, 700.0","[600.0, 750.0, 700.0, 700.0]"
50,Maryam Abbasi from Iran,10.0,10.0,10.0,10.0,2f6d5901-317b-4b12-b083-2a994a95fd09,13,10.0,[10.0]
50,Peter Schmidt from Germany,800.0,4800.0,2800.0,4800.0,2f6d5901-317b-4b12-b083-2a994a95fd09,12,"10.0, 800.0, 4800.0","[800.0, 4800.0]"
50,Maryam Abbasi from Iran,600.0,750.0,687.5,750.0,4fcb3d57-823d-4646-968c-744034282971,6,"600.0, 700.0, 700.0, 750.0, 750.0","[600.0, 700.0, 700.0, 750.0]"
50,Peter Schmidt from Germany,600.0,750.0,683.3333333333334,750.0,4fcb3d57-823d-4646-968c-744034282971,5,"600.0, 700.0, 700.0, 750.0","[600.0, 700.0, 750.0]"
50,Maryam Abbasi from Iran,500.0,550.0,537.5,550.0,501fa624-e2b4-4fb7-afad-6772198df87e,5,"500.0, 600.0, 550.0, 575.0, 550.0, 550.0","[500.0, 550.0, 550.0, 550.0]"
50,Peter Schmidt from Germany,550.0,600.0,575.0,550.0,501fa624-e2b4-4fb7-afad-6772198df87e,4,"500.0, 600.0, 550.0, 575.0, 550.0, 550.0","[600.0, 575.0, 550.0]"
50,Maryam Abbasi from Iran,800.0,850.0,825.0,800.0,66a58342-3684-4557-84a7-ceb1435401be,7,"850.0, 800.0","[850.0, 800.0]"
50,Peter Schmidt from Germany,800.0,850.0,816.6666666666666,800.0,66a58342-3684-4557-84a7-ceb1435401be,6,"850.0, 800.0, 800.0","[850.0, 800.0, 800.0]"
50,Maryam Abbasi from Iran,1000.0,1200.0,1100.0,1100.0,7934484c-0f3c-4294-9fc0-29c244f878a6,9,"1200.0, 1000.0, 1100.0","[1200.0, 1000.0, 1100.0]"
50,Peter Schmidt from Germany,48.0,7890.0,2138.8,7890.0,7934484c-0f3c-4294-9fc0-29c244f878a6,8,"1200.0, 1000.0, 1100.0, 48.0, 123.0, 456.0, 7890.0","[1200.0, 1100.0, 48.0, 456.0, 7890.0]"
50,Maryam Abbasi from Iran,650.0,850.0,750.0,750.0,8c6ca1b1-9420-4fcf-8dea-f8411441d108,6,"850.0, 650.0, 750.0","[850.0, 650.0, 750.0]"
50,Peter Schmidt from Germany,750.0,850.0,800.0,750.0,8c6ca1b1-9420-4fcf-8dea-f8411441d108,5,"850.0, 650.0, 750.0","[850.0, 750.0]"
50,Maryam Abbasi from Iran,750.0,775.0,766.6666666666666,775.0,903566d7-f761-43b3-8e03-a01e5ab39248,5,"750.0, 775.0, 775.0, 775.0","[750.0, 775.0, 775.0]"
50,Peter Schmidt from Germany,775.0,800.0,783.3333333333334,775.0,903566d7-f761-43b3-8e03-a01e5ab39248,5,"800.0, 750.0, 775.0, 775.0","[800.0, 775.0, 775.0]"
50,Maryam Abbasi from Iran,600.0,700.0,650.0,700.0,95c2177a-55eb-4933-94e8-c18656b1ea4a,4,"600.0, 750.0, 650.0, 700.0, 700.0","[600.0, 650.0, 700.0]"
50,Peter Schmidt from Germany,700.0,750.0,725.0,700.0,95c2177a-55eb-4933-94e8-c18656b1ea4a,3,"600.0, 750.0, 650.0, 700.0","[750.0, 700.0]"
50,Maryam Abbasi from Iran,650.0,690.0,671.6666666666666,690.0,a3f20449-a595-44c3-9944-f4b1f34f4019,7,"650.0, 600.0, 675.0, 690.0, 690.0","[650.0, 675.0, 690.0]"
50,Peter Schmidt from Germany,690.0,700.0,693.3333333333334,690.0,a3f20449-a595-44c3-9944-f4b1f34f4019,6,"650.0, 700.0, 675.0, 690.0, 690.0","[700.0, 690.0, 690.0]"
50,Maryam Abbasi from Iran,850.0,900.0,875.0,875.0,a52d44af-241d-4b96-9ae9-7fa6a67161ca,10,"900.0, 850.0, 875.0, 875.0","[900.0, 850.0, 875.0, 875.0]"
50,Peter Schmidt from Germany,875.0,900.0,887.5,875.0,a52d44af-241d-4b96-9ae9-7fa6a67161ca,9,"900.0, 900.0, 850.0, 875.0, 875.0","[900.0, 900.0, 875.0, 875.0]"
50,Maryam Abbasi from Iran,500.0,600.0,570.0,590.0,b68fe25c-353b-4143-a54b-667d0610642e,6,"500.0, 600.0, 590.0, 590.0","[500.0, 600.0, 590.0, 590.0]"
50,Peter Schmidt from Germany,150.0,600.0,416.6666666666667,150.0,b68fe25c-353b-4143-a54b-667d0610642e,5,"500.0, 600.0, 150.0","[500.0, 600.0, 150.0]"
50,Maryam Abbasi from Iran,750.0,800.0,775.0,800.0,bd761d5c-3cec-45a7-a18f-021985320d20,4,"750.0, 800.0, 800.0","[750.0, 800.0]"
50,Peter Schmidt from Germany,750.0,800.0,783.3333333333334,800.0,bd761d5c-3cec-45a7-a18f-021985320d20,4,"750.0, 800.0, 800.0","[750.0, 800.0, 800.0]"
50,Maryam Abbasi from Iran,500.0,525.0,516.6666666666666,525.0,d4d092b9-3b1d-4e4c-8d0e-b348b6220894,4,"500.0, 550.0, 525.0, 525.0","[500.0, 525.0, 525.0]"
50,Peter Schmidt from Germany,525.0,550.0,537.5,525.0,d4d092b9-3b1d-4e4c-8d0e-b348b6220894,3,"500.0, 550.0, 525.0, 525.0","[550.0, 525.0]"
50,Maryam Abbasi from Iran,700.0,725.0,716.6666666666666,725.0,d5ff66e9-f93d-437f-8d0b-034f6ccfc8af,9,"700.0, 750.0, 725.0, 725.0","[700.0, 725.0, 725.0]"
50,Peter Schmidt from Germany,2.0,850.0,293.125,6.0,d5ff66e9-f93d-437f-8d0b-034f6ccfc8af,9,"650.0, 850.0, 700.0, 750.0, 725.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0","[850.0, 750.0, 725.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
50,Maryam Abbasi from Iran,750.0,765.0,760.0,765.0,e77419ee-c0c2-40e6-a0a3-5da7e115e477,5,"800.0, 750.0, 775.0, 765.0, 765.0","[750.0, 765.0, 765.0]"
50,Peter Schmidt from Germany,765.0,800.0,780.0,765.0,e77419ee-c0c2-40e6-a0a3-5da7e115e477,4,"800.0, 750.0, 775.0, 765.0","[800.0, 775.0, 765.0]"
