Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Max Müller from Germany,800.0,850.0,830.0,840.0,16dcd880-3de1-4b2d-916a-4b3ebff5fbe9,8,"800.0, 850.0, 830.0, 840.0","[800.0, 850.0, 830.0, 840.0]"
50,Peter Schmidt from Germany,800.0,850.0,838.0,840.0,16dcd880-3de1-4b2d-916a-4b3ebff5fbe9,7,"800.0, 850.0, 830.0, 850.0, 850.0, 840.0","[800.0, 850.0, 850.0, 850.0, 840.0]"
50,Max Müller from Germany,750.0,875.0,831.25,875.0,1ecb712f-2c5a-4a40-8a87-49aa8eff50c9,5,"750.0, 900.0, 825.0, 875.0, 875.0","[750.0, 825.0, 875.0, 875.0]"
50,Peter Schmidt from Germany,875.0,900.0,883.3333333333334,875.0,1ecb712f-2c5a-4a40-8a87-49aa8eff50c9,5,"750.0, 900.0, 825.0, 875.0, 875.0","[900.0, 875.0, 875.0]"
50,Max Müller from Germany,700.0,775.0,741.6666666666666,775.0,1f421a2d-56a9-49f4-aea8-471fc84a01ec,7,"700.0, 800.0, 750.0, 775.0","[700.0, 750.0, 775.0]"
50,Peter Schmidt from Germany,200.0,800.0,637.5,200.0,1f421a2d-56a9-49f4-aea8-471fc84a01ec,6,"700.0, 800.0, 750.0, 775.0, 775.0, 200.0","[800.0, 775.0, 775.0, 200.0]"
50,Max Müller from Germany,1000.0,1100.0,1050.0,1100.0,29daceba-1e23-4083-86f4-2a559e72dca0,5,"1000.0, 1100.0","[1000.0, 1100.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,29daceba-1e23-4083-86f4-2a559e72dca0,4,"1200.0, 1000.0, 1100.0","[1200.0, 1100.0]"
50,Max Müller from Germany,550.0,610.0,596.0,610.0,319b5566-2e24-4db5-949a-6477bb801a0c,15,"550.0, 650.0, 600.0, 625.0, 610.0, 610.0, 610.0","[550.0, 600.0, 610.0, 610.0, 610.0]"
50,Peter Schmidt from Germany,610.0,650.0,623.75,610.0,319b5566-2e24-4db5-949a-6477bb801a0c,14,"550.0, 650.0, 600.0, 625.0, 610.0, 610.0","[650.0, 625.0, 610.0, 610.0]"
50,Max Müller from Germany,750.0,775.0,762.5,775.0,3f36b30d-8329-4b56-8d5e-e124589c194d,4,"750.0, 775.0, 775.0","[750.0, 775.0]"
50,Peter Schmidt from Germany,775.0,775.0,775.0,775.0,3f36b30d-8329-4b56-8d5e-e124589c194d,3,"750.0, 775.0",[775.0]
50,Max Müller from Germany,600.0,825.0,735.0,825.0,49472ef3-4f57-4391-8782-2c16c35bccb6,8,"600.0, 700.0, 750.0, 800.0, 825.0, 825.0","[600.0, 700.0, 750.0, 800.0, 825.0]"
50,Peter Schmidt from Germany,600.0,825.0,750.0,825.0,49472ef3-4f57-4391-8782-2c16c35bccb6,8,"600.0, 700.0, 750.0, 800.0, 825.0, 825.0","[600.0, 700.0, 800.0, 825.0, 825.0]"
50,Max Müller from Germany,750.0,850.0,800.0,850.0,52d78370-922d-41eb-bda9-d64e115ced93,4,"750.0, 850.0, 850.0","[750.0, 850.0]"
