Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Rounds,Original Price List,Modified Price List
50,Max Müller from Germany,700.0,775.0,750.0,775.0,04b05981-b9eb-45a0-9850-fdde7e6499ce,5,"700.0, 800.0, 750.0, 775.0, 775.0","[700.0, 750.0, 775.0, 775.0]"
50,Peter Schmidt from Germany,750.0,800.0,775.0,775.0,04b05981-b9eb-45a0-9850-fdde7e6499ce,5,"700.0, 800.0, 750.0, 775.0, 775.0, 775.0","[800.0, 750.0, 775.0, 775.0]"
50,Max Müller from Germany,1200.0,1350.0,1275.0,1350.0,20f9d0e8-4c64-4af0-accd-4b4b5b0249d0,4,"1500.0, 1200.0, 1350.0, 1350.0","[1200.0, 1350.0]"
50,Peter Schmidt from Germany,1350.0,1500.0,1450.0,1350.0,20f9d0e8-4c64-4af0-accd-4b4b5b0249d0,3,"1500.0, 1200.0, 1500.0, 1350.0","[1500.0, 1500.0, 1350.0]"
50,Max Müller from Germany,800.0,1050.0,980.0,1050.0,24ea0d58-6f3e-477f-b285-7a456779e42e,10,"800.0, 1200.0, 950.0, 1050.0, 1050.0, 1050.0, 1050.0","[800.0, 950.0, 1050.0, 1050.0, 1050.0]"
50,Peter Schmidt from Germany,1050.0,1200.0,1087.5,1050.0,24ea0d58-6f3e-477f-b285-7a456779e42e,9,"800.0, 1200.0, 950.0, 1050.0, 1050.0, 1050.0","[1200.0, 1050.0, 1050.0, 1050.0]"
50,Max Müller from Germany,800.0,925.0,883.3333333333334,925.0,2892285d-b8e4-400b-9816-f8dfc13dea54,6,"800.0, 950.0, 925.0, 925.0","[800.0, 925.0, 925.0]"
50,Peter Schmidt from Germany,800.0,950.0,891.6666666666666,925.0,2892285d-b8e4-400b-9816-f8dfc13dea54,5,"800.0, 950.0, 925.0, 925.0","[800.0, 950.0, 925.0]"
50,Max Müller from Germany,900.0,1100.0,1050.0,1100.0,2cd68d02-814d-4790-9bbd-28cff59985be,6,"1200.0, 900.0, 1100.0, 1100.0, 1100.0","[900.0, 1100.0, 1100.0, 1100.0]"
50,Peter Schmidt from Germany,1100.0,1200.0,1125.0,1100.0,2cd68d02-814d-4790-9bbd-28cff59985be,5,"1200.0, 1100.0, 1100.0, 1100.0","[1200.0, 1100.0, 1100.0, 1100.0]"
50,Max Müller from Germany,1000.0,1100.0,1066.6666666666667,1100.0,35ec8916-b39a-4754-9575-8fee68514d90,5,"1200.0, 1000.0, 1100.0, 1100.0, 1100.0","[1000.0, 1100.0, 1100.0]"
