Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,750,825,800,825,08572bc2-b5ec-4c3b-ac26-5d6b647c2429,"800, 750, 850, 800, 825, 825","800, 750, 800, 825, 825"
50,Peter Schmidt from Germany,800,850,825,825,08572bc2-b5ec-4c3b-ac26-5d6b647c2429,"800, 750, 850, 800, 825, 825, 825","800, 850, 825, 825, 825"
50,Emilia Müller from Germany,700,750,725,750,0ec17f2f-98a8-4ebd-aab2-11f5178dd7e2,"850, 700, 800, 750","700, 750"
50,Peter Schmidt from Germany,700,850,782.5,780,0ec17f2f-98a8-4ebd-aab2-11f5178dd7e2,"850, 700, 800, 750, 780","850, 700, 800, 780"
50,Emilia Müller from Germany,650,775,730,775,1ca6ad24-e82f-436a-9380-c70c2443bafb,"650, 800, 725, 775, 750, 750, 775","650, 725, 750, 750, 775"
50,Peter Schmidt from Germany,750,800,775,775,1ca6ad24-e82f-436a-9380-c70c2443bafb,"650, 800, 725, 775, 750, 750, 750, 775","800, 775, 750, 775"
50,Emilia Müller from Germany,900,1000,963,1000,3bec85f2-ecba-4c08-a254-5bd648856525,"900, 950, 975, 990, 1200, 1000","900, 950, 975, 990, 1000"
50,Peter Schmidt from Germany,950,1200,1116.6666666666667,1200,3bec85f2-ecba-4c08-a254-5bd648856525,"950, 990, 1200, 1000, 1200","950, 1200, 1200"
50,Emilia Müller from Germany,850,900,866.6666666666666,850,47538df9-7930-4e52-b0c8-f15c709bcf37,"900, 850, 850","900, 850, 850"
50,Peter Schmidt from Germany,850,900,866.6666666666666,850,47538df9-7930-4e52-b0c8-f15c709bcf37,"900, 850, 850","900, 850, 850"
50,Emilia Müller from Germany,0,0,0,0,4763f3f0-8ab3-4f9a-8b03-c69b431d22b3,,
50,Peter Schmidt from Germany,1500,1500,1500,1500,4763f3f0-8ab3-4f9a-8b03-c69b431d22b3,1500,1500
50,Emilia Müller from Germany,600,600,600,600,5cc270b8-4cf3-4521-85d5-94a33d8e1290,"500, 600",600
50,Peter Schmidt from Germany,590,590,590,590,5cc270b8-4cf3-4521-85d5-94a33d8e1290,590,590
50,Emilia Müller from Germany,650,750,712.5,750,714d6a3b-a722-4995-bed6-32a4350d6787,"650, 800, 700, 750, 750, 750","650, 700, 750, 750"
50,Peter Schmidt from Germany,750,800,766.6666666666666,750,714d6a3b-a722-4995-bed6-32a4350d6787,"650, 800, 700, 750, 750","800, 750, 750"
50,Emilia Müller from Germany,900,1000,950,900,8822823c-72d3-4285-a4ea-f27631378dc3,"1000, 950, 900","1000, 950, 900"
50,Peter Schmidt from Germany,900,1000,937.5,900,8822823c-72d3-4285-a4ea-f27631378dc3,"1000, 950, 900, 900","1000, 950, 900, 900"
50,Emilia Müller from Germany,500,550,528.75,535,92fe64bf-817e-4b79-bee4-b06d2382bc53,"500, 550, 530, 540, 535","500, 550, 530, 535"
50,Peter Schmidt from Germany,535,550,541.6666666666666,535,92fe64bf-817e-4b79-bee4-b06d2382bc53,"500, 550, 540, 535, 535","550, 540, 535"
50,Emilia Müller from Germany,1450,1500,1483.3333333333333,1450,a300601c-20b5-486f-ad06-5aaa3337013e,"1500, 1500, 1450, 1450","1500, 1500, 1450"
50,Peter Schmidt from Germany,1450,1500,1475,1450,a300601c-20b5-486f-ad06-5aaa3337013e,"1500, 1500, 1500, 1450, 1450, 1450","1500, 1500, 1450, 1450"
50,Emilia Müller from Germany,500,750,625,750,a56a4f60-651a-4688-92d1-a2d2d5cb5d82,"500, 600, 800, 650, 750","500, 600, 650, 750"
50,Peter Schmidt from Germany,700,800,750,750,a56a4f60-651a-4688-92d1-a2d2d5cb5d82,"500, 700, 600, 800, 650, 750","700, 800, 750"
50,Emilia Müller from Germany,800,875,841.6666666666666,875,ab670acd-7b49-4a95-a08e-cb0fed3351ef,"800, 850, 900, 875","800, 850, 875"
50,Peter Schmidt from Germany,800,900,863.3333333333334,890,ab670acd-7b49-4a95-a08e-cb0fed3351ef,"800, 850, 900, 875, 890","800, 900, 890"
50,Emilia Müller from Germany,1200,1500,1362.5,1400,b3ba9350-6d9f-41cf-9f09-a1bd417a6309,"1500, 1200, 1350, 1400","1500, 1200, 1350, 1400"
50,Peter Schmidt from Germany,1350,1500,1412.5,1400,b3ba9350-6d9f-41cf-9f09-a1bd417a6309,"1500, 1200, 1350, 1350, 1400, 1400","1500, 1350, 1400, 1400"
50,Emilia Müller from Germany,650,700,678.75,690,b44757f9-245a-4beb-bfab-3120fb11b121,"650, 700, 675, 690, 690","650, 700, 675, 690"
50,Peter Schmidt from Germany,690,700,695,690,b44757f9-245a-4beb-bfab-3120fb11b121,"650, 700, 700, 675, 690, 690","700, 700, 690, 690"
50,Emilia Müller from Germany,900,1000,950,1000,b6281f9e-a8e1-4888-95f1-29a8ff065052,"1100, 900, 1000, 1000","900, 1000"
50,Peter Schmidt from Germany,1000,1200,1100,1000,b6281f9e-a8e1-4888-95f1-29a8ff065052,"1200, 1100, 900, 1000","1200, 1100, 1000"
50,Emilia Müller from Germany,600,800,700,800,b6fa4b87-4c54-467a-bc85-39b3c9d3e3c1,"600, 800","600, 800"
