Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,600,650,633.3333333333334,650,12910e18-7bae-4bb5-baae-3cca3b8a94bd,"600, 700, 650, 650, 650","600, 650, 650"
50,Peter Schmidt from Germany,650,700,666.6666666666666,650,12910e18-7bae-4bb5-baae-3cca3b8a94bd,"600, 700, 650, 650","700, 650, 650"
50,Farhad Abbasi from Iran,800,975,920,975,21943dc2-cacb-49c4-ac63-2275d51715b8,"800, 900, 950, 1000, 975, 975","800, 900, 950, 975, 975"
50,Peter Schmidt from Germany,800,1050,945,1050,21943dc2-cacb-49c4-ac63-2275d51715b8,"800, 900, 950, 1000, 975, 975, 1050","800, 900, 1000, 975, 1050"
50,Farhad Abbasi from Iran,700,850,787.5,800,2ef5a801-c681-4584-9924-ee36e7a6d8f6,"700, 900, 800, 950, 850, 900, 800","700, 800, 850, 800"
50,Peter Schmidt from Germany,800,950,896.4285714285714,875,2ef5a801-c681-4584-9924-ee36e7a6d8f6,"700, 900, 800, 950, 950, 850, 900, 900, 800, 875","900, 950, 950, 900, 900, 800, 875"
50,Farhad Abbasi from Iran,800,975,915,950,3de8a889-4a13-4174-a62e-b95043e49f0b,"800, 1000, 900, 950, 975, 1000, 950","800, 900, 950, 975, 950"
50,Peter Schmidt from Germany,1000,1050,1010,1000,3de8a889-4a13-4174-a62e-b95043e49f0b,"800, 1000, 900, 1050, 1000, 1000, 950, 1000","1000, 1050, 1000, 1000, 1000"
50,Farhad Abbasi from Iran,750,7725,2503.75,775,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,"750, 765, 780, 7725, 775","750, 765, 7725, 775"
50,Peter Schmidt from Germany,750,780,768.3333333333334,775,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,"750, 765, 780, 7725, 775","750, 780, 775"
50,Farhad Abbasi from Iran,900,950,925,950,53703740-4e83-431b-a3d3-3754520dff80,"900, 950","900, 950"
50,Peter Schmidt from Germany,950,1000,966.6666666666666,950,53703740-4e83-431b-a3d3-3754520dff80,"1000, 900, 950, 950","1000, 950, 950"
50,Farhad Abbasi from Iran,800,1000,900,950,540e4c35-1e56-4e69-b015-ac18f1bf851f,"800, 800, 1000, 950, 950","800, 800, 1000, 950, 950"
50,Peter Schmidt from Germany,800,1000,925,950,540e4c35-1e56-4e69-b015-ac18f1bf851f,"800, 800, 1000, 950, 950","800, 1000, 950, 950"
50,Farhad Abbasi from Iran,650,700,690,700,5852a6c1-6b17-41f8-a0c6-3c6621219006,"650, 700, 700, 700, 700","650, 700, 700, 700, 700"
50,Peter Schmidt from Germany,650,700,687.5,700,5852a6c1-6b17-41f8-a0c6-3c6621219006,"650, 700, 700, 700","650, 700, 700, 700"
50,Farhad Abbasi from Iran,700,780,757,780,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,"700, 800, 750, 775, 790, 780, 780, 780","700, 750, 775, 780, 780"
50,Peter Schmidt from Germany,750,800,780,780,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,"700, 800, 750, 775, 790, 780","800, 750, 790, 780"
50,Farhad Abbasi from Iran,400,450,433.3333333333333,450,64d42b30-134e-4f2e-80f6-06e95002324b,"400, 450, 450","400, 450, 450"
50,Peter Schmidt from Germany,400,450,425,450,64d42b30-134e-4f2e-80f6-06e95002324b,"400, 450","400, 450"
