Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,500,700,631.25,700,0cea06d8-f425-407c-95dd-d23a75e5efae,"500, 650, 725, 675, 700, 700","500, 650, 675, 700"
50,Peter Schmidt from Germany,700,800,731.25,700,0cea06d8-f425-407c-95dd-d23a75e5efae,"800, 650, 725, 675, 700, 700","800, 725, 700, 700"
50,Farhad Abbasi from Iran,650,650,650,650,16e62268-8f79-49d1-9f94-04b312e4eff6,"650, 650","650, 650"
50,Peter Schmidt from Germany,650,650,650,650,16e62268-8f79-49d1-9f94-04b312e4eff6,650,650
50,Farhad Abbasi from Iran,500,675,617,675,195184b1-65a6-4786-b67f-eca191869b18,"500, 600, 700, 650, 675, 660, 675","500, 600, 650, 660, 675"
50,Peter Schmidt from Germany,675,800,705,675,195184b1-65a6-4786-b67f-eca191869b18,"500, 800, 600, 700, 650, 675, 660, 675, 675","800, 700, 675, 675, 675"
50,Farhad Abbasi from Iran,750,775,766.6666666666666,775,1adb9504-619c-447a-97ba-38e3eb0107ba,"750, 775, 775, 775","750, 775, 775"
50,Peter Schmidt from Germany,775,800,783.3333333333334,775,1adb9504-619c-447a-97ba-38e3eb0107ba,"800, 750, 775, 775","800, 775, 775"
50,Farhad Abbasi from Iran,700,750,725,750,2c6b1e75-cfc2-43e9-b407-34e9dfb4f165,"650, 700, 750","700, 750"
50,Peter Schmidt from Germany,700,800,766.6666666666666,750,2c6b1e75-cfc2-43e9-b407-34e9dfb4f165,"800, 800, 650, 700, 750, 800, 750","800, 800, 700, 750, 800, 750"
50,Farhad Abbasi from Iran,850,1000,925,925,4ec98560-a733-4dd4-9dd0-b83268a4d6e3,"1000, 850, 925","1000, 850, 925"
50,Peter Schmidt from Germany,900,1000,941.6666666666666,900,4ec98560-a733-4dd4-9dd0-b83268a4d6e3,"1000, 850, 925, 900","1000, 925, 900"
50,Farhad Abbasi from Iran,600,700,650,700,547feffe-91ab-4720-98c0-a129772e3165,"600, 650, 700, 700","600, 650, 700"
50,Peter Schmidt from Germany,600,700,650,700,547feffe-91ab-4720-98c0-a129772e3165,"600, 650, 700","600, 700"
50,Farhad Abbasi from Iran,650,700,675,700,60402d16-d174-4e43-854a-231f3d2ee3a3,"800, 650, 725, 675, 700, 700","650, 675, 700"
50,Peter Schmidt from Germany,700,800,731.25,700,60402d16-d174-4e43-854a-231f3d2ee3a3,"800, 650, 725, 675, 700, 700","800, 725, 700, 700"
50,Farhad Abbasi from Iran,650,650,650,650,64905349-a8d2-405e-9388-4158a52b0f04,650,650
50,Peter Schmidt from Germany,725,800,762.5,725,64905349-a8d2-405e-9388-4158a52b0f04,"800, 725","800, 725"
50,Farhad Abbasi from Iran,600,600,600,600,6e287874-fee9-4be7-bc96-c117e178f57f,600,600
50,Peter Schmidt from Germany,600,600,600,600,6e287874-fee9-4be7-bc96-c117e178f57f,600,600
50,Farhad Abbasi from Iran,650,735,708,735,6e4fabaf-bb5b-497d-a9e2-b1f7924c2b53,"650, 800, 700, 750, 725, 730, 730, 735, 735","650, 700, 725, 730, 735"
50,Peter Schmidt from Germany,735,800,752,735,6e4fabaf-bb5b-497d-a9e2-b1f7924c2b53,"650, 800, 700, 750, 725, 740, 730, 735, 735","800, 750, 740, 735, 735"
50,Farhad Abbasi from Iran,650,650,650,650,6ec9b578-9627-4997-9fd3-dbf0b48b87e1,"750, 650, 650, 650, 650, 650, 650","650, 650, 650, 650"
50,Peter Schmidt from Germany,650,750,695,675,6ec9b578-9627-4997-9fd3-dbf0b48b87e1,"750, 650, 650, 750, 650, 675","750, 650, 750, 650, 675"
50,Farhad Abbasi from Iran,1200,1500,1333.3333333333333,1300,82346c6a-ed37-4223-ae1c-1ff3c10839df,"1500, 1400, 1200, 1300","1500, 1200, 1300"
50,Peter Schmidt from Germany,1300,1500,1375,1300,82346c6a-ed37-4223-ae1c-1ff3c10839df,"1500, 1400, 1200, 1300, 1300","1500, 1400, 1300, 1300"
50,Farhad Abbasi from Iran,650,800,720,750,872b3761-0b85-499a-847c-34f00889d493,"650, 800, 700, 700, 750","650, 800, 700, 700, 750"
50,Peter Schmidt from Germany,700,800,750,750,872b3761-0b85-499a-847c-34f00889d493,"800, 700, 700, 750, 750","800, 700, 750, 750"
50,Farhad Abbasi from Iran,450,525,500,525,8ef0c282-1257-400d-889b-76148999d907,"450, 525, 525","450, 525, 525"
50,Peter Schmidt from Germany,475,600,533.3333333333334,475,8ef0c282-1257-400d-889b-76148999d907,"600, 450, 525, 525, 475","600, 525, 475"
50,Farhad Abbasi from Iran,600,650,640,650,a598063a-09e9-40bf-ae69-f5926db1fcf6,"600, 700, 650, 650, 650, 675, 650","600, 650, 650, 650, 650"
50,Peter Schmidt from Germany,665,700,678,665,a598063a-09e9-40bf-ae69-f5926db1fcf6,"600, 700, 650, 675, 650, 675, 675, 665","700, 675, 675, 675, 665"
50,Farhad Abbasi from Iran,700,725,712.5,725,a63ad649-687f-4611-94d3-e60d3a75d9dc,"700, 725","700, 725"
50,Peter Schmidt from Germany,715,750,730,715,a63ad649-687f-4611-94d3-e60d3a75d9dc,"750, 700, 725, 715","750, 725, 715"
50,Farhad Abbasi from Iran,800,950,883.3333333333334,950,b297cb04-abbe-4daa-a2f2-146ed8dcbbbb,"800, 900, 950, 950","800, 900, 950"
50,Peter Schmidt from Germany,950,1000,966.6666666666666,950,b297cb04-abbe-4daa-a2f2-146ed8dcbbbb,"1000, 900, 950, 950","1000, 950, 950"
50,Farhad Abbasi from Iran,700,850,783.3333333333334,850,d909007a-f848-4a73-89a5-23bc358e92b3,"700, 800, 900, 850","700, 800, 850"
50,Peter Schmidt from Germany,875,1000,935,875,d909007a-f848-4a73-89a5-23bc358e92b3,"700, 1000, 800, 1000, 900, 850, 900, 875","1000, 1000, 900, 900, 875"
50,Farhad Abbasi from Iran,650,650,650,650,e1ddc644-0b67-4b42-afee-226aeb47201c,650,650
50,Peter Schmidt from Germany,800,800,800,800,e1ddc644-0b67-4b42-afee-226aeb47201c,"650, 800",800
