Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,1350,1500,1400,1350,0f8a1eb9-465a-4f4b-80a8-e51c3de8eb42,"1500, 1400, 1350, 1350","1500, 1350, 1350"
50,Peter Schmidt from Germany,1350,1500,1416.6666666666667,1350,0f8a1eb9-465a-4f4b-80a8-e51c3de8eb42,"1500, 1400, 1350, 1350","1500, 1400, 1350"
50,Farhad Abbasi from Iran,1200,1300,1266.6666666666667,1300,1b9338bb-5c66-4af1-9210-0f7fef33ec72,"1200, 1300, 1300","1200, 1300, 1300"
50,Peter Schmidt from Germany,1200,1300,1266.6666666666667,1300,1b9338bb-5c66-4af1-9210-0f7fef33ec72,"1200, 1300, 1300","1200, 1300, 1300"
50,Farhad Abbasi from Iran,700,800,750,750,1ef93b21-2e46-408b-bf3e-9e4c6bd87ae7,"700, 900, 750, 850, 800, 750","700, 750, 800, 750"
50,Peter Schmidt from Germany,750,900,825,750,1ef93b21-2e46-408b-bf3e-9e4c6bd87ae7,"700, 900, 750, 850, 800, 750","900, 850, 800, 750"
50,Farhad Abbasi from Iran,800,1200,980,1000,2e231961-a4d1-4fbb-9e48-cf368b0d845b,"1200, 1100, 800, 900, 1000, 1000, 1000","1200, 800, 900, 1000, 1000"
50,Peter Schmidt from Germany,900,1200,1040,1000,2e231961-a4d1-4fbb-9e48-cf368b0d845b,"1200, 1100, 800, 900, 1000, 1000","1200, 1100, 900, 1000, 1000"
50,Farhad Abbasi from Iran,750,775,762.5,775,3f6f9473-19c1-41d6-853c-4b86504ef291,"750, 775, 775","750, 775"
50,Peter Schmidt from Germany,775,800,783.3333333333334,775,3f6f9473-19c1-41d6-853c-4b86504ef291,"800, 750, 775, 775","800, 775, 775"
50,Farhad Abbasi from Iran,750,850,800,850,43a24b8c-feb5-413f-a8fa-f317b8d0b118,"950, 750, 850","750, 850"
50,Peter Schmidt from Germany,850,950,883.3333333333334,850,43a24b8c-feb5-413f-a8fa-f317b8d0b118,"950, 750, 850, 850, 850","950, 850, 850"
50,Farhad Abbasi from Iran,1000,1200,1087.5,1000,4e2943f3-b4b3-4746-957c-29842e66727a,"1200, 1100, 1050, 1000","1200, 1100, 1050, 1000"
50,Peter Schmidt from Germany,1050,1500,1212.5,1500,4e2943f3-b4b3-4746-957c-29842e66727a,"1200, 1100, 1050, 1000, 1500","1200, 1100, 1050, 1500"
50,Farhad Abbasi from Iran,800,890,855,890,7b520396-2619-4d3c-bcea-da595d1dd94a,"800, 900, 875, 890, 890","800, 875, 890"
50,Peter Schmidt from Germany,890,900,895,890,7b520396-2619-4d3c-bcea-da595d1dd94a,"800, 900, 875, 890","900, 890"
50,Farhad Abbasi from Iran,750,900,825,900,83fea989-16a8-49eb-99d5-c62d9b0908c0,"750, 900","750, 900"
50,Peter Schmidt from Germany,900,900,900,900,83fea989-16a8-49eb-99d5-c62d9b0908c0,"750, 900, 900","900, 900"
50,Farhad Abbasi from Iran,800,875,850,875,8f90a01e-7ae0-4bb0-b61f-73dc4cc9ff6a,"800, 850, 900, 875, 875","800, 850, 875, 875"
50,Peter Schmidt from Germany,800,900,858.3333333333334,875,8f90a01e-7ae0-4bb0-b61f-73dc4cc9ff6a,"800, 850, 900, 875, 875","800, 900, 875"
50,Farhad Abbasi from Iran,800,950,893.75,950,94e2113a-a2f1-4c64-aa14-90b5e0e93baf,"800, 1000, 900, 950, 925, 950","800, 900, 925, 950"
50,Peter Schmidt from Germany,950,1000,960,950,94e2113a-a2f1-4c64-aa14-90b5e0e93baf,"1000, 900, 950, 925, 950, 950, 950","1000, 950, 950, 950, 950"
50,Farhad Abbasi from Iran,850,875,862.5,875,973f5d37-24f1-4e59-b1a4-0191883bb04c,"900, 850, 875, 875","850, 875"
50,Peter Schmidt from Germany,875,900,887.5,875,973f5d37-24f1-4e59-b1a4-0191883bb04c,"900, 850, 875","900, 875"
50,Farhad Abbasi from Iran,800,800,800,800,9d2aa077-c604-4fad-9d53-ad2c6859ad8a,800,800
50,Peter Schmidt from Germany,800,850,825,850,9d2aa077-c604-4fad-9d53-ad2c6859ad8a,"800, 850","800, 850"
50,Farhad Abbasi from Iran,800,900,850,900,a62ad8c3-4cdc-4f87-ba58-e554ab71e908,"800, 850, 900","800, 850, 900"
50,Peter Schmidt from Germany,800,850,825,850,a62ad8c3-4cdc-4f87-ba58-e554ab71e908,"800, 850","800, 850"
50,Farhad Abbasi from Iran,1000,1600,1333.3333333333333,1600,b95625c7-ee30-4198-8cb5-0362d45881a3,"1000, 1800, 1400, 1600","1000, 1400, 1600"
50,Peter Schmidt from Germany,1600,1800,1666.6666666666667,1600,b95625c7-ee30-4198-8cb5-0362d45881a3,"1000, 1800, 1400, 1600, 1600","1800, 1600, 1600"
50,Farhad Abbasi from Iran,0,0,0,0,c67e7487-2694-4d28-ba22-a9fe0ff77356,,
50,Peter Schmidt from Germany,0,0,0,0,c67e7487-2694-4d28-ba22-a9fe0ff77356,,
50,Farhad Abbasi from Iran,750,800,780,775,ce474806-7b0a-456b-a8f3-5ec8d4709af4,"800, 800, 800, 750, 775, 775, 775","800, 800, 750, 775, 775"
50,Peter Schmidt from Germany,775,800,787.5,775,ce474806-7b0a-456b-a8f3-5ec8d4709af4,"800, 800, 750, 775, 775","800, 800, 775, 775"
50,Farhad Abbasi from Iran,800,860,836.6666666666666,860,dabd758a-27a6-4e20-8f86-d6b0209686af,"800, 850, 875, 860","800, 850, 860"
50,Peter Schmidt from Germany,800,875,846.6666666666666,865,dabd758a-27a6-4e20-8f86-d6b0209686af,"800, 850, 875, 860, 865","800, 875, 865"
50,Farhad Abbasi from Iran,750,900,825,825,deae8fd1-ae11-4f83-a213-09c3fa8bec34,"750, 900, 850, 825","750, 900, 825"
50,Peter Schmidt from Germany,750,900,831.25,825,deae8fd1-ae11-4f83-a213-09c3fa8bec34,"750, 900, 850, 825","750, 900, 850, 825"
50,Farhad Abbasi from Iran,500,650,600,650,dff69fb6-bced-42eb-9fc0-8834f8a481b5,"500, 800, 650, 650","500, 650, 650"
