Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Haoyu Wang from China,600,775,690,775,04d0a5f8-782a-4ffb-a773-5486e53b8ead,"600, 650, 700, 725, 775, 775","600, 650, 700, 725, 775"
50,Peter Schmidt from Germany,600,775,720,775,04d0a5f8-782a-4ffb-a773-5486e53b8ead,"600, 650, 700, 750, 725, 775, 775","600, 700, 750, 775, 775"
50,Haoyu Wang from China,0,0,0,0,09ee12b6-0380-451f-befd-817d19f50dc2,,
50,Peter Schmidt from Germany,850,850,850,850,09ee12b6-0380-451f-befd-817d19f50dc2,850,850
50,Haoyu Wang from China,500,575,550,575,0de44263-7b82-4fb8-b52c-ac409ee4f745,"500, 550, 575, 575, 575","500, 550, 575, 575"
50,Peter Schmidt from Germany,575,600,583.3333333333334,575,0de44263-7b82-4fb8-b52c-ac409ee4f745,"500, 600, 550, 575, 575","600, 575, 575"
50,Haoyu Wang from China,700,850,775,850,149d1f36-4081-4b1a-aac2-8648a99cd5b6,"700, 850","700, 850"
50,Peter Schmidt from Germany,850,850,850,850,149d1f36-4081-4b1a-aac2-8648a99cd5b6,"700, 850, 850, 850","850, 850, 850"
50,Haoyu Wang from China,750,750,750,750,158137d7-7ea5-4d6d-b8e3-d701eef9bea1,750,750
50,Peter Schmidt from Germany,750,750,750,750,158137d7-7ea5-4d6d-b8e3-d701eef9bea1,750,750
50,Haoyu Wang from China,800,950,883.3333333333334,950,1c7e6600-1fb4-4a66-a96f-6c2768b6c5b1,"800, 900, 950","800, 900, 950"
50,Peter Schmidt from Germany,800,950,883.3333333333334,950,1c7e6600-1fb4-4a66-a96f-6c2768b6c5b1,"800, 900, 950","800, 900, 950"
50,Haoyu Wang from China,650,700,668.75,700,242e5f95-a9ac-4ba9-8a70-c382c02d40d2,"650, 800, 650, 725, 675, 700, 700","650, 650, 675, 700"
50,Peter Schmidt from Germany,675,800,720.8333333333334,700,242e5f95-a9ac-4ba9-8a70-c382c02d40d2,"650, 800, 650, 725, 675, 725, 675, 700, 700","800, 725, 725, 675, 700, 700"
50,Haoyu Wang from China,600,700,662,685,2e31d02c-231d-47b1-b139-a87a97bbf8c0,"600, 750, 650, 700, 675, 685","600, 650, 700, 675, 685"
50,Peter Schmidt from Germany,685,750,711.6666666666666,685,2e31d02c-231d-47b1-b139-a87a97bbf8c0,"600, 750, 650, 700, 675, 685","750, 700, 685"
50,Haoyu Wang from China,600,750,700,750,40fe3f1e-fb26-4544-bcea-6669d02d0f65,"600, 700, 800, 750, 750","600, 700, 750, 750"
50,Peter Schmidt from Germany,750,800,780,750,40fe3f1e-fb26-4544-bcea-6669d02d0f65,"600, 800, 700, 800, 750, 750, 800, 750","800, 800, 750, 800, 750"
50,Haoyu Wang from China,650,800,693.75,675,52321fbb-c887-4ec3-8eda-3d2d49d6e156,"800, 650, 750, 650, 675","800, 650, 650, 675"
50,Peter Schmidt from Germany,700,800,750,700,52321fbb-c887-4ec3-8eda-3d2d49d6e156,"800, 650, 750, 675, 700","800, 750, 700"
50,Haoyu Wang from China,850,8625,6681.25,8625,5e655e53-7404-4ce1-8e9b-a912621ca37c,"850, 875, 8625, 8625, 8625","850, 8625, 8625, 8625"
50,Peter Schmidt from Germany,875,8625,4756.25,8625,5e655e53-7404-4ce1-8e9b-a912621ca37c,"900, 850, 875, 8625, 8625","900, 875, 8625, 8625"
50,Haoyu Wang from China,800,900,850,900,61099734-21c5-40e5-8393-05e9eb603ce5,"800, 900","800, 900"
50,Peter Schmidt from Germany,800,950,883.3333333333334,950,61099734-21c5-40e5-8393-05e9eb603ce5,"800, 900, 950","800, 900, 950"
50,Haoyu Wang from China,600,600,600,600,694e83f0-6537-40e9-a1b2-4b7f02c9ef43,600,600
50,Peter Schmidt from Germany,600,800,700,800,694e83f0-6537-40e9-a1b2-4b7f02c9ef43,"600, 800","600, 800"
50,Haoyu Wang from China,650,650,650,650,6dafc0e9-b2c5-4946-82c2-f18788e93212,650,650
50,Peter Schmidt from Germany,650,900,775,900,6dafc0e9-b2c5-4946-82c2-f18788e93212,"650, 650, 900","650, 900"
50,Haoyu Wang from China,650,760,717,760,8161784a-32a4-4523-ad48-0255f80fc95d,"650, 800, 700, 725, 750, 760","650, 700, 725, 750, 760"
50,Peter Schmidt from Germany,750,800,770,760,8161784a-32a4-4523-ad48-0255f80fc95d,"650, 800, 700, 750, 725, 775, 750, 765, 760, 760","800, 750, 775, 765, 760"
50,Haoyu Wang from China,500,625,580,625,829c3f31-22d3-4af1-8646-ac371e5566ac,"500, 750, 600, 650, 550, 625, 625, 625","500, 600, 550, 625, 625"
50,Peter Schmidt from Germany,625,800,690,625,829c3f31-22d3-4af1-8646-ac371e5566ac,"500, 750, 600, 800, 650, 550, 625, 625","750, 800, 650, 625, 625"
50,Haoyu Wang from China,450,550,508.3333333333333,550,853f8e42-e9b6-429d-bc6a-c5d040c4f03c,"450, 525, 550","450, 525, 550"
50,Peter Schmidt from Germany,550,600,583.3333333333334,550,853f8e42-e9b6-429d-bc6a-c5d040c4f03c,"600, 600, 550","600, 600, 550"
50,Haoyu Wang from China,650,675,662.5,675,951358df-2dc2-4d21-8329-c7381fc4ea30,"700, 650, 675","650, 675"
50,Peter Schmidt from Germany,675,750,708.3333333333334,675,951358df-2dc2-4d21-8329-c7381fc4ea30,"750, 700, 650, 675","750, 700, 675"
50,Haoyu Wang from China,750,830,801.25,830,9e4af36c-de43-42d4-aa60-1457d8bed94c,"750, 800, 825, 830","750, 800, 825, 830"
50,Peter Schmidt from Germany,750,850,825,850,9e4af36c-de43-42d4-aa60-1457d8bed94c,"750, 800, 850, 825, 850, 830, 850","750, 850, 850, 850"
50,Haoyu Wang from China,700,725,708.3333333333334,700,a8292366-1f82-4ece-9ef3-f1a808f79677,"750, 700, 725, 710, 700","700, 725, 700"
50,Peter Schmidt from Germany,705,800,738,705,a8292366-1f82-4ece-9ef3-f1a808f79677,"800, 750, 725, 710, 705","800, 750, 725, 710, 705"
50,Haoyu Wang from China,500,550,533.3333333333334,550,c3e6b16f-446b-4aaa-893d-a0bc2c28f1ea,"500, 550, 550, 550","500, 550, 550"
50,Peter Schmidt from Germany,500,550,533.3333333333334,550,c3e6b16f-446b-4aaa-893d-a0bc2c28f1ea,"500, 550, 550","500, 550, 550"
50,Haoyu Wang from China,800,1000,881.25,875,c7113c59-e87d-4895-a811-780bc2cbfb8a,"800, 800, 1000, 900, 850, 875","800, 1000, 850, 875"
50,Peter Schmidt from Germany,875,1000,930,875,c7113c59-e87d-4895-a811-780bc2cbfb8a,"800, 1000, 800, 1000, 900, 850, 875, 875","1000, 1000, 900, 875, 875"
50,Haoyu Wang from China,700,850,790,850,da071cbe-b057-4178-9a76-3eddbb1e52bd,"700, 750, 800, 850, 850","700, 750, 800, 850, 850"
50,Peter Schmidt from Germany,700,900,800,850,da071cbe-b057-4178-9a76-3eddbb1e52bd,"700, 750, 800, 850, 900, 850, 850","700, 750, 800, 900, 850"
50,Haoyu Wang from China,900,950,916.6666666666666,900,fa2a8c6c-62be-4ba4-8e26-ed00301e36d3,"950, 900, 900","950, 900, 900"
50,Peter Schmidt from Germany,900,950,920,900,fa2a8c6c-62be-4ba4-8e26-ed00301e36d3,"950, 950, 900, 900, 900","950, 950, 900, 900, 900"
50,Haoyu Wang from China,650,800,716.6666666666666,700,fb59b1a5-03e2-44ef-bbc7-7219486495fb,"800, 750, 650, 700, 700","800, 650, 700"
50,Peter Schmidt from Germany,700,800,737.5,700,fb59b1a5-03e2-44ef-bbc7-7219486495fb,"800, 750, 700, 700","800, 750, 700, 700"
