Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Haoyu Wang from China,800,925,875,925,022f5120-8776-465c-89f3-ea692f2a78da,"800, 850, 925, 925","800, 850, 925, 925"
50,Peter Schmidt from Germany,925,1000,943.75,925,022f5120-8776-465c-89f3-ea692f2a78da,"1000, 850, 925, 925, 925","1000, 925, 925, 925"
50,Haoyu Wang from China,1800,2000,1950,2000,2414571f-4df3-4abd-a49f-fd93596301bf,"2000, 2000, 1800, 2000","2000, 2000, 1800, 2000"
50,Peter Schmidt from Germany,2000,2000,2000,2000,2414571f-4df3-4abd-a49f-fd93596301bf,"2000, 2000, 1800, 2000","2000, 2000, 2000"
50,Haoyu Wang from China,500,650,583.3333333333334,650,24263d20-ab8d-4761-80f3-409e89aec1eb,"500, 600, 650","500, 600, 650"
50,Peter Schmidt from Germany,500,700,626.6666666666666,680,24263d20-ab8d-4761-80f3-409e89aec1eb,"500, 600, 700, 650, 680","500, 700, 680"
50,Haoyu Wang from China,750,875,831.25,875,26c3af3f-9c61-466a-a52b-e3ec6e0ce891,"750, 850, 850, 875","750, 850, 850, 875"
50,Peter Schmidt from Germany,875,900,891.6666666666666,875,26c3af3f-9c61-466a-a52b-e3ec6e0ce891,"750, 900, 850, 900, 850, 875","900, 900, 875"
50,Haoyu Wang from China,750,750,750,750,29291ba9-225d-450b-8188-f78df27c9147,"750, 750, 750","750, 750"
50,Peter Schmidt from Germany,750,750,750,750,29291ba9-225d-450b-8188-f78df27c9147,"750, 750","750, 750"
50,Haoyu Wang from China,0,0,0,0,2eeaf15d-40a1-4d17-9792-4a5c042d8084,,
50,Peter Schmidt from Germany,0,0,0,0,2eeaf15d-40a1-4d17-9792-4a5c042d8084,,
50,Haoyu Wang from China,1350,1500,1416.6666666666667,1400,2ef4e07c-697b-4e69-8e0a-b340ccd5dcad,"1500, 1400, 1350, 1400","1500, 1350, 1400"
50,Peter Schmidt from Germany,1400,1500,1433.3333333333333,1400,2ef4e07c-697b-4e69-8e0a-b340ccd5dcad,"1500, 1400, 1350, 1400","1500, 1400, 1400"
50,Haoyu Wang from China,1800,1995,1897.5,1800,4a4abb8b-4ff2-406b-a2cf-e57705ba3b01,"1995, 1800","1995, 1800"
50,Peter Schmidt from Germany,1800,2000,1931.6666666666667,2000,4a4abb8b-4ff2-406b-a2cf-e57705ba3b01,"1995, 1800, 1800, 2000","1995, 1800, 2000"
50,Haoyu Wang from China,1200,1500,1350,1350,58faf3bc-45ee-4250-94df-8973fcea4ee6,"1200, 1500, 1350, 1350","1200, 1500, 1350"
50,Peter Schmidt from Germany,1350,1500,1400,1350,58faf3bc-45ee-4250-94df-8973fcea4ee6,"1200, 1500, 1350, 1350","1500, 1350, 1350"
50,Haoyu Wang from China,900,1050,975,1050,6719a725-024b-49e0-9178-1a25fa90def4,"1200, 900, 1050, 1050","900, 1050"
50,Peter Schmidt from Germany,1050,1200,1100,1050,6719a725-024b-49e0-9178-1a25fa90def4,"1200, 900, 1050, 1050, 1050","1200, 1050, 1050"
50,Haoyu Wang from China,1700,1850,1783.3333333333333,1850,7742d02d-b8b2-4f92-8012-f9fd07cc1d50,"2000, 1800, 1900, 1700, 1850","1800, 1700, 1850"
50,Peter Schmidt from Germany,100,2000,1540,1850,7742d02d-b8b2-4f92-8012-f9fd07cc1d50,"2000, 2000, 100, 1900, 1900, 1850, 1850, 1850","2000, 100, 1900, 1850, 1850"
50,Haoyu Wang from China,1500,2300,1960,2300,77890545-866d-4aa4-b444-b360bc4f038b,"1500, 2000, 1800, 2200, 2050, 2300, 2150, 2450, 2300","1500, 1800, 2050, 2150, 2300"
50,Peter Schmidt from Germany,2000,2500,2290,2500,77890545-866d-4aa4-b444-b360bc4f038b,"2000, 1800, 2200, 2050, 2300, 2150, 2450, 2300, 2500","2000, 2200, 2300, 2450, 2500"
50,Haoyu Wang from China,850,950,906.25,950,77d52911-a61b-45f5-9484-4b7849dad850,"850, 900, 925, 950","850, 900, 925, 950"
50,Peter Schmidt from Germany,850,950,900,950,77d52911-a61b-45f5-9484-4b7849dad850,"850, 900, 925, 950","850, 900, 950"
50,Haoyu Wang from China,700,725,712.5,725,aa9efb8f-df73-42fe-a213-0e0bff65857b,"600, 700, 725","700, 725"
50,Peter Schmidt from Germany,725,725,725,725,aa9efb8f-df73-42fe-a213-0e0bff65857b,725,725
50,Haoyu Wang from China,1350,1400,1375,1350,ac4b3afc-d0d6-4229-9227-4cafd169570c,"1400, 1350, 1350","1400, 1350"
50,Peter Schmidt from Germany,1350,1500,1416.6666666666667,1350,ac4b3afc-d0d6-4229-9227-4cafd169570c,"1500, 1400, 1350","1500, 1400, 1350"
50,Haoyu Wang from China,1500,1600,1533.3333333333333,1600,bd130ceb-4f59-40fa-b14f-4f2f2cd5fceb,"1500, 1500, 1500, 1600","1500, 1500, 1600"
50,Peter Schmidt from Germany,1500,1600,1533.3333333333333,1600,bd130ceb-4f59-40fa-b14f-4f2f2cd5fceb,"1500, 1500, 1600","1500, 1500, 1600"
50,Haoyu Wang from China,800,975,906.25,975,bfb161b1-79ea-452a-b784-180c689e79d3,"800, 900, 1000, 950, 975","800, 900, 950, 975"
50,Peter Schmidt from Germany,800,1000,937.5,1000,bfb161b1-79ea-452a-b784-180c689e79d3,"800, 900, 1000, 950, 975, 1000","800, 1000, 950, 1000"
50,Haoyu Wang from China,900,900,900,900,c88a284b-a785-4ef0-b01e-07c418cea67e,900,900
50,Peter Schmidt from Germany,1050,1200,1125,1050,c88a284b-a785-4ef0-b01e-07c418cea67e,"1200, 900, 1050","1200, 1050"
50,Haoyu Wang from China,1100,1100,1100,1100,d09d5369-6c01-49d1-9a02-09ddba47d5df,1100,1100
50,Peter Schmidt from Germany,1100,1200,1125,1100,d09d5369-6c01-49d1-9a02-09ddba47d5df,"1200, 1100, 1100, 1100","1200, 1100, 1100, 1100"
50,Haoyu Wang from China,1200,1800,1480,1500,d0c4e55d-a0bf-4542-b4bb-1ef6a7999f41,"1200, 1800, 1500, 1800, 1800, 1400, 1500","1200, 1500, 1800, 1400, 1500"
50,Peter Schmidt from Germany,1500,1800,1700,1600,d0c4e55d-a0bf-4542-b4bb-1ef6a7999f41,"1800, 1500, 1800, 1800, 1400, 1500, 1600","1800, 1800, 1800, 1500, 1600"
50,Haoyu Wang from China,1000,1050,1025,1050,d70eea9a-2301-4d3b-9c1f-19cfc4d5ee03,"1000, 1050","1000, 1050"
50,Peter Schmidt from Germany,1000,1050,1025,1050,d70eea9a-2301-4d3b-9c1f-19cfc4d5ee03,"1000, 1050","1000, 1050"
50,Haoyu Wang from China,1300,1500,1380,1400,ed5db079-3ad6-49a9-9689-2eef123fb0e2,"1300, 1500, 1300, 1500, 1500, 1400, 1400","1300, 1300, 1500, 1400, 1400"
50,Peter Schmidt from Germany,1500,1500,1500,1500,ed5db079-3ad6-49a9-9689-2eef123fb0e2,"1300, 1500, 1500, 1400, 1500","1500, 1500, 1500"
50,Haoyu Wang from China,1800,2000,1912.5,1950,f0889e2c-fbe3-4288-a2b1-800d363cc03d,"2000, 1800, 1900, 1950","2000, 1800, 1900, 1950"
50,Peter Schmidt from Germany,1800,2000,1950,1950,f0889e2c-fbe3-4288-a2b1-800d363cc03d,"2000, 2000, 1800, 1900, 2000, 1950","2000, 2000, 1800, 2000, 1950"
50,Haoyu Wang from China,750,1000,850,850,fd428d9a-1ee7-42f3-af52-85153fbaffc7,"750, 1000, 1000, 900, 800, 850, 850","750, 1000, 800, 850"
50,Peter Schmidt from Germany,850,1000,900,850,fd428d9a-1ee7-42f3-af52-85153fbaffc7,"750, 1000, 900, 800, 850, 850","1000, 900, 850, 850"
50,Haoyu Wang from China,1200,1400,1300,1400,fe67e224-0403-4631-8b24-b53b4c4ddb1a,"1200, 1400","1200, 1400"
50,Peter Schmidt from Germany,1200,1400,1300,1400,fe67e224-0403-4631-8b24-b53b4c4ddb1a,"1200, 1400","1200, 1400"
