Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,800,935,886.6666666666666,935,0a9b6b2a-2ae4-40cd-82d8-c6273b352a4c,"800, 950, 925, 935, 935","800, 925, 935"
50,Peter Schmidt from Germany,935,1000,955,935,0a9b6b2a-2ae4-40cd-82d8-c6273b352a4c,"1000, 800, 950, 925, 935, 935","1000, 950, 935, 935"
50,Maryam Abbasi from Iran,800,1000,900,900,0e268ccf-8685-467d-bd25-ab2a25e45eff,"1000, 800, 900, 900, 900, 900","1000, 800, 900, 900, 900"
50,Peter Schmidt from Germany,900,1000,933.3333333333334,900,0e268ccf-8685-467d-bd25-ab2a25e45eff,"1000, 900, 900","1000, 900, 900"
50,Maryam Abbasi from Iran,800,950,900,950,0fec315d-5b84-472a-b233-18822c6cd2a7,"800, 900, 950, 950","800, 900, 950, 950"
50,Peter Schmidt from Germany,900,950,925,950,0fec315d-5b84-472a-b233-18822c6cd2a7,"900, 950","900, 950"
50,Maryam Abbasi from Iran,800,935,890,935,18406332-18ac-4ffa-a387-6b83745bf341,"800, 1000, 900, 950, 925, 935, 935","800, 900, 925, 935"
50,Peter Schmidt from Germany,935,1000,961.6666666666666,935,18406332-18ac-4ffa-a387-6b83745bf341,"800, 1000, 900, 950, 925, 935","1000, 950, 935"
50,Maryam Abbasi from Iran,650,700,676.6666666666666,680,3333a343-d367-425f-ba77-0ca37c888f99,"650, 700, 680","650, 700, 680"
50,Peter Schmidt from Germany,680,700,686.6666666666666,680,3333a343-d367-425f-ba77-0ca37c888f99,"650, 700, 680, 680","700, 680, 680"
50,Maryam Abbasi from Iran,750,750,750,750,3bf611f8-d2a7-47a9-aa52-d6c66c3864c2,"750, 750, 800, 750, 750, 750","750, 750, 750, 750"
50,Peter Schmidt from Germany,750,800,762.5,750,3bf611f8-d2a7-47a9-aa52-d6c66c3864c2,"750, 800, 800, 750, 750","750, 800, 750, 750"
50,Maryam Abbasi from Iran,650,715,693.75,715,454f1c0e-cb46-45e8-b432-a60f54dcb2a0,"650, 750, 700, 710, 715","650, 700, 710, 715"
50,Peter Schmidt from Germany,715,750,733,715,454f1c0e-cb46-45e8-b432-a60f54dcb2a0,"650, 750, 700, 750, 725, 710, 725, 715, 715","750, 750, 725, 725, 715"
