Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Max Müller from Germany,0,0,0,0,2370d332-6dbe-4661-ba40-ecb5274df1fb,,
50,Peter Schmidt from Germany,0,0,0,0,2370d332-6dbe-4661-ba40-ecb5274df1fb,,
50,Max Müller from Germany,700,730,710,730,277b13f4-3a95-44d3-b921-f399abc96bff,"700, 750, 700, 750, 730","700, 700, 730"
50,Peter Schmidt from Germany,730,800,766,730,277b13f4-3a95-44d3-b921-f399abc96bff,"800, 800, 700, 750, 750, 730, 730","800, 800, 750, 750, 730"
50,Max Müller from Germany,800,875,841.6666666666666,875,2946262a-5ded-4878-bf36-8d5aaee374d1,"800, 850, 900, 875","800, 850, 875"
50,Peter Schmidt from Germany,800,900,858.3333333333334,875,2946262a-5ded-4878-bf36-8d5aaee374d1,"800, 850, 900, 875, 875","800, 900, 875"
50,Max Müller from Germany,1100,1100,1100,1100,34f94cc2-dcdf-46e4-87d1-237c6b9be09b,1100,1100
50,Peter Schmidt from Germany,1100,1200,1150,1100,34f94cc2-dcdf-46e4-87d1-237c6b9be09b,"1200, 1100, 1100","1200, 1100"
50,Max Müller from Germany,800,850,825,850,3a264ddd-2d50-4f5a-83a5-70711563fe21,"800, 850, 850","800, 850"
50,Peter Schmidt from Germany,850,1000,916.6666666666666,850,3a264ddd-2d50-4f5a-83a5-70711563fe21,"1000, 900, 850","1000, 900, 850"
50,Max Müller from Germany,500,600,550,600,3ca7d884-1e73-4fe2-af1d-81c56e25b6fc,"500, 600","500, 600"
50,Peter Schmidt from Germany,700,700,700,700,3ca7d884-1e73-4fe2-af1d-81c56e25b6fc,"700, 600, 700","700, 700"
50,Max Müller from Germany,900,1200,1050,1200,41e33da0-80e3-4e40-8805-77f92f09d3a0,"900, 1000, 1100, 1200","900, 1000, 1100, 1200"
50,Peter Schmidt from Germany,1200,1200,1200,1200,41e33da0-80e3-4e40-8805-77f92f09d3a0,"1200, 1200, 1000, 1200, 1200, 1200","1200, 1200, 1200, 1200, 1200"
50,Max Müller from Germany,850,950,912.5,950,49a5a0e2-d175-40fa-bc54-0d749c243a90,"1200, 900, 1050, 850, 950, 950","900, 850, 950, 950"
50,Peter Schmidt from Germany,925,1200,1031.25,925,49a5a0e2-d175-40fa-bc54-0d749c243a90,"1200, 900, 1050, 850, 950, 925","1200, 1050, 950, 925"
50,Max Müller from Germany,600,650,633.3333333333334,650,5375f001-9c1e-4b7d-bc4b-0ca158a5832a,"750, 600, 700, 650, 650","600, 650, 650"
50,Peter Schmidt from Germany,650,750,687.5,650,5375f001-9c1e-4b7d-bc4b-0ca158a5832a,"750, 600, 700, 650, 650, 650","750, 700, 650, 650"
50,Max Müller from Germany,800,880,843.3333333333334,880,55132a3b-9dd1-427f-a692-08466074fc71,"800, 850, 880","800, 850, 880"
50,Peter Schmidt from Germany,875,900,885,880,55132a3b-9dd1-427f-a692-08466074fc71,"800, 900, 850, 875, 880","900, 875, 880"
50,Max Müller from Germany,1200,1500,1306.25,1275,661d737e-dee6-4c2b-ac30-09b43dafa1a3,"1500, 1200, 1350, 1250, 1300, 1275","1500, 1200, 1250, 1275"
50,Peter Schmidt from Germany,1200,1500,1325,1275,661d737e-dee6-4c2b-ac30-09b43dafa1a3,"1500, 1200, 1200, 1350, 1250, 1300, 1275","1500, 1200, 1350, 1300, 1275"
50,Max Müller from Germany,750,800,783.3333333333334,800,8469022f-46cd-4912-807b-0f3bb261bd53,"750, 900, 800, 800","750, 800, 800"
50,Peter Schmidt from Germany,800,900,850,800,8469022f-46cd-4912-807b-0f3bb261bd53,"750, 900, 800, 800","900, 800"
50,Max Müller from Germany,500,600,550,600,895436b7-055f-4834-877d-f3b529e24bd2,"500, 525, 575, 600","500, 525, 575, 600"
50,Peter Schmidt from Germany,500,600,550,600,895436b7-055f-4834-877d-f3b529e24bd2,"500, 525, 550, 575, 600","500, 550, 600"
50,Max Müller from Germany,750,850,806.25,825,8fb793e2-3ba1-4291-a7f5-8010986031a7,"750, 850, 800, 825","750, 850, 800, 825"
50,Peter Schmidt from Germany,825,850,837.5,825,8fb793e2-3ba1-4291-a7f5-8010986031a7,"850, 800, 825","850, 825"
50,Max Müller from Germany,800,1000,887.5,1000,918c7f79-563d-484e-9dc2-5a4901346d9d,"800, 850, 900, 1000, 1000","800, 850, 900, 1000"
50,Peter Schmidt from Germany,800,1000,912.5,1000,918c7f79-563d-484e-9dc2-5a4901346d9d,"800, 850, 900, 1000, 1000","800, 850, 1000, 1000"
50,Max Müller from Germany,800,850,825,850,98779a03-ab99-49cc-94f7-3a7443fbbbe7,"800, 850","800, 850"
50,Peter Schmidt from Germany,800,850,825,850,98779a03-ab99-49cc-94f7-3a7443fbbbe7,"800, 850","800, 850"
50,Max Müller from Germany,750,825,791.6666666666666,825,9c90979e-2b3c-4f27-874c-6d7c941adfd6,"750, 900, 800, 850, 825","750, 800, 825"
50,Peter Schmidt from Germany,825,900,858.3333333333334,825,9c90979e-2b3c-4f27-874c-6d7c941adfd6,"750, 900, 800, 850, 825, 825","900, 850, 825"
50,Max Müller from Germany,850,1050,966.6666666666666,1050,9fb92ca8-47ad-4aec-adef-30db096ece1c,"850, 1000, 1050","850, 1000, 1050"
50,Peter Schmidt from Germany,1050,1200,1116.6666666666667,1050,9fb92ca8-47ad-4aec-adef-30db096ece1c,"1200, 1000, 1100, 1050, 1050","1200, 1100, 1050"
50,Max Müller from Germany,850,880,868.3333333333334,880,bd577973-bdab-4722-a393-0a71bd7f89da,"850, 900, 875, 880","850, 875, 880"
50,Peter Schmidt from Germany,885,900,891.6666666666666,890,bd577973-bdab-4722-a393-0a71bd7f89da,"850, 900, 875, 885, 880, 890","900, 885, 890"
50,Max Müller from Germany,650,700,683.3333333333334,700,c3318977-406d-47cf-81e1-56671e2251ce,"650, 700, 700","650, 700, 700"
50,Peter Schmidt from Germany,650,800,712.5,700,c3318977-406d-47cf-81e1-56671e2251ce,"800, 650, 700, 700","800, 650, 700, 700"
50,Max Müller from Germany,0,0,0,0,c9be9c06-36b3-4a6b-8d5f-44b6032f7729,,
50,Peter Schmidt from Germany,0,0,0,0,c9be9c06-36b3-4a6b-8d5f-44b6032f7729,,
