Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Max Müller from Germany,750,875,825,875,0453ba46-f40e-4680-bd2e-e635c63407f0,"750, 900, 825, 850, 875, 875","750, 825, 850, 875"
50,Peter Schmidt from Germany,875,900,883.3333333333334,875,0453ba46-f40e-4680-bd2e-e635c63407f0,"900, 875, 850, 875","900, 875, 875"
50,Max Müller from Germany,600,650,625,650,0541ec44-4362-4731-a8a9-eb66f8b58f45,"600, 650","600, 650"
50,Peter Schmidt from Germany,600,650,625,650,0541ec44-4362-4731-a8a9-eb66f8b58f45,"600, 650","600, 650"
50,Max Müller from Germany,750,800,775,800,0fc50f85-3245-4763-a9e8-0ff457cf76ce,"750, 800","750, 800"
50,Peter Schmidt from Germany,800,850,825,800,0fc50f85-3245-4763-a9e8-0ff457cf76ce,"750, 850, 800, 800","850, 800"
50,Max Müller from Germany,650,675,666.6666666666666,675,2121235e-dfcd-4ffc-922f-c2f20791e3d8,"750, 650, 700, 675, 675","650, 675, 675"
50,Peter Schmidt from Germany,675,750,708.3333333333334,675,2121235e-dfcd-4ffc-922f-c2f20791e3d8,"750, 650, 700, 675","750, 700, 675"
50,Max Müller from Germany,500,575,546.25,575,22deaab1-be8b-4d7e-98ee-d101fb76ee4d,"500, 600, 550, 575, 560, 575","500, 550, 560, 575"
50,Peter Schmidt from Germany,575,600,583.3333333333334,575,22deaab1-be8b-4d7e-98ee-d101fb76ee4d,"600, 550, 575, 560, 575","600, 575, 575"
50,Max Müller from Germany,750,800,766.25,765,239d02da-c238-42a5-9e88-1cfb791e6ecd,"750, 800, 780, 750, 765","750, 800, 750, 765"
50,Peter Schmidt from Germany,765,800,781.6666666666666,765,239d02da-c238-42a5-9e88-1cfb791e6ecd,"750, 800, 800, 780, 765, 765","800, 780, 765"
50,Max Müller from Germany,500,700,600,700,27cfa8ac-513f-455c-9aea-d3ca6376fd11,"500, 700","500, 700"
50,Peter Schmidt from Germany,500,700,600,700,27cfa8ac-513f-455c-9aea-d3ca6376fd11,"500, 700","500, 700"
50,Max Müller from Germany,500,650,583.3333333333334,650,2a3cdedf-eaff-49eb-bf46-da9c85b0e9e0,"500, 600, 650","500, 600, 650"
50,Peter Schmidt from Germany,500,650,583.3333333333334,650,2a3cdedf-eaff-49eb-bf46-da9c85b0e9e0,"500, 600, 650","500, 600, 650"
50,Max Müller from Germany,750,785,765,785,2d4ddf7a-ed43-484e-b589-00c9513a5f45,"750, 800, 750, 775, 785","750, 750, 775, 785"
50,Peter Schmidt from Germany,750,800,783.75,785,2d4ddf7a-ed43-484e-b589-00c9513a5f45,"750, 800, 800, 785","750, 800, 800, 785"
50,Max Müller from Germany,1000,1200,1062.5,1050,3080bf7a-316d-441c-801e-b1779441bcb9,"1200, 1150, 1000, 1050, 1000, 1050, 1050","1200, 1000, 1000, 1050"
50,Peter Schmidt from Germany,1050,1200,1112.5,1050,3080bf7a-316d-441c-801e-b1779441bcb9,"1200, 1150, 1000, 1050, 100, 1050","1200, 1150, 1050, 1050"
50,Max Müller from Germany,500,650,600,650,4b8889e4-65ca-4eb4-9d6d-77945b5f687e,"500, 700, 600, 650, 650","500, 600, 650, 650"
50,Peter Schmidt from Germany,650,700,666.6666666666666,650,4b8889e4-65ca-4eb4-9d6d-77945b5f687e,"500, 700, 600, 650, 650","700, 650, 650"
50,Max Müller from Germany,825,850,841.6666666666666,850,4bb1fc34-edca-4489-9da5-5e2134c0b16c,"850, 875, 825, 875, 850","850, 825, 850"
50,Peter Schmidt from Germany,875,900,881.25,875,4bb1fc34-edca-4489-9da5-5e2134c0b16c,"900, 850, 875, 825, 875, 850, 875","900, 875, 875, 875"
50,Max Müller from Germany,600,700,666.6666666666666,700,68977d2c-52b5-45c4-a549-c4992388eb31,"600, 700, 700","600, 700, 700"
50,Peter Schmidt from Germany,600,800,700,800,68977d2c-52b5-45c4-a549-c4992388eb31,"600, 700, 800","600, 800"
50,Max Müller from Germany,750,800,777.5,785,7190e7ed-f8d7-4772-bb67-649577dd2182,"800, 750, 775, 785","800, 750, 775, 785"
50,Peter Schmidt from Germany,750,800,780,785,7190e7ed-f8d7-4772-bb67-649577dd2182,"800, 750, 775, 785, 785, 785","800, 750, 785, 785"
50,Max Müller from Germany,500,595,562,595,72b7cea6-14d6-469a-b238-64f699f5b43f,"500, 550, 600, 575, 590, 595, 595","500, 550, 575, 590, 595"
50,Peter Schmidt from Germany,500,600,576,595,72b7cea6-14d6-469a-b238-64f699f5b43f,"500, 600, 575, 590, 595, 595","500, 600, 590, 595, 595"
50,Max Müller from Germany,725,725,725,725,788d4c91-55ed-4c9d-af54-dc8708010152,"750, 725, 725","725, 725"
