Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,650,700,683.3333333333334,700,06ef244a-40fc-4163-9be8-d4ae5ac3be30,"750, 650, 700, 700, 700","650, 700, 700"
50,Peter Schmidt from Germany,700,750,712.5,700,06ef244a-40fc-4163-9be8-d4ae5ac3be30,"750, 650, 700, 700, 700, 700","750, 700, 700, 700"
50,Yi-Nuo Wang from China,1000,1200,1100,1100,15cf9269-bdf3-407b-ba66-cf2b8366eae3,"1200, 1000, 1100","1200, 1000, 1100"
50,Peter Schmidt from Germany,1100,1200,1133.3333333333333,1100,15cf9269-bdf3-407b-ba66-cf2b8366eae3,"1200, 1000, 1100, 1100","1200, 1100, 1100"
50,Yi-Nuo Wang from China,800,1200,983.3333333333334,950,28fda55a-beab-4920-9c6e-6b27e6c62a9b,"800, 1200, 950","800, 1200, 950"
50,Peter Schmidt from Germany,1075,1200,1137.5,1075,28fda55a-beab-4920-9c6e-6b27e6c62a9b,"800, 1200, 950, 1075","1200, 1075"
50,Yi-Nuo Wang from China,650,850,733.3333333333334,850,2ea8e5dd-f9f8-41f8-8197-1c283bfa2172,"650, 700, 850","650, 700, 850"
50,Peter Schmidt from Germany,700,850,775,850,2ea8e5dd-f9f8-41f8-8197-1c283bfa2172,"700, 850","700, 850"
50,Yi-Nuo Wang from China,500,725,631.25,725,2f5ec3cb-6f02-42de-bdeb-5aa08b7c1f88,"500, 600, 800, 700, 725","500, 600, 700, 725"
50,Peter Schmidt from Germany,500,800,715,725,2f5ec3cb-6f02-42de-bdeb-5aa08b7c1f88,"500, 600, 800, 700, 800, 750, 725","500, 800, 800, 750, 725"
50,Yi-Nuo Wang from China,700,1000,807.5,780,356523bc-8fcd-4dc4-bd96-6fcb5a460937,"1000, 700, 850, 750, 800, 780","1000, 700, 750, 780"
50,Peter Schmidt from Germany,800,1000,850,800,356523bc-8fcd-4dc4-bd96-6fcb5a460937,"1000, 700, 850, 750, 800, 780, 800, 800","1000, 850, 800, 800, 800"
50,Yi-Nuo Wang from China,800,800,800,800,3bc768e5-c37c-46dd-ac28-2d3bc603227c,800,800
50,Peter Schmidt from Germany,800,800,800,800,3bc768e5-c37c-46dd-ac28-2d3bc603227c,800,800
50,Yi-Nuo Wang from China,0,0,0,0,53489a62-8e31-4744-a914-938d2e3791dc,,
50,Peter Schmidt from Germany,0,0,0,0,53489a62-8e31-4744-a914-938d2e3791dc,,
50,Yi-Nuo Wang from China,750,800,762.5,750,557c7fbb-e813-40a7-844e-0049fd40984a,"800, 750, 750, 750","800, 750, 750, 750"
50,Peter Schmidt from Germany,750,800,775,750,557c7fbb-e813-40a7-844e-0049fd40984a,"800, 800, 750, 750","800, 800, 750, 750"
50,Yi-Nuo Wang from China,600,825,740,825,6b827a06-0c71-4962-ad0c-bd0dfcd49f94,"600, 900, 700, 850, 750, 825, 825, 825","600, 700, 750, 825, 825"
50,Peter Schmidt from Germany,825,900,858.3333333333334,825,6b827a06-0c71-4962-ad0c-bd0dfcd49f94,"600, 900, 700, 850, 750, 825","900, 850, 825"
50,Yi-Nuo Wang from China,0,0,0,0,7685db0b-6725-47a6-acd5-e388e58e1cb3,,
50,Peter Schmidt from Germany,0,0,0,0,7685db0b-6725-47a6-acd5-e388e58e1cb3,,
50,Yi-Nuo Wang from China,780,820,800,820,78955365-247e-4793-87d8-b1ef24f38187,"780, 800, 820","780, 800, 820"
50,Peter Schmidt from Germany,800,820,810,820,78955365-247e-4793-87d8-b1ef24f38187,"800, 820","800, 820"
50,Yi-Nuo Wang from China,1050,1100,1075,1050,7dfbbb3f-b267-40a8-8c74-983c07eed953,"1100, 1050","1100, 1050"
50,Peter Schmidt from Germany,1050,1200,1116.6666666666667,1050,7dfbbb3f-b267-40a8-8c74-983c07eed953,"1200, 1100, 1100, 1050","1200, 1100, 1050"
50,Yi-Nuo Wang from China,900,900,900,900,7f699f94-70cf-4316-86de-7fb2cfea72f1,900,900
50,Peter Schmidt from Germany,1050,1200,1125,1050,7f699f94-70cf-4316-86de-7fb2cfea72f1,"1200, 900, 1050","1200, 1050"
50,Yi-Nuo Wang from China,500,850,733.3333333333334,500,82263417-a86a-4082-9db9-13b2579e7941,"850, 850, 500","850, 850, 500"
50,Peter Schmidt from Germany,400,1000,750,400,82263417-a86a-4082-9db9-13b2579e7941,"900, 1000, 850, 900, 400","1000, 850, 400"
50,Yi-Nuo Wang from China,900,1000,941.6666666666666,925,877d0233-8527-440d-8a4b-3d53d43f9d13,"1000, 950, 900, 925","1000, 900, 925"
50,Peter Schmidt from Germany,920,1000,943,920,877d0233-8527-440d-8a4b-3d53d43f9d13,"1000, 950, 900, 925, 920, 920","1000, 950, 925, 920, 920"
50,Yi-Nuo Wang from China,950,1200,1083.3333333333333,1100,89717b05-dd13-45ce-a421-12f8e9708496,"1200, 950, 1100","1200, 950, 1100"
50,Peter Schmidt from Germany,1050,1200,1116.6666666666667,1050,89717b05-dd13-45ce-a421-12f8e9708496,"1200, 950, 1100, 1050","1200, 1100, 1050"
50,Yi-Nuo Wang from China,950,1200,1075,950,8d02253f-7778-46a4-a0bc-5339c9a80835,"1200, 950","1200, 950"
50,Peter Schmidt from Germany,950,1200,1075,950,8d02253f-7778-46a4-a0bc-5339c9a80835,"1200, 950","1200, 950"
50,Yi-Nuo Wang from China,500,600,558.3333333333334,575,9e510138-b1e8-4bce-b35b-6b986af94f3c,"500, 600, 575","500, 600, 575"
