Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,500,525,516.6666666666666,525,07be5ad0-6879-4d1d-beb4-cab038d25941,"500, 550, 525, 525, 525","500, 525, 525"
50,Peter Schmidt from Germany,525,550,533.3333333333334,525,07be5ad0-6879-4d1d-beb4-cab038d25941,"500, 550, 525, 525, 525","550, 525, 525"
50,Yi-Nuo Wang from China,750,850,793.75,775,0acb0302-1e18-4c40-8119-cbc4f4c56bde,"850, 800, 750, 775","850, 800, 750, 775"
50,Peter Schmidt from Germany,775,850,800,775,0acb0302-1e18-4c40-8119-cbc4f4c56bde,"850, 800, 775, 775","850, 800, 775, 775"
50,Yi-Nuo Wang from China,500,675,595,675,157f8323-d6f2-44c2-8a8a-00dee4449190,"500, 550, 600, 650, 675","500, 550, 600, 650, 675"
50,Peter Schmidt from Germany,500,700,610,700,157f8323-d6f2-44c2-8a8a-00dee4449190,"500, 550, 600, 650, 700, 675, 700","500, 550, 600, 700, 700"
50,Yi-Nuo Wang from China,480,500,493.25,498,27a6bf59-3ab5-4eca-8e4d-3c47092b57a2,"500, 480, 495, 498","500, 480, 495, 498"
50,Peter Schmidt from Germany,500,550,517,505,27a6bf59-3ab5-4eca-8e4d-3c47092b57a2,"500, 550, 480, 525, 495, 500, 505, 505","550, 525, 500, 505, 505"
50,Yi-Nuo Wang from China,550,600,575,575,30b05289-2209-449f-b079-b4adac4fa581,"550, 600, 575","550, 600, 575"
50,Peter Schmidt from Germany,595,600,598.3333333333334,595,30b05289-2209-449f-b079-b4adac4fa581,"550, 600, 600, 575, 595","600, 600, 595"
50,Yi-Nuo Wang from China,700,1000,785,1000,38db7819-67ec-47ea-bfe8-d39acd5727ea,"700, 700, 900, 750, 775, 1000","700, 700, 750, 775, 1000"
50,Peter Schmidt from Germany,900,1000,966.6666666666666,1000,38db7819-67ec-47ea-bfe8-d39acd5727ea,"700, 1000, 700, 900, 775, 1000","1000, 900, 1000"
50,Yi-Nuo Wang from China,600,650,616.6666666666666,650,408323f8-703e-4a71-82a8-e69a8485b4ef,"600, 600, 650","600, 600, 650"
50,Peter Schmidt from Germany,600,650,625,625,408323f8-703e-4a71-82a8-e69a8485b4ef,"600, 600, 650, 650, 625","600, 650, 625"
50,Yi-Nuo Wang from China,500,580,557,580,535b7999-b8fa-4df6-8efc-0bd0100e5e6b,"500, 550, 600, 575, 580, 580","500, 550, 575, 580, 580"
50,Peter Schmidt from Germany,500,58750,12202,580,535b7999-b8fa-4df6-8efc-0bd0100e5e6b,"500, 550, 600, 575, 58750, 580, 580, 580","500, 600, 58750, 580, 580"
50,Yi-Nuo Wang from China,500,550,525,525,5abdd3fd-10af-46bf-961d-9b7867a939ba,"500, 550, 550, 525, 525, 525","500, 550, 525, 525"
50,Peter Schmidt from Germany,525,550,537.5,525,5abdd3fd-10af-46bf-961d-9b7867a939ba,"500, 550, 525, 525","550, 525"
50,Yi-Nuo Wang from China,800,875,850,875,6d8999d4-7ea5-4f66-a3e5-482a79227735,"800, 900, 850, 875, 875","800, 850, 875, 875"
