Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,1200,1350,1283.3333333333333,1300,076e78b9-4fbd-4cb2-ae6d-b1953b0f4743,"1200, 1350, 1300","1200, 1350, 1300"
50,Peter Schmidt from Germany,1200,1500,1340,1300,076e78b9-4fbd-4cb2-ae6d-b1953b0f4743,"1500, 1200, 1350, 1350, 1300","1500, 1200, 1350, 1350, 1300"
50,Yi-Nuo Wang from China,1350,1350,1350,1350,142d48c9-8bfa-47ec-b3ab-a32581c0ab6a,1350,1350
50,Peter Schmidt from Germany,1350,1500,1400,1350,142d48c9-8bfa-47ec-b3ab-a32581c0ab6a,"1500, 1400, 1350, 1350","1500, 1400, 1350, 1350"
50,Yi-Nuo Wang from China,1200,1350,1275,1350,290078b8-e495-4e99-bded-bcf1b2c7db29,"1200, 1350","1200, 1350"
50,Peter Schmidt from Germany,1350,1500,1400,1350,290078b8-e495-4e99-bded-bcf1b2c7db29,"1500, 1350, 1350","1500, 1350, 1350"
50,Yi-Nuo Wang from China,1500,1500,1500,1500,47eb6f0a-9036-425e-9bf1-4f02f9f6ea87,1500,1500
50,Peter Schmidt from Germany,1500,1500,1500,1500,47eb6f0a-9036-425e-9bf1-4f02f9f6ea87,1500,1500
50,Yi-Nuo Wang from China,750,790,771.6666666666666,790,509beef3-c04a-4b0e-912c-bb4fb28fa1a3,"750, 800, 775, 790","750, 775, 790"
50,Peter Schmidt from Germany,790,800,795,790,509beef3-c04a-4b0e-912c-bb4fb28fa1a3,"800, 790","800, 790"
50,Yi-Nuo Wang from China,600,675,641.6666666666666,675,56b80d76-c1c3-4074-9af6-a719fb176432,"600, 700, 650, 675","600, 650, 675"
50,Peter Schmidt from Germany,675,700,687.5,675,56b80d76-c1c3-4074-9af6-a719fb176432,"600, 700, 650, 700, 675, 675","700, 700, 675, 675"
50,Yi-Nuo Wang from China,1200,131875,36875,131875,5a02e70c-4980-4ab3-a671-95f758b17588,"1500, 1200, 1350, 1300, 13125, 131875","1200, 1300, 13125, 131875"
50,Peter Schmidt from Germany,1325,131875,34012.5,131875,5a02e70c-4980-4ab3-a671-95f758b17588,"1500, 1200, 1350, 1300, 1325, 13125, 131875","1500, 1350, 1325, 131875"
50,Yi-Nuo Wang from China,600,750,675,750,5e2474ba-bfc7-42c2-82b1-c6e7748db1e3,"600, 750","600, 750"
50,Peter Schmidt from Germany,750,750,750,750,5e2474ba-bfc7-42c2-82b1-c6e7748db1e3,"600, 750, 750","750, 750"
50,Yi-Nuo Wang from China,900,1050,975,1050,6955e6f6-2aa0-4420-a238-15260b126e2f,"1200, 900, 1050","900, 1050"
50,Peter Schmidt from Germany,1050,1200,1150,1050,6955e6f6-2aa0-4420-a238-15260b126e2f,"1200, 1200, 900, 1050","1200, 1200, 1050"
50,Yi-Nuo Wang from China,1000,1500,1208.3333333333333,1500,79189fc9-3c67-405d-b0b4-6411110d7c43,"1000, 1500, 1200, 1300, 1250, 1300, 1000, 500, 1300, 1500","1000, 1200, 1250, 1000, 1300, 1500"
50,Peter Schmidt from Germany,500,1500,1180,500,79189fc9-3c67-405d-b0b4-6411110d7c43,"1500, 1200, 1300, 1250, 1300, 1500, 1300, 500","1500, 1300, 1300, 1300, 500"
50,Yi-Nuo Wang from China,1000,1250,1137.5,1250,917c23c1-1625-4a32-9688-e9f49ea56079,"1000, 1100, 1200, 1250","1000, 1100, 1200, 1250"
50,Peter Schmidt from Germany,1000,1250,1137.5,1250,917c23c1-1625-4a32-9688-e9f49ea56079,"1000, 1100, 1200, 1250","1000, 1100, 1200, 1250"
50,Yi-Nuo Wang from China,900,1200,1050,1050,971233cc-5b15-44dd-b347-92aa528a3e76,"1200, 900, 1050, 1050","1200, 900, 1050, 1050"
50,Peter Schmidt from Germany,1050,1200,1100,1050,971233cc-5b15-44dd-b347-92aa528a3e76,"1200, 900, 1050, 1050","1200, 1050, 1050"
50,Yi-Nuo Wang from China,0,0,0,0,bdfbcca0-f596-49b0-bc5d-f6e104f7a062,,
50,Peter Schmidt from Germany,800,800,800,800,bdfbcca0-f596-49b0-bc5d-f6e104f7a062,800,800
