Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,600.0,740.0,683.0,650.0,22963780-cd3b-453f-afb4-b8d6abdd09ea,"600.0, 700.0, 750.0, 725.0, 740.0, 740.0, 650.0","600.0, 700.0, 725.0, 740.0, 650.0"
50,Peter Schmidt from Germany,700.0,800.0,747.5,700.0,22963780-cd3b-453f-afb4-b8d6abdd09ea,"800.0, 700.0, 750.0, 725.0, 740.0, 650.0, 700.0","800.0, 750.0, 740.0, 700.0"
50,Emilia Müller from Germany,700.0,850.0,793.75,850.0,2b711fd6-d419-44e7-a1e2-b6bd89ce9274,"700.0, 900.0, 800.0, 850.0, 825.0, 875.0, 850.0","700.0, 800.0, 825.0, 850.0"
50,Peter Schmidt from Germany,850.0,1000.0,900.0,875.0,2b711fd6-d419-44e7-a1e2-b6bd89ce9274,"1000.0, 700.0, 900.0, 800.0, 850.0, 825.0, 875.0, 850.0, 875.0","1000.0, 900.0, 850.0, 875.0, 875.0"
50,Emilia Müller from Germany,700.0,850.0,775.0,850.0,317c8997-7846-4411-8840-ba0136107a13,"700.0, 750.0, 800.0, 850.0","700.0, 750.0, 800.0, 850.0"
50,Peter Schmidt from Germany,0,0,0,0,317c8997-7846-4411-8840-ba0136107a13,,
50,Emilia Müller from Germany,800.0,1200.0,1000.0,1200.0,395799bf-f064-432c-85c5-68ba11a574c2,"800.0, 900.0, 1000.0, 1100.0, 1200.0","800.0, 900.0, 1000.0, 1100.0, 1200.0"
50,Peter Schmidt from Germany,800.0,1200.0,1000.0,1200.0,395799bf-f064-432c-85c5-68ba11a574c2,"800.0, 900.0, 1000.0, 1100.0, 1200.0","800.0, 900.0, 1000.0, 1100.0, 1200.0"
50,Emilia Müller from Germany,1000.0,1300.0,1150.0,1300.0,3b6f38b5-ec62-4846-a1dd-0992c2a0112a,"1000.0, 1300.0, 1100.0, 1200.0, 1375.0, 1300.0","1000.0, 1100.0, 1200.0, 1300.0"
50,Peter Schmidt from Germany,1300.0,1500.0,1387.5,1400.0,3b6f38b5-ec62-4846-a1dd-0992c2a0112a,"1500.0, 1400.0, 1300.0, 1100.0, 1350.0, 1200.0, 1375.0, 1300.0, 1400.0","1500.0, 1400.0, 1300.0, 1350.0, 1375.0, 1400.0"
50,Emilia Müller from Germany,580.0,650.0,612.0,620.0,493695e4-bf8f-4622-a7d7-bef3b995d812,"650.0, 580.0, 600.0, 610.0, 620.0","650.0, 580.0, 600.0, 610.0, 620.0"
50,Peter Schmidt from Germany,0,0,0,0,493695e4-bf8f-4622-a7d7-bef3b995d812,,
