Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Haoyu Wang from China,700.0,850.0,800.0,850.0,026bfbda-6226-4db3-b2f0-49496acbf16f,"850.0, 700.0, 800.0, 850.0","850.0, 700.0, 800.0, 850.0"
50,Peter Schmidt from Germany,850.0,1000.0,925.0,850.0,026bfbda-6226-4db3-b2f0-49496acbf16f,"1000.0, 850.0","1000.0, 850.0"
50,Haoyu Wang from China,450.0,625.0,545.0,625.0,10444ec7-16fc-492b-848f-37d15d014b64,"450.0, 500.0, 550.0, 600.0, 625.0","450.0, 500.0, 550.0, 600.0, 625.0"
50,Peter Schmidt from Germany,450.0,625.0,537.5,625.0,10444ec7-16fc-492b-848f-37d15d014b64,"450.0, 625.0","450.0, 625.0"
50,Haoyu Wang from China,600.0,750.0,683.3333333333334,750.0,10bc70fa-1e91-49aa-9c84-692ab6577611,"600.0, 800.0, 700.0, 750.0","600.0, 700.0, 750.0"
50,Peter Schmidt from Germany,750.0,1000.0,850.0,750.0,10bc70fa-1e91-49aa-9c84-692ab6577611,"1000.0, 600.0, 800.0, 700.0, 750.0","1000.0, 800.0, 750.0"
50,Haoyu Wang from China,250.0,500.0,390.0,500.0,261c9369-f8b0-440e-ab3a-2ef4993d6add,"250.0, 350.0, 400.0, 450.0, 500.0","250.0, 350.0, 400.0, 450.0, 500.0"
50,Peter Schmidt from Germany,550.0,550.0,550.0,550.0,261c9369-f8b0-440e-ab3a-2ef4993d6add,550.0,550.0
50,Haoyu Wang from China,700.0,800.0,750.0,700.0,37d6326e-5b83-471e-aa11-06ed95c14328,"800.0, 700.0","800.0, 700.0"
50,Peter Schmidt from Germany,600.0,700.0,650.0,700.0,37d6326e-5b83-471e-aa11-06ed95c14328,"600.0, 700.0","600.0, 700.0"
50,Haoyu Wang from China,400.0,500.0,465.0,500.0,42046ab7-3452-4963-9c0e-1acd418cf28e,"400.0, 450.0, 475.0, 500.0, 500.0","400.0, 450.0, 475.0, 500.0, 500.0"
50,Peter Schmidt from Germany,0,0,0,0,42046ab7-3452-4963-9c0e-1acd418cf28e,,
50,Haoyu Wang from China,300.0,500.0,412.5,500.0,46b4f304-b763-4185-b1c5-40b385b0b857,"300.0, 300.0, 400.0, 450.0, 500.0","300.0, 400.0, 450.0, 500.0"
50,Peter Schmidt from Germany,0,0,0,0,46b4f304-b763-4185-b1c5-40b385b0b857,,
50,Haoyu Wang from China,480.0,550.0,503.0,495.0,48705e2d-09a4-423e-adcd-43eb2ff04fc8,"550.0, 500.0, 480.0, 490.0, 495.0","550.0, 500.0, 480.0, 490.0, 495.0"
50,Peter Schmidt from Germany,500.0,500.0,500.0,500.0,48705e2d-09a4-423e-adcd-43eb2ff04fc8,500.0,500.0
50,Haoyu Wang from China,600.0,800.0,700.0,800.0,4c1a922e-28bd-4836-bce4-204db11d010b,"600.0, 650.0, 700.0, 750.0, 800.0","600.0, 650.0, 700.0, 750.0, 800.0"
50,Peter Schmidt from Germany,0,0,0,0,4c1a922e-28bd-4836-bce4-204db11d010b,,
50,Haoyu Wang from China,500.0,680.0,626.0,680.0,4c9a3938-2200-48ed-a9c8-df320580e6fe,"500.0, 500.0, 625.0, 650.0, 675.0, 680.0","500.0, 625.0, 650.0, 675.0, 680.0"
50,Peter Schmidt from Germany,700.0,850.0,775.0,850.0,4c9a3938-2200-48ed-a9c8-df320580e6fe,"700.0, 750.0, 800.0, 850.0","700.0, 750.0, 800.0, 850.0"
50,Haoyu Wang from China,500.0,700.0,600.0,700.0,607065a7-e342-4062-91ca-92036ad49b05,"500.0, 550.0, 600.0, 650.0, 700.0","500.0, 550.0, 600.0, 650.0, 700.0"
50,Peter Schmidt from Germany,0,0,0,0,607065a7-e342-4062-91ca-92036ad49b05,,
50,Haoyu Wang from China,400.0,550.0,475.0,550.0,623040ff-b4b5-4c91-aa15-adfcf8c65338,"400.0, 450.0, 500.0, 550.0","400.0, 450.0, 500.0, 550.0"
50,Peter Schmidt from Germany,0,0,0,0,623040ff-b4b5-4c91-aa15-adfcf8c65338,,
50,Haoyu Wang from China,525.0,700.0,605.0,525.0,68d168bb-2e9e-490c-b6db-1d234b970f07,"700.0, 650.0, 600.0, 550.0, 525.0","700.0, 650.0, 600.0, 550.0, 525.0"
50,Peter Schmidt from Germany,0,0,0,0,68d168bb-2e9e-490c-b6db-1d234b970f07,,
50,Haoyu Wang from China,400.0,520.0,470.0,520.0,6fe28743-4dbe-43b5-b2fd-08e0becabab1,"400.0, 450.0, 480.0, 500.0, 520.0","400.0, 450.0, 480.0, 500.0, 520.0"
50,Peter Schmidt from Germany,400.0,520.0,470.0,520.0,6fe28743-4dbe-43b5-b2fd-08e0becabab1,"400.0, 450.0, 480.0, 500.0, 520.0","400.0, 450.0, 480.0, 500.0, 520.0"
50,Haoyu Wang from China,700.0,800.0,762.5,800.0,7640f5a9-5bd7-48d2-a6d3-e64ac095cf84,"700.0, 750.0, 800.0, 800.0","700.0, 750.0, 800.0, 800.0"
