Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Haoyu Wang from China,600.0,800.0,730.0,800.0,01aa488a-5bc0-4b8b-9c7e-4c076aad9b9b,"600.0, 700.0, 750.0, 800.0, 800.0","600.0, 700.0, 750.0, 800.0, 800.0"
50,Peter Schmidt from Germany,800.0,950.0,883.3333333333334,950.0,01aa488a-5bc0-4b8b-9c7e-4c076aad9b9b,"800.0, 900.0, 950.0","800.0, 900.0, 950.0"
50,Haoyu Wang from China,800.0,930.0,881.0,930.0,01f89e3d-689e-4b9b-8a1f-a888daa67051,"800.0, 850.0, 950.0, 900.0, 975.0, 925.0, 960.0, 930.0","800.0, 850.0, 900.0, 925.0, 930.0"
50,Peter Schmidt from Germany,950.0,1000.0,968.0,955.0,01f89e3d-689e-4b9b-8a1f-a888daa67051,"1000.0, 850.0, 950.0, 900.0, 975.0, 925.0, 960.0, 930.0, 955.0","1000.0, 950.0, 975.0, 960.0, 955.0"
50,Haoyu Wang from China,900.0,1300.0,1100.0,1300.0,03ae1cb8-7ba6-497e-bf4d-dcd16ab1031d,"900.0, 1000.0, 1100.0, 1200.0, 1300.0","900.0, 1000.0, 1100.0, 1200.0, 1300.0"
50,Peter Schmidt from Germany,900.0,900.0,900.0,900.0,03ae1cb8-7ba6-497e-bf4d-dcd16ab1031d,900.0,900.0
50,Haoyu Wang from China,500.0,600.0,550.0,550.0,18a07c57-0842-4ce6-ba1a-0c4bbe3c207b,"500.0, 600.0, 550.0, 550.0","500.0, 600.0, 550.0, 550.0"
50,Peter Schmidt from Germany,500.0,600.0,550.0,550.0,18a07c57-0842-4ce6-ba1a-0c4bbe3c207b,"500.0, 600.0, 550.0, 550.0","500.0, 600.0, 550.0, 550.0"
50,Haoyu Wang from China,600.0,750.0,683.3333333333334,750.0,198c3644-7387-401f-b6fd-5bf03cb219d5,"600.0, 800.0, 700.0, 750.0","600.0, 700.0, 750.0"
50,Peter Schmidt from Germany,750.0,800.0,775.0,750.0,198c3644-7387-401f-b6fd-5bf03cb219d5,"800.0, 750.0","800.0, 750.0"
50,Haoyu Wang from China,800.0,980.0,896.0,980.0,42ca4207-6235-4556-8332-d4c97bfe34a5,"800.0, 850.0, 900.0, 950.0, 980.0","800.0, 850.0, 900.0, 950.0, 980.0"
50,Peter Schmidt from Germany,800.0,1000.0,913.3333333333334,980.0,42ca4207-6235-4556-8332-d4c97bfe34a5,"1000.0, 800.0, 850.0, 900.0, 950.0, 980.0","1000.0, 800.0, 850.0, 900.0, 950.0, 980.0"
