Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,700.0,850.0,775.0,850.0,0a132edf-1609-47ce-b81f-30f80ab43e4f,"700.0, 700.0, 750.0, 800.0, 850.0","700.0, 750.0, 800.0, 850.0"
50,Peter Schmidt from Germany,0,0,0,0,0a132edf-1609-47ce-b81f-30f80ab43e4f,,
50,Maryam Abbasi from Iran,950.0,1000.0,977.5,985.0,0f39dbc6-7caa-43b7-a6e9-e1538bc247a0,"1000.0, 950.0, 975.0, 985.0","1000.0, 950.0, 975.0, 985.0"
50,Peter Schmidt from Germany,1050.0,1500.0,1212.5,1050.0,0f39dbc6-7caa-43b7-a6e9-e1538bc247a0,"1500.0, 1200.0, 1100.0, 1050.0","1500.0, 1200.0, 1100.0, 1050.0"
50,Maryam Abbasi from Iran,900.0,950.0,940.0,950.0,12e1b578-0e52-4874-be60-7973d45377bd,"900.0, 950.0, 950.0, 950.0, 950.0","900.0, 950.0, 950.0, 950.0, 950.0"
50,Peter Schmidt from Germany,0,0,0,0,12e1b578-0e52-4874-be60-7973d45377bd,,
50,Maryam Abbasi from Iran,500.0,580.0,552.0,580.0,13edfd83-2341-465a-bb45-6a1c62e6a67b,"500.0, 550.0, 560.0, 570.0, 580.0","500.0, 550.0, 560.0, 570.0, 580.0"
50,Peter Schmidt from Germany,575.0,600.0,589.0,595.0,13edfd83-2341-465a-bb45-6a1c62e6a67b,"600.0, 575.0, 585.0, 590.0, 595.0","600.0, 575.0, 585.0, 590.0, 595.0"
50,Maryam Abbasi from Iran,0,0,0,0,17153d6b-900e-4fa3-add5-3bfd3ac81689,,
50,Peter Schmidt from Germany,0,0,0,0,17153d6b-900e-4fa3-add5-3bfd3ac81689,,
50,Maryam Abbasi from Iran,800.0,1000.0,912.5,1000.0,1a44af4e-e2b3-496d-ace4-b1ba1159babb,"800.0, 900.0, 950.0, 1000.0","800.0, 900.0, 950.0, 1000.0"
