Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,500.0,800.0,650.0,700.0,0f630f74-67a7-45df-8f62-7c7ed8a6bd2e,"500.0, 1000.0, 600.0, 600.0, 800.0, 700.0","500.0, 600.0, 800.0, 700.0"
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,0f630f74-67a7-45df-8f62-7c7ed8a6bd2e,1000.0,1000.0
50,Yi-Nuo Wang from China,500.0,580.0,551.25,580.0,19ea7eff-52f2-45e6-9e07-529779dc90c3,"500.0, 550.0, 575.0, 580.0","500.0, 550.0, 575.0, 580.0"
50,Peter Schmidt from Germany,580.0,600.0,592.5,580.0,19ea7eff-52f2-45e6-9e07-529779dc90c3,"600.0, 600.0, 590.0, 580.0","600.0, 600.0, 590.0, 580.0"
50,Yi-Nuo Wang from China,950.0,1000.0,973.0,960.0,1b4d541b-23c5-4535-8ad7-b2ead12b6617,"1000.0, 950.0, 975.0, 980.0, 960.0","1000.0, 950.0, 975.0, 980.0, 960.0"
50,Peter Schmidt from Germany,0,0,0,0,1b4d541b-23c5-4535-8ad7-b2ead12b6617,,
50,Yi-Nuo Wang from China,400.0,500.0,450.0,400.0,215616ca-e181-4854-867b-7f39e863d448,"500.0, 450.0, 400.0","500.0, 450.0, 400.0"
50,Peter Schmidt from Germany,0,0,0,0,215616ca-e181-4854-867b-7f39e863d448,,
50,Yi-Nuo Wang from China,700.0,900.0,800.0,900.0,21916421-f009-43d1-bf7c-2fa3070c2a66,"700.0, 750.0, 800.0, 850.0, 900.0","700.0, 750.0, 800.0, 850.0, 900.0"
50,Peter Schmidt from Germany,900.0,900.0,900.0,900.0,21916421-f009-43d1-bf7c-2fa3070c2a66,900.0,900.0
50,Yi-Nuo Wang from China,1500.0,1700.0,1600.0,1700.0,30192449-4104-4a25-b502-397e417a8dc1,"1500.0, 1600.0, 1700.0","1500.0, 1600.0, 1700.0"
50,Peter Schmidt from Germany,1700.0,2000.0,1820.0,1750.0,30192449-4104-4a25-b502-397e417a8dc1,"2000.0, 1900.0, 1700.0, 1600.0, 1750.0, 1700.0, 1750.0","2000.0, 1900.0, 1700.0, 1750.0, 1750.0"
50,Yi-Nuo Wang from China,700.0,750.0,728.0,720.0,3f9cbff9-fab9-4853-a7b8-1687cf6d0cf1,"700.0, 750.0, 750.0, 740.0, 730.0, 720.0","700.0, 750.0, 740.0, 730.0, 720.0"
50,Peter Schmidt from Germany,0,0,0,0,3f9cbff9-fab9-4853-a7b8-1687cf6d0cf1,,
50,Yi-Nuo Wang from China,500.0,500.0,500.0,500.0,44daa321-0d3c-483d-8ec3-fde9429a36a8,500.0,500.0
