Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,500.0,500.0,500.0,500.0,01534166-c0af-4a76-b557-7a3a785f063a,500.0,500.0
50,Peter Schmidt from Germany,0,0,0,0,01534166-c0af-4a76-b557-7a3a785f063a,,
50,Emilia Müller from Germany,750.0,750.0,750.0,750.0,0a151231-d66d-4cd4-ac54-e59c5a4d7f42,"750.0, 750.0","750.0, 750.0"
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,0a151231-d66d-4cd4-ac54-e59c5a4d7f42,1000.0,1000.0
50,Emilia Müller from Germany,750.0,950.0,850.0,950.0,0adf0c88-bf71-4373-abbc-28dc4bffda29,"750.0, 800.0, 850.0, 900.0, 950.0","750.0, 800.0, 850.0, 900.0, 950.0"
50,Peter Schmidt from Germany,800.0,950.0,875.0,950.0,0adf0c88-bf71-4373-abbc-28dc4bffda29,"800.0, 850.0, 900.0, 950.0","800.0, 850.0, 900.0, 950.0"
50,Emilia Müller from Germany,500.0,650.0,575.0,650.0,125ef229-fdb4-4aa7-8fe6-70d3dc4737ce,"500.0, 550.0, 600.0, 650.0","500.0, 550.0, 600.0, 650.0"
50,Peter Schmidt from Germany,0,0,0,0,125ef229-fdb4-4aa7-8fe6-70d3dc4737ce,,
50,Emilia Müller from Germany,800.0,900.0,850.0,900.0,3ccc3ed1-2ceb-43c6-9a6d-ce4c22df055b,"950.0, 800.0, 900.0, 850.0, 900.0","800.0, 850.0, 900.0"
50,Peter Schmidt from Germany,900.0,1000.0,930.0,900.0,3ccc3ed1-2ceb-43c6-9a6d-ce4c22df055b,"1000.0, 950.0, 800.0, 900.0, 850.0, 900.0, 900.0","1000.0, 950.0, 900.0, 900.0, 900.0"
50,Emilia Müller from Germany,1000.0,1000.0,1000.0,1000.0,48f0de0e-376e-4077-b772-58ad852e3218,1000.0,1000.0
50,Peter Schmidt from Germany,0,0,0,0,48f0de0e-376e-4077-b772-58ad852e3218,,
50,Emilia Müller from Germany,1325.0,1400.0,1358.3333333333333,1350.0,598d38a3-b9ae-4253-8564-02f17277af9c,"1400.0, 1350.0, 1325.0, 1350.0","1400.0, 1325.0, 1350.0"
50,Peter Schmidt from Germany,1350.0,1500.0,1416.6666666666667,1350.0,598d38a3-b9ae-4253-8564-02f17277af9c,"1500.0, 1400.0, 1350.0","1500.0, 1400.0, 1350.0"
50,Emilia Müller from Germany,850.0,900.0,875.0,900.0,5b3881eb-3832-42dd-8064-da5b3d66d879,"900.0, 850.0, 900.0, 900.0","850.0, 900.0"
