Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,750.0,770.0,763.75,770.0,0f13cea2-e355-4035-8fe3-409fc36c55d0,"750.0, 775.0, 765.0, 770.0, 770.0, 770.0","750.0, 765.0, 770.0, 770.0"
50,Peter Schmidt from Germany,770.0,800.0,781.6666666666666,770.0,0f13cea2-e355-4035-8fe3-409fc36c55d0,"800.0, 750.0, 775.0, 765.0, 770.0","800.0, 775.0, 770.0"
50,Emilia Müller from Germany,0,0,0,0,18963db7-6063-43cc-a505-4fb7629a9bbb,,
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,18963db7-6063-43cc-a505-4fb7629a9bbb,1000.0,1000.0
50,Emilia Müller from Germany,900.0,950.0,925.0,950.0,19c7563b-3af5-4a46-a432-88e174f0d34d,"900.0, 950.0","900.0, 950.0"
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,19c7563b-3af5-4a46-a432-88e174f0d34d,1000.0,1000.0
50,Emilia Müller from Germany,800.0,850.0,825.0,850.0,1db2278f-9170-4431-bb8f-3670790c600d,"900.0, 800.0, 850.0, 825.0, 850.0, 850.0","800.0, 825.0, 850.0"
50,Peter Schmidt from Germany,850.0,1000.0,900.0,850.0,1db2278f-9170-4431-bb8f-3670790c600d,"1000.0, 900.0, 800.0, 850.0, 825.0, 850.0","1000.0, 900.0, 850.0, 850.0"
50,Emilia Müller from Germany,1500.0,2000.0,1662.5,1550.0,212c7cea-f3b3-4c0e-a1a7-14e9f5e8e9f5,"2000.0, 1800.0, 1500.0, 1600.0, 1550.0","2000.0, 1500.0, 1600.0, 1550.0"
50,Peter Schmidt from Germany,1550.0,2000.0,1737.5,1550.0,212c7cea-f3b3-4c0e-a1a7-14e9f5e8e9f5,"2000.0, 1800.0, 1600.0, 1550.0","2000.0, 1800.0, 1600.0, 1550.0"
50,Emilia Müller from Germany,0,0,0,0,2a493c10-c16e-4781-831f-fa7958c001f6,,
50,Peter Schmidt from Germany,0,0,0,0,2a493c10-c16e-4781-831f-fa7958c001f6,,
