Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,900.0,1100.0,1025.0,1050.0,0d790175-efc6-4ead-bd8a-580bf10568c5,"900.0, 1000.0, 1100.0, 1050.0, 1050.0","900.0, 1100.0, 1050.0, 1050.0"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,0d790175-efc6-4ead-bd8a-580bf10568c5,"1200.0, 1000.0, 1100.0","1200.0, 1100.0"
50,Farhad Abbasi from Iran,350.0,450.0,412.5,450.0,0d7ee9ca-f1f6-40ce-9985-e8a10963dcc2,"350.0, 400.0, 450.0, 450.0","350.0, 400.0, 450.0, 450.0"
50,Peter Schmidt from Germany,0,0,0,0,0d7ee9ca-f1f6-40ce-9985-e8a10963dcc2,,
50,Farhad Abbasi from Iran,1200.0,1200.0,1200.0,1200.0,1560a80a-3d89-4b69-b197-0f11f099b019,1200.0,1200.0
50,Peter Schmidt from Germany,1200.0,1500.0,1350.0,1200.0,1560a80a-3d89-4b69-b197-0f11f099b019,"1500.0, 1200.0","1500.0, 1200.0"
50,Farhad Abbasi from Iran,500.0,700.0,612.5,650.0,19361754-986d-461a-92d1-0e37d0c6b546,"500.0, 800.0, 600.0, 700.0, 750.0, 650.0","500.0, 600.0, 700.0, 650.0"
50,Peter Schmidt from Germany,750.0,800.0,781.25,775.0,19361754-986d-461a-92d1-0e37d0c6b546,"800.0, 600.0, 800.0, 700.0, 750.0, 650.0, 775.0","800.0, 800.0, 750.0, 775.0"
50,Farhad Abbasi from Iran,0,0,0,0,1e312e60-4a56-4eb9-987f-27c30e9331c5,,
50,Peter Schmidt from Germany,1500.0,1500.0,1500.0,1500.0,1e312e60-4a56-4eb9-987f-27c30e9331c5,1500.0,1500.0
50,Farhad Abbasi from Iran,850.0,900.0,875.0,900.0,21256ab7-6268-4eff-a9db-1f2091e3745d,"850.0, 900.0","850.0, 900.0"
50,Peter Schmidt from Germany,850.0,1000.0,937.5,900.0,21256ab7-6268-4eff-a9db-1f2091e3745d,"1000.0, 1000.0, 850.0, 900.0","1000.0, 1000.0, 850.0, 900.0"
50,Farhad Abbasi from Iran,0,0,0,0,27c445de-61de-4810-b0c4-b3c84d7f58a5,,
50,Peter Schmidt from Germany,0,0,0,0,27c445de-61de-4810-b0c4-b3c84d7f58a5,,
50,Farhad Abbasi from Iran,0,0,0,0,28c5ff85-fc17-4d35-b840-7f986890848e,,
50,Peter Schmidt from Germany,0,0,0,0,28c5ff85-fc17-4d35-b840-7f986890848e,,
50,Farhad Abbasi from Iran,800.0,950.0,883.3333333333334,950.0,2ded4296-e589-4495-a51d-66616a3a42d1,"800.0, 900.0, 950.0","800.0, 900.0, 950.0"
50,Peter Schmidt from Germany,1000.0,1100.0,1050.0,1050.0,2ded4296-e589-4495-a51d-66616a3a42d1,"1000.0, 1100.0, 1050.0","1000.0, 1100.0, 1050.0"
50,Farhad Abbasi from Iran,700.0,900.0,816.6666666666666,900.0,3389a622-35a0-458c-a4c1-48028353d619,"700.0, 950.0, 850.0, 900.0","700.0, 850.0, 900.0"
50,Peter Schmidt from Germany,900.0,1000.0,950.0,900.0,3389a622-35a0-458c-a4c1-48028353d619,"1000.0, 700.0, 950.0, 850.0, 900.0","1000.0, 950.0, 900.0"
50,Farhad Abbasi from Iran,750.0,850.0,806.25,825.0,41ebd092-55f9-485a-8fce-07611e9a986f,"750.0, 850.0, 800.0, 825.0","750.0, 850.0, 800.0, 825.0"
50,Peter Schmidt from Germany,0,0,0,0,41ebd092-55f9-485a-8fce-07611e9a986f,,
50,Farhad Abbasi from Iran,900.0,1050.0,983.3333333333334,1050.0,421daca1-50ef-4899-92c7-bfdb61b22d8c,"900.0, 1000.0, 1050.0","900.0, 1000.0, 1050.0"
50,Peter Schmidt from Germany,1200.0,1500.0,1350.0,1200.0,421daca1-50ef-4899-92c7-bfdb61b22d8c,"1500.0, 1200.0","1500.0, 1200.0"
50,Farhad Abbasi from Iran,1200.0,1200.0,1200.0,1200.0,531ee17d-fbe0-4e26-8793-f148e9f93849,"1200.0, 1200.0, 1200.0","1200.0, 1200.0, 1200.0"
50,Peter Schmidt from Germany,1200.0,1200.0,1200.0,1200.0,531ee17d-fbe0-4e26-8793-f148e9f93849,"1200.0, 1200.0","1200.0, 1200.0"
50,Farhad Abbasi from Iran,750.0,950.0,850.0,950.0,5952e5a9-f6f0-405e-9794-812ee1beaab3,"750.0, 800.0, 850.0, 900.0, 950.0","750.0, 800.0, 850.0, 900.0, 950.0"
50,Peter Schmidt from Germany,0,0,0,0,5952e5a9-f6f0-405e-9794-812ee1beaab3,,
50,Farhad Abbasi from Iran,1250.0,1500.0,1383.3333333333333,1250.0,5ac4c3f7-7df8-4c65-ae3a-43f287364d29,"1500.0, 1400.0, 1300.0, 1250.0","1500.0, 1400.0, 1250.0"
50,Peter Schmidt from Germany,1300.0,1500.0,1400.0,1300.0,5ac4c3f7-7df8-4c65-ae3a-43f287364d29,"1500.0, 1400.0, 1300.0","1500.0, 1400.0, 1300.0"
50,Farhad Abbasi from Iran,800.0,860.0,836.6666666666666,860.0,8619ad07-95c1-43f7-88d6-902d840af9df,"800.0, 900.0, 850.0, 875.0, 860.0","800.0, 850.0, 860.0"
50,Peter Schmidt from Germany,875.0,1000.0,912.5,875.0,8619ad07-95c1-43f7-88d6-902d840af9df,"1000.0, 800.0, 900.0, 850.0, 875.0, 860.0, 875.0","1000.0, 900.0, 875.0, 875.0"
50,Farhad Abbasi from Iran,600.0,800.0,700.0,800.0,9135e8d5-a376-4155-bb63-71d981eacc83,"600.0, 650.0, 700.0, 750.0, 800.0","600.0, 650.0, 700.0, 750.0, 800.0"
50,Peter Schmidt from Germany,600.0,800.0,700.0,800.0,9135e8d5-a376-4155-bb63-71d981eacc83,"600.0, 650.0, 750.0, 800.0, 800.0","600.0, 650.0, 750.0, 800.0"
50,Farhad Abbasi from Iran,700.0,800.0,770.0,800.0,9d543059-2b85-48fc-9f78-6d8fd3cc607e,"700.0, 750.0, 800.0, 800.0, 800.0","700.0, 750.0, 800.0, 800.0, 800.0"
50,Peter Schmidt from Germany,750.0,750.0,750.0,750.0,9d543059-2b85-48fc-9f78-6d8fd3cc607e,750.0,750.0
50,Farhad Abbasi from Iran,500.0,500.0,500.0,500.0,9d6b1c86-e3df-48f9-9a36-265f32cff2b0,500.0,500.0
50,Peter Schmidt from Germany,500.0,500.0,500.0,500.0,9d6b1c86-e3df-48f9-9a36-265f32cff2b0,500.0,500.0
50,Farhad Abbasi from Iran,800.0,1000.0,900.0,1000.0,b3830783-209f-442f-89d7-2600488200cb,"800.0, 800.0, 850.0, 900.0, 950.0, 1000.0","800.0, 850.0, 900.0, 950.0, 1000.0"
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,b3830783-209f-442f-89d7-2600488200cb,1000.0,1000.0
50,Farhad Abbasi from Iran,800.0,1000.0,863.75,830.0,b9c05eb4-96a6-4065-af52-4a22b96f4042,"1000.0, 950.0, 800.0, 850.0, 825.0, 835.0, 830.0","1000.0, 800.0, 825.0, 830.0"
50,Peter Schmidt from Germany,830.0,1000.0,893.0,830.0,b9c05eb4-96a6-4065-af52-4a22b96f4042,"1000.0, 950.0, 800.0, 850.0, 825.0, 835.0, 830.0","1000.0, 950.0, 850.0, 835.0, 830.0"
50,Farhad Abbasi from Iran,900.0,1200.0,1050.0,1050.0,cb75e53a-4476-443a-89e5-8f1884bd265a,"1200.0, 1100.0, 900.0, 1050.0, 1050.0","1200.0, 900.0, 1050.0, 1050.0"
50,Peter Schmidt from Germany,1050.0,1200.0,1116.6666666666667,1050.0,cb75e53a-4476-443a-89e5-8f1884bd265a,"1200.0, 1100.0, 900.0, 1050.0","1200.0, 1100.0, 1050.0"
50,Farhad Abbasi from Iran,1250.0,1500.0,1375.0,1250.0,de1c2bf1-d2ee-42a4-8fd3-f225e1a63f46,"1500.0, 1250.0","1500.0, 1250.0"
50,Peter Schmidt from Germany,1750.0,2000.0,1833.3333333333333,1750.0,de1c2bf1-d2ee-42a4-8fd3-f225e1a63f46,"2000.0, 1500.0, 1750.0, 1250.0, 1750.0","2000.0, 1750.0, 1750.0"
50,Farhad Abbasi from Iran,500.0,650.0,575.0,650.0,e68c83c6-73c0-4b08-934c-cb22491cae7b,"500.0, 550.0, 600.0, 650.0","500.0, 550.0, 600.0, 650.0"
50,Peter Schmidt from Germany,0,0,0,0,e68c83c6-73c0-4b08-934c-cb22491cae7b,,
50,Farhad Abbasi from Iran,1350.0,1400.0,1366.6666666666667,1350.0,ea5f90ad-896c-4c99-bfe2-64dc93f84426,"1400.0, 1350.0, 1350.0","1400.0, 1350.0, 1350.0"
50,Peter Schmidt from Germany,1350.0,1500.0,1400.0,1350.0,ea5f90ad-896c-4c99-bfe2-64dc93f84426,"1500.0, 1400.0, 1350.0, 1350.0, 1350.0","1500.0, 1400.0, 1350.0, 1350.0"
