Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,950.0,975.0,962.5,975.0,04db737f-2b24-4af1-8ff8-3e2795b1dd7d,"950.0, 975.0","950.0, 975.0"
50,Peter Schmidt from Germany,975.0,1000.0,987.5,975.0,04db737f-2b24-4af1-8ff8-3e2795b1dd7d,"1000.0, 975.0","1000.0, 975.0"
50,Maryam Abbasi from Iran,900.0,1000.0,941.6666666666666,925.0,0c3b9e1b-977a-45f2-b5bc-e6345754b0d8,"1000.0, 950.0, 900.0, 925.0","1000.0, 900.0, 925.0"
50,Peter Schmidt from Germany,925.0,1000.0,950.0,925.0,0c3b9e1b-977a-45f2-b5bc-e6345754b0d8,"1000.0, 950.0, 900.0, 925.0, 925.0","1000.0, 950.0, 925.0, 925.0"
50,Maryam Abbasi from Iran,850.0,1000.0,918.75,875.0,143e43b9-6a9d-43fa-b6be-03497c3e14eb,"1000.0, 950.0, 900.0, 850.0, 875.0, 875.0","1000.0, 950.0, 850.0, 875.0"
50,Peter Schmidt from Germany,875.0,1000.0,920.0,875.0,143e43b9-6a9d-43fa-b6be-03497c3e14eb,"1000.0, 950.0, 900.0, 875.0, 875.0","1000.0, 950.0, 900.0, 875.0, 875.0"
50,Maryam Abbasi from Iran,900.0,950.0,916.6666666666666,900.0,34e669c0-b0a5-400f-ac28-dc8defe3fe3e,"950.0, 900.0, 900.0","950.0, 900.0, 900.0"
50,Peter Schmidt from Germany,900.0,1000.0,950.0,900.0,34e669c0-b0a5-400f-ac28-dc8defe3fe3e,"1000.0, 950.0, 900.0","1000.0, 950.0, 900.0"
50,Maryam Abbasi from Iran,850.0,900.0,876.25,880.0,420b2481-3708-4c5c-9285-8bf6627d1768,"1000.0, 900.0, 950.0, 850.0, 875.0, 890.0, 880.0","900.0, 850.0, 875.0, 880.0"
50,Peter Schmidt from Germany,890.0,1000.0,926.0,890.0,420b2481-3708-4c5c-9285-8bf6627d1768,"1000.0, 950.0, 850.0, 900.0, 875.0, 890.0, 890.0, 890.0","1000.0, 950.0, 900.0, 890.0, 890.0"
50,Maryam Abbasi from Iran,650.0,750.0,700.0,650.0,52fa064b-2e41-4f7c-83fd-624f040e6ff9,"750.0, 650.0","750.0, 650.0"
50,Peter Schmidt from Germany,650.0,800.0,740.0,650.0,52fa064b-2e41-4f7c-83fd-624f040e6ff9,"800.0, 780.0, 750.0, 720.0, 650.0","800.0, 780.0, 750.0, 720.0, 650.0"
50,Maryam Abbasi from Iran,850.0,900.0,875.0,850.0,55bfd7af-a3ec-47b8-a992-51edf9eb7f75,"900.0, 850.0, 850.0","900.0, 850.0"
