Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Max Müller from Germany,700.0,845.0,781.0,845.0,0215be87-4d5a-4039-9767-c89c7a0d8acd,"700.0, 750.0, 850.0, 780.0, 875.0, 830.0, 860.0, 845.0","700.0, 750.0, 780.0, 830.0, 845.0"
50,Peter Schmidt from Germany,850.0,900.0,868.0,855.0,0215be87-4d5a-4039-9767-c89c7a0d8acd,"900.0, 850.0, 780.0, 875.0, 830.0, 860.0, 845.0, 855.0","900.0, 850.0, 875.0, 860.0, 855.0"
50,Max Müller from Germany,1200.0,1350.0,1275.0,1350.0,0ddc050a-57e5-4fb8-8773-adca68db48e3,"1200.0, 1350.0","1200.0, 1350.0"
50,Peter Schmidt from Germany,1200.0,1500.0,1358.3333333333333,1375.0,0ddc050a-57e5-4fb8-8773-adca68db48e3,"1500.0, 1200.0, 1375.0, 1375.0","1500.0, 1200.0, 1375.0"
50,Max Müller from Germany,1100.0,1200.0,1143.75,1125.0,241d7668-e689-4120-8867-b4b0c87e0e76,"1200.0, 1400.0, 1150.0, 1350.0, 1100.0, 1125.0","1200.0, 1150.0, 1100.0, 1125.0"
50,Peter Schmidt from Germany,1250.0,1500.0,1355.0,1250.0,241d7668-e689-4120-8867-b4b0c87e0e76,"1500.0, 1400.0, 1350.0, 1275.0, 1250.0","1500.0, 1400.0, 1350.0, 1275.0, 1250.0"
50,Max Müller from Germany,1350.0,1375.0,1362.5,1375.0,279d947e-216c-4b80-970a-c4d8922b1608,"1400.0, 1350.0, 1375.0","1350.0, 1375.0"
50,Peter Schmidt from Germany,1375.0,1500.0,1425.0,1375.0,279d947e-216c-4b80-970a-c4d8922b1608,"1500.0, 1400.0, 1350.0, 1375.0","1500.0, 1400.0, 1375.0"
50,Max Müller from Germany,1200.0,1300.0,1250.0,1300.0,29754980-0a40-44ad-8437-d005796dd8b1,"1500.0, 1200.0, 1350.0, 1250.0, 1300.0, 1300.0","1200.0, 1250.0, 1300.0"
50,Peter Schmidt from Germany,1300.0,1500.0,1383.3333333333333,1300.0,29754980-0a40-44ad-8437-d005796dd8b1,"1500.0, 1200.0, 1350.0, 1250.0, 1300.0","1500.0, 1350.0, 1300.0"
50,Max Müller from Germany,1500.0,1625.0,1568.75,1625.0,299aae80-27ef-456a-aa30-b0aee28315ed,"1500.0, 1500.0, 1550.0, 1600.0, 1625.0","1500.0, 1550.0, 1600.0, 1625.0"
50,Peter Schmidt from Germany,1625.0,2000.0,1791.6666666666667,1625.0,299aae80-27ef-456a-aa30-b0aee28315ed,"2000.0, 1750.0, 1625.0","2000.0, 1750.0, 1625.0"
50,Max Müller from Germany,1800.0,2000.0,1900.0,1800.0,376a21e2-adaf-4413-a011-ac06eeac4f06,"2000.0, 1900.0, 1800.0","2000.0, 1900.0, 1800.0"
50,Peter Schmidt from Germany,1800.0,2000.0,1900.0,1800.0,376a21e2-adaf-4413-a011-ac06eeac4f06,"2000.0, 1900.0, 1800.0","2000.0, 1900.0, 1800.0"
50,Max Müller from Germany,800.0,800.0,800.0,800.0,3a4b1401-8394-4c73-ab41-7007ec0af9c6,800.0,800.0
50,Peter Schmidt from Germany,800.0,800.0,800.0,800.0,3a4b1401-8394-4c73-ab41-7007ec0af9c6,800.0,800.0
50,Max Müller from Germany,1000.0,1200.0,1085.0,1075.0,3afe22cc-044e-46e1-b447-ed29e9ed7812,"1200.0, 1200.0, 1000.0, 1050.0, 1100.0, 1075.0","1200.0, 1000.0, 1050.0, 1100.0, 1075.0"
