Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,900.0,1000.0,931.25,915.0,0306b7ca-5e29-4843-886c-c76d4c1d4724,"1000.0, 950.0, 900.0, 925.0, 910.0, 915.0, 915.0","1000.0, 900.0, 910.0, 915.0"
50,Peter Schmidt from Germany,915.0,1000.0,947.5,915.0,0306b7ca-5e29-4843-886c-c76d4c1d4724,"1000.0, 1000.0, 950.0, 900.0, 925.0, 910.0, 915.0","1000.0, 950.0, 925.0, 915.0"
50,Yi-Nuo Wang from China,800.0,950.0,875.0,950.0,09c47217-bf61-4f5d-bbc5-7ea1043b33b1,"800.0, 850.0, 900.0, 950.0","800.0, 850.0, 900.0, 950.0"
50,Peter Schmidt from Germany,1000.0,1000.0,1000.0,1000.0,09c47217-bf61-4f5d-bbc5-7ea1043b33b1,1000.0,1000.0
50,Yi-Nuo Wang from China,0,0,0,0,171efae3-04aa-4119-9bdf-f0ac9120f4df,,
50,Peter Schmidt from Germany,0,0,0,0,171efae3-04aa-4119-9bdf-f0ac9120f4df,,
50,Yi-Nuo Wang from China,700.0,750.0,737.5,750.0,1efc23af-d06b-4c45-bf61-0439b68cbd01,"700.0, 750.0, 750.0, 750.0","700.0, 750.0, 750.0, 750.0"
50,Peter Schmidt from Germany,750.0,750.0,750.0,750.0,1efc23af-d06b-4c45-bf61-0439b68cbd01,"750.0, 750.0","750.0, 750.0"
50,Yi-Nuo Wang from China,0,0,0,0,2923424a-aa79-44dd-a5e2-4c3ed1cdca17,,
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,2923424a-aa79-44dd-a5e2-4c3ed1cdca17,"1200.0, 1100.0","1200.0, 1100.0"
50,Yi-Nuo Wang from China,600.0,800.0,712.5,800.0,37c5f123-55bb-420d-90e6-ba44c63b0658,"600.0, 700.0, 750.0, 800.0","600.0, 700.0, 750.0, 800.0"
50,Peter Schmidt from Germany,0,0,0,0,37c5f123-55bb-420d-90e6-ba44c63b0658,,
50,Yi-Nuo Wang from China,500.0,650.0,575.0,650.0,3b270d14-4de4-4c24-88f2-74c8cd32877c,"500.0, 550.0, 600.0, 650.0","500.0, 550.0, 600.0, 650.0"
50,Peter Schmidt from Germany,0,0,0,0,3b270d14-4de4-4c24-88f2-74c8cd32877c,,
50,Yi-Nuo Wang from China,12.0,740.0,513.0,740.0,404e0c31-3885-4aee-afe1-16911ffade74,"600.0, 800.0, 700.0, 750.0, 12.0, 740.0","600.0, 700.0, 12.0, 740.0"
50,Peter Schmidt from Germany,740.0,800.0,763.3333333333334,740.0,404e0c31-3885-4aee-afe1-16911ffade74,"800.0, 750.0, 740.0","800.0, 750.0, 740.0"
50,Yi-Nuo Wang from China,850.0,850.0,850.0,850.0,44ffbd05-4dcd-439a-8660-63a8af975e20,850.0,850.0
50,Peter Schmidt from Germany,850.0,1000.0,925.0,850.0,44ffbd05-4dcd-439a-8660-63a8af975e20,"1000.0, 850.0","1000.0, 850.0"
50,Yi-Nuo Wang from China,900.0,1200.0,1033.3333333333333,1000.0,4c9fe667-5db5-4b78-b9aa-a0225e432122,"1200.0, 1100.0, 900.0, 1000.0","1200.0, 900.0, 1000.0"
50,Peter Schmidt from Germany,1000.0,1200.0,1100.0,1000.0,4c9fe667-5db5-4b78-b9aa-a0225e432122,"1200.0, 1100.0, 900.0, 1000.0","1200.0, 1100.0, 1000.0"
50,Yi-Nuo Wang from China,1000.0,1050.0,1025.0,1050.0,6095113c-4892-45dc-9734-bd9f9dbd10ad,"1000.0, 1050.0","1000.0, 1050.0"
50,Peter Schmidt from Germany,1250.0,1500.0,1375.0,1250.0,6095113c-4892-45dc-9734-bd9f9dbd10ad,"1500.0, 1500.0, 1250.0","1500.0, 1250.0"
50,Yi-Nuo Wang from China,1100.0,1100.0,1100.0,1100.0,64a423c8-9d55-45cc-aad8-d449067a7ab4,1100.0,1100.0
50,Peter Schmidt from Germany,1050.0,1200.0,1125.0,1050.0,64a423c8-9d55-45cc-aad8-d449067a7ab4,"1200.0, 1150.0, 1100.0, 1050.0","1200.0, 1150.0, 1100.0, 1050.0"
50,Yi-Nuo Wang from China,900.0,1000.0,943.75,925.0,7306d6a5-c793-46ff-9127-31029cc90576,"1000.0, 950.0, 900.0, 925.0","1000.0, 950.0, 900.0, 925.0"
50,Peter Schmidt from Germany,900.0,1000.0,943.75,925.0,7306d6a5-c793-46ff-9127-31029cc90576,"1000.0, 950.0, 900.0, 925.0","1000.0, 950.0, 900.0, 925.0"
50,Yi-Nuo Wang from China,900.0,950.0,933.3333333333334,950.0,78c4a3c0-7a0b-48f7-88ed-79cf12a50589,"900.0, 950.0, 950.0","900.0, 950.0, 950.0"
50,Peter Schmidt from Germany,950.0,1000.0,975.0,950.0,78c4a3c0-7a0b-48f7-88ed-79cf12a50589,"1000.0, 900.0, 950.0","1000.0, 950.0"
50,Yi-Nuo Wang from China,500.0,1000.0,750.0,1000.0,80a82406-3933-4eb7-ab88-8d416dfa81c0,"500.0, 1000.0","500.0, 1000.0"
50,Peter Schmidt from Germany,500.0,1000.0,833.3333333333334,1000.0,80a82406-3933-4eb7-ab88-8d416dfa81c0,"1000.0, 500.0, 1000.0","1000.0, 500.0, 1000.0"
50,Yi-Nuo Wang from China,650.0,700.0,675.0,675.0,92f9507d-ba5f-4668-a53a-a2d52838cdc1,"800.0, 650.0, 750.0, 700.0, 725.0, 675.0","650.0, 700.0, 675.0"
50,Peter Schmidt from Germany,675.0,800.0,750.0,675.0,92f9507d-ba5f-4668-a53a-a2d52838cdc1,"800.0, 650.0, 800.0, 750.0, 700.0, 725.0, 675.0, 675.0","800.0, 800.0, 750.0, 725.0, 675.0"
50,Yi-Nuo Wang from China,900.0,1000.0,950.0,900.0,990342e5-340e-4633-b0a2-d4662dc4fac5,"1000.0, 950.0, 900.0","1000.0, 900.0"
50,Peter Schmidt from Germany,900.0,1000.0,950.0,900.0,990342e5-340e-4633-b0a2-d4662dc4fac5,"1000.0, 950.0, 900.0","1000.0, 950.0, 900.0"
50,Yi-Nuo Wang from China,1450.0,1450.0,1450.0,1450.0,9d0656c0-5e4b-400d-a7f3-48b9e56076b2,1450.0,1450.0
50,Peter Schmidt from Germany,1500.0,1500.0,1500.0,1500.0,9d0656c0-5e4b-400d-a7f3-48b9e56076b2,"1500.0, 1500.0","1500.0, 1500.0"
50,Yi-Nuo Wang from China,0,0,0,0,b7d5e00e-00d2-43f6-ad93-99812aad24c0,,
50,Peter Schmidt from Germany,1200.0,1200.0,1200.0,1200.0,b7d5e00e-00d2-43f6-ad93-99812aad24c0,1200.0,1200.0
50,Yi-Nuo Wang from China,0,0,0,0,bba6e147-c87b-49a4-bd2c-c8c8440de348,,
50,Peter Schmidt from Germany,0,0,0,0,bba6e147-c87b-49a4-bd2c-c8c8440de348,,
50,Yi-Nuo Wang from China,650.0,700.0,681.0,695.0,db08cc53-16bc-4189-a2f4-be8d4c1c17f3,"700.0, 650.0, 675.0, 685.0, 695.0","700.0, 650.0, 675.0, 685.0, 695.0"
50,Peter Schmidt from Germany,700.0,700.0,700.0,700.0,db08cc53-16bc-4189-a2f4-be8d4c1c17f3,700.0,700.0
50,Yi-Nuo Wang from China,825.0,900.0,850.0,825.0,db4579ee-1253-4053-9dda-f5902e3406a5,"900.0, 850.0, 825.0, 825.0","900.0, 850.0, 825.0, 825.0"
50,Peter Schmidt from Germany,825.0,1000.0,885.0,850.0,db4579ee-1253-4053-9dda-f5902e3406a5,"1000.0, 900.0, 850.0, 825.0, 850.0","1000.0, 900.0, 850.0, 825.0, 850.0"
50,Yi-Nuo Wang from China,550.0,700.0,640.0,700.0,deabb9d3-45de-466c-9de0-153b795d75d3,"550.0, 600.0, 650.0, 700.0, 700.0","550.0, 600.0, 650.0, 700.0, 700.0"
50,Peter Schmidt from Germany,0,0,0,0,deabb9d3-45de-466c-9de0-153b795d75d3,,
50,Yi-Nuo Wang from China,1475.0,1475.0,1475.0,1475.0,df5fb171-2e24-4bed-b84d-694f177a1a32,"1450.0, 1475.0, 1475.0","1475.0, 1475.0"
50,Peter Schmidt from Germany,1450.0,1500.0,1475.0,1475.0,df5fb171-2e24-4bed-b84d-694f177a1a32,"1500.0, 1450.0, 1475.0","1500.0, 1450.0, 1475.0"
50,Yi-Nuo Wang from China,550.0,600.0,581.0,590.0,e75d45ff-ace9-4399-b446-7533429df3db,"600.0, 550.0, 575.0, 590.0, 590.0","600.0, 550.0, 575.0, 590.0, 590.0"
