Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,100.0,300.0,200.0,300.0,0a7e666b-084b-426f-92da-2a862077f13b,"100.0, 150.0, 200.0, 250.0, 300.0","100.0, 150.0, 200.0, 250.0, 300.0"
50,Peter Schmidt from Germany,150.0,300.0,225.0,300.0,0a7e666b-084b-426f-92da-2a862077f13b,"150.0, 200.0, 250.0, 300.0","150.0, 200.0, 250.0, 300.0"
50,Yi-Nuo Wang from China,800.0,900.0,850.0,850.0,11b6628a-5772-41ff-8ed2-d4e1831368e7,"1000.0, 800.0, 900.0, 950.0, 850.0","800.0, 900.0, 850.0"
50,Peter Schmidt from Germany,950.0,1000.0,975.0,950.0,11b6628a-5772-41ff-8ed2-d4e1831368e7,"1000.0, 950.0","1000.0, 950.0"
50,Yi-Nuo Wang from China,800.0,1000.0,933.3333333333334,1000.0,1495a656-8960-411f-babe-a7606956a875,"800.0, 1000.0, 1000.0","800.0, 1000.0, 1000.0"
50,Peter Schmidt from Germany,1200.0,1200.0,1200.0,1200.0,1495a656-8960-411f-babe-a7606956a875,1200.0,1200.0
50,Yi-Nuo Wang from China,800.0,1000.0,925.0,1000.0,220aac28-c809-46f3-82c5-ed60299981cd,"800.0, 900.0, 950.0, 975.0, 1000.0","800.0, 900.0, 950.0, 975.0, 1000.0"
50,Peter Schmidt from Germany,900.0,1000.0,956.25,1000.0,220aac28-c809-46f3-82c5-ed60299981cd,"900.0, 950.0, 975.0, 1000.0","900.0, 950.0, 975.0, 1000.0"
50,Yi-Nuo Wang from China,750.0,800.0,775.0,800.0,3c073ed6-f0d3-4da3-a5ad-7eac43efb18e,"750.0, 800.0","750.0, 800.0"
50,Peter Schmidt from Germany,0,0,0,0,3c073ed6-f0d3-4da3-a5ad-7eac43efb18e,,
50,Yi-Nuo Wang from China,1400.0,1475.0,1441.6666666666667,1475.0,4af1f98b-6952-46ec-a793-3989a3c0c812,"1400.0, 1450.0, 1475.0","1400.0, 1450.0, 1475.0"
50,Peter Schmidt from Germany,1500.0,1500.0,1500.0,1500.0,4af1f98b-6952-46ec-a793-3989a3c0c812,"1500.0, 1400.0, 1500.0, 1500.0, 1500.0","1500.0, 1500.0, 1500.0, 1500.0"
