Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,400.0,550.0,470.0,550.0,22a291f4-7ec7-4e69-b784-1de61ad79dca,"400.0, 450.0, 550.0, 480.0, 480.0, 550.0","400.0, 450.0, 480.0, 550.0"
50,Peter Schmidt from Germany,550.0,550.0,550.0,550.0,22a291f4-7ec7-4e69-b784-1de61ad79dca,"550.0, 550.0, 480.0, 550.0","550.0, 550.0, 550.0"
50,Emilia Müller from Germany,575.0,600.0,584.0,575.0,28a545dc-fe50-4b4d-97f9-c2efba04aa9f,"600.0, 590.0, 580.0, 575.0, 585.0, 575.0","600.0, 590.0, 580.0, 575.0, 575.0"
50,Peter Schmidt from Germany,580.0,600.0,588.75,585.0,28a545dc-fe50-4b4d-97f9-c2efba04aa9f,"600.0, 590.0, 580.0, 575.0, 585.0","600.0, 590.0, 580.0, 585.0"
50,Emilia Müller from Germany,400.0,450.0,425.0,450.0,35ed50b0-b137-4933-83b0-10e497ab098d,"400.0, 450.0","400.0, 450.0"
50,Peter Schmidt from Germany,475.0,500.0,483.3333333333333,475.0,35ed50b0-b137-4933-83b0-10e497ab098d,"400.0, 500.0, 475.0, 475.0","500.0, 475.0, 475.0"
50,Emilia Müller from Germany,1.0,600.0,275.75,2.0,3d7cbe96-31b3-4b58-936c-0a48b6af1b63,"500.0, 600.0, 600.0, 1.0, 650.0, 2.0","500.0, 600.0, 1.0, 2.0"
50,Peter Schmidt from Germany,600.0,700.0,650.0,650.0,3d7cbe96-31b3-4b58-936c-0a48b6af1b63,"700.0, 600.0, 650.0, 650.0","700.0, 600.0, 650.0, 650.0"
50,Emilia Müller from Germany,300.0,450.0,402.0,430.0,43d319d4-e8c0-4838-802c-1c085d2f3e48,"300.0, 400.0, 450.0, 430.0, 450.0, 430.0","300.0, 400.0, 430.0, 450.0, 430.0"
50,Peter Schmidt from Germany,430.0,500.0,457.5,430.0,43d319d4-e8c0-4838-802c-1c085d2f3e48,"300.0, 500.0, 400.0, 450.0, 450.0, 430.0, 430.0","500.0, 450.0, 450.0, 430.0"
50,Emilia Müller from Germany,400.0,550.0,475.0,550.0,45371515-9f8d-440e-98f6-d8e9cbd7f424,"400.0, 450.0, 500.0, 550.0","400.0, 450.0, 500.0, 550.0"
50,Peter Schmidt from Germany,400.0,550.0,475.0,550.0,45371515-9f8d-440e-98f6-d8e9cbd7f424,"400.0, 450.0, 500.0, 550.0","400.0, 450.0, 500.0, 550.0"
50,Emilia Müller from Germany,500.0,575.0,555.0,575.0,4727bf03-a481-4dad-a5ac-429036ebff2b,"500.0, 550.0, 575.0, 575.0, 575.0","500.0, 550.0, 575.0, 575.0, 575.0"
50,Peter Schmidt from Germany,500.0,600.0,556.25,575.0,4727bf03-a481-4dad-a5ac-429036ebff2b,"500.0, 550.0, 600.0, 575.0","500.0, 550.0, 600.0, 575.0"
50,Emilia Müller from Germany,400.0,500.0,450.0,500.0,4e18ca2b-4d07-4dd9-81d8-361fc643cc46,"400.0, 450.0, 500.0","400.0, 450.0, 500.0"
50,Peter Schmidt from Germany,550.0,550.0,550.0,550.0,4e18ca2b-4d07-4dd9-81d8-361fc643cc46,"550.0, 450.0, 550.0, 500.0, 550.0, 550.0","550.0, 550.0, 550.0, 550.0"
50,Emilia Müller from Germany,650.0,825.0,745.0,825.0,67f2c689-ceb2-433b-b224-688279a055b8,"650.0, 700.0, 750.0, 800.0, 825.0","650.0, 700.0, 750.0, 800.0, 825.0"
50,Peter Schmidt from Germany,700.0,825.0,768.75,825.0,67f2c689-ceb2-433b-b224-688279a055b8,"700.0, 750.0, 800.0, 825.0","700.0, 750.0, 800.0, 825.0"
50,Emilia Müller from Germany,450.0,500.0,475.0,500.0,69934d54-d63b-4a83-ba9f-f196210762b9,"450.0, 500.0","450.0, 500.0"
50,Peter Schmidt from Germany,550.0,600.0,566.6666666666666,550.0,69934d54-d63b-4a83-ba9f-f196210762b9,"600.0, 500.0, 550.0, 550.0","600.0, 550.0, 550.0"
50,Emilia Müller from Germany,400.0,500.0,450.0,500.0,73b2a4df-8529-4aa9-8cba-56cdeddee7ed,"400.0, 450.0, 450.0, 500.0","400.0, 450.0, 450.0, 500.0"
50,Peter Schmidt from Germany,500.0,550.0,525.0,500.0,73b2a4df-8529-4aa9-8cba-56cdeddee7ed,"550.0, 550.0, 450.0, 500.0, 500.0","550.0, 550.0, 500.0, 500.0"
