Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Emilia Müller from Germany,600.0,750.0,675.0,750.0,1313b907-1b18-4ccd-83b3-7e5fad79cbc5,"600.0, 650.0, 700.0, 750.0","600.0, 650.0, 700.0, 750.0"
50,Peter Schmidt from Germany,650.0,750.0,716.6666666666666,750.0,1313b907-1b18-4ccd-83b3-7e5fad79cbc5,"650.0, 700.0, 750.0, 750.0","650.0, 750.0, 750.0"
50,Emilia Müller from Germany,500.0,860.0,757.0,860.0,1c10f28e-9ae4-46be-8d0b-543fb3820a91,"500.0, 750.0, 825.0, 875.0, 850.0, 860.0","500.0, 750.0, 825.0, 850.0, 860.0"
50,Peter Schmidt from Germany,500.0,900.0,799.0,860.0,1c10f28e-9ae4-46be-8d0b-543fb3820a91,"500.0, 750.0, 900.0, 825.0, 875.0, 850.0, 860.0, 860.0","500.0, 900.0, 875.0, 860.0, 860.0"
50,Emilia Müller from Germany,600.0,750.0,683.3333333333334,750.0,1c1628ca-596a-4872-8342-2d9e6b58dfde,"600.0, 700.0, 750.0","600.0, 700.0, 750.0"
50,Peter Schmidt from Germany,600.0,850.0,770.0,850.0,1c1628ca-596a-4872-8342-2d9e6b58dfde,"600.0, 700.0, 750.0, 850.0, 850.0, 800.0, 850.0","600.0, 700.0, 850.0, 850.0, 850.0"
50,Emilia Müller from Germany,500.0,750.0,637.5,750.0,32a6fb60-42a1-4b42-937e-f37445f17c07,"500.0, 600.0, 700.0, 750.0","500.0, 600.0, 700.0, 750.0"
50,Peter Schmidt from Germany,600.0,800.0,725.0,775.0,32a6fb60-42a1-4b42-937e-f37445f17c07,"600.0, 700.0, 800.0, 775.0","600.0, 800.0, 775.0"
50,Emilia Müller from Germany,500.0,725.0,630.0,725.0,56b60f93-f493-4539-906c-321c5dac58d7,"500.0, 575.0, 625.0, 625.0, 725.0, 625.0, 725.0","500.0, 575.0, 625.0, 725.0, 725.0"
50,Peter Schmidt from Germany,650.0,725.0,691.6666666666666,725.0,56b60f93-f493-4539-906c-321c5dac58d7,"500.0, 650.0, 575.0, 700.0, 625.0, 725.0","650.0, 700.0, 725.0"
50,Emilia Müller from Germany,600.0,775.0,706.25,775.0,60575558-bd77-42b6-a2ad-5dc7954c486f,"600.0, 700.0, 800.0, 750.0, 775.0","600.0, 700.0, 750.0, 775.0"
50,Peter Schmidt from Germany,775.0,800.0,783.3333333333334,775.0,60575558-bd77-42b6-a2ad-5dc7954c486f,"700.0, 800.0, 750.0, 775.0, 775.0","800.0, 775.0, 775.0"
50,Emilia Müller from Germany,450.0,530.0,501.25,530.0,630476fe-7b33-4109-b16c-d8bde75f3bca,"450.0, 500.0, 525.0, 530.0","450.0, 500.0, 525.0, 530.0"
50,Peter Schmidt from Germany,537.5,600.0,562.5,550.0,630476fe-7b33-4109-b16c-d8bde75f3bca,"450.0, 600.0, 500.0, 600.0, 550.0, 525.0, 550.0, 537.5, 530.0, 550.0, 550.0","600.0, 600.0, 550.0, 550.0, 537.5, 550.0, 550.0"
50,Emilia Müller from Germany,600.0,750.0,683.3333333333334,750.0,6df78321-36de-4abb-81c2-87ba200eb4c1,"600.0, 850.0, 700.0, 750.0, 750.0","600.0, 700.0, 750.0"
50,Peter Schmidt from Germany,750.0,850.0,783.3333333333334,750.0,6df78321-36de-4abb-81c2-87ba200eb4c1,"850.0, 700.0, 750.0, 750.0","850.0, 750.0, 750.0"
50,Emilia Müller from Germany,500.0,600.0,550.0,600.0,70fb88b3-9aab-46d3-ab06-088ecd4f5ca6,"500.0, 600.0","500.0, 600.0"
50,Peter Schmidt from Germany,600.0,700.0,633.3333333333334,600.0,70fb88b3-9aab-46d3-ab06-088ecd4f5ca6,"500.0, 700.0, 600.0, 600.0","700.0, 600.0, 600.0"
50,Emilia Müller from Germany,800.0,850.0,833.3333333333334,850.0,7ea003e5-f5b0-4b20-bcc0-357f983dc1d6,"800.0, 900.0, 850.0, 875.0, 850.0","800.0, 850.0, 850.0"
50,Peter Schmidt from Germany,850.0,900.0,875.0,850.0,7ea003e5-f5b0-4b20-bcc0-357f983dc1d6,"800.0, 900.0, 850.0, 875.0, 850.0, 850.0","900.0, 875.0, 850.0"
50,Emilia Müller from Germany,500.0,500.0,500.0,500.0,83daa717-dcd3-43aa-bbc1-77cf8a0cc99e,500.0,500.0
50,Peter Schmidt from Germany,750.0,800.0,766.6666666666666,750.0,83daa717-dcd3-43aa-bbc1-77cf8a0cc99e,"800.0, 750.0, 750.0","800.0, 750.0, 750.0"
50,Emilia Müller from Germany,400.0,500.0,465.0,500.0,86b4af2e-6218-44db-adfb-beb96eae33e8,"400.0, 450.0, 475.0, 500.0, 500.0","400.0, 450.0, 475.0, 500.0, 500.0"
