Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Maryam Abbasi from Iran,400.0,460.0,436.6666666666667,460.0,29ea1236-165e-438b-adb5-409742f64a1c,"400.0, 450.0, 460.0","400.0, 450.0, 460.0"
50,Peter Schmidt from Germany,400.0,600.0,490.0,460.0,29ea1236-165e-438b-adb5-409742f64a1c,"400.0, 450.0, 600.0, 500.0, 460.0","400.0, 600.0, 500.0, 460.0"
50,Maryam Abbasi from Iran,500.0,570.0,545.0,570.0,40a0e55f-5afe-4378-8cda-c9f62dda6bfe,"500.0, 550.0, 560.0, 570.0","500.0, 550.0, 560.0, 570.0"
50,Peter Schmidt from Germany,570.0,600.0,586.25,570.0,40a0e55f-5afe-4378-8cda-c9f62dda6bfe,"500.0, 600.0, 550.0, 600.0, 575.0, 570.0","600.0, 600.0, 575.0, 570.0"
50,Maryam Abbasi from Iran,500.0,700.0,625.0,700.0,4dd3da25-fe49-4d5d-94ef-29bdfa75e691,"500.0, 600.0, 800.0, 700.0, 700.0","500.0, 600.0, 700.0, 700.0"
50,Peter Schmidt from Germany,500.0,800.0,675.0,700.0,4dd3da25-fe49-4d5d-94ef-29bdfa75e691,"500.0, 600.0, 800.0, 700.0, 700.0, 700.0","500.0, 800.0, 700.0, 700.0"
50,Maryam Abbasi from Iran,500.0,540.0,525.0,540.0,51a37fa8-b1b4-42ef-958d-672a37c6f454,"500.0, 525.0, 535.0, 540.0","500.0, 525.0, 535.0, 540.0"
50,Peter Schmidt from Germany,540.0,550.0,547.5,540.0,51a37fa8-b1b4-42ef-958d-672a37c6f454,"500.0, 550.0, 525.0, 550.0, 535.0, 550.0, 540.0","550.0, 550.0, 550.0, 540.0"
50,Maryam Abbasi from Iran,500.0,600.0,556.25,600.0,51b151f3-53d7-4c29-98b1-b5b51f99c2f2,"500.0, 550.0, 625.0, 575.0, 600.0","500.0, 550.0, 575.0, 600.0"
50,Peter Schmidt from Germany,600.0,700.0,650.0,600.0,51b151f3-53d7-4c29-98b1-b5b51f99c2f2,"700.0, 550.0, 700.0, 625.0, 575.0, 625.0, 600.0","700.0, 700.0, 625.0, 625.0, 600.0"
50,Maryam Abbasi from Iran,800.0,925.0,868.75,925.0,540264b7-fe92-4713-a43c-5654ae5c851b,"800.0, 1000.0, 850.0, 950.0, 900.0, 925.0","800.0, 850.0, 900.0, 925.0"
50,Peter Schmidt from Germany,950.0,1000.0,962.5,950.0,540264b7-fe92-4713-a43c-5654ae5c851b,"800.0, 1000.0, 850.0, 950.0, 900.0, 950.0, 925.0, 950.0","1000.0, 950.0, 950.0, 950.0"
50,Maryam Abbasi from Iran,500.0,675.0,606.25,675.0,58fb8f50-57bf-4885-9e5c-cb4ba3e5f8d6,"500.0, 750.0, 600.0, 700.0, 650.0, 675.0","500.0, 600.0, 650.0, 675.0"
50,Peter Schmidt from Germany,675.0,750.0,700.0,675.0,58fb8f50-57bf-4885-9e5c-cb4ba3e5f8d6,"500.0, 750.0, 600.0, 700.0, 650.0, 675.0, 675.0","750.0, 700.0, 675.0, 675.0"
50,Maryam Abbasi from Iran,500.0,900.0,661.1111111111111,750.0,62e4f0d4-31fd-4107-a986-bef0621d8d27,"500.0, 550.0, 700.0, 600.0, 800.0, 550.0, 800.0, 650.0, 900.0, 650.0, 900.0, 750.0","500.0, 550.0, 600.0, 550.0, 800.0, 650.0, 650.0, 900.0, 750.0"
50,Peter Schmidt from Germany,600.0,1000.0,800.0,1000.0,62e4f0d4-31fd-4107-a986-bef0621d8d27,"600.0, 550.0, 700.0, 600.0, 800.0, 650.0, 900.0, 750.0, 1000.0","600.0, 700.0, 800.0, 900.0, 1000.0"
50,Maryam Abbasi from Iran,500.0,680.0,607.5,680.0,8cf7d52e-4e52-489c-929a-9198c29dc135,"500.0, 750.0, 600.0, 700.0, 650.0, 680.0, 680.0","500.0, 600.0, 650.0, 680.0"
50,Peter Schmidt from Germany,650.0,750.0,692.0,680.0,8cf7d52e-4e52-489c-929a-9198c29dc135,"500.0, 750.0, 600.0, 700.0, 650.0, 650.0, 680.0, 680.0","750.0, 700.0, 650.0, 680.0, 680.0"
50,Maryam Abbasi from Iran,500.0,645.0,592.5,645.0,911eaacf-4d1d-4ab8-808c-7ca4cc1bdc69,"500.0, 600.0, 650.0, 625.0, 645.0, 645.0","500.0, 600.0, 625.0, 645.0"
50,Peter Schmidt from Germany,645.0,750.0,681.6666666666666,645.0,911eaacf-4d1d-4ab8-808c-7ca4cc1bdc69,"500.0, 750.0, 600.0, 650.0, 625.0, 645.0","750.0, 650.0, 645.0"
50,Maryam Abbasi from Iran,350.0,450.0,400.0,450.0,95b07249-4ae3-4229-b6f1-1ec256df86ac,"350.0, 400.0, 450.0","350.0, 400.0, 450.0"
50,Peter Schmidt from Germany,400.0,550.0,475.0,550.0,95b07249-4ae3-4229-b6f1-1ec256df86ac,"400.0, 550.0","400.0, 550.0"
50,Maryam Abbasi from Iran,500.0,700.0,625.0,700.0,99bd7809-c803-4970-a839-cddb00bbcb0a,"500.0, 800.0, 600.0, 700.0, 700.0","500.0, 600.0, 700.0, 700.0"
50,Peter Schmidt from Germany,700.0,800.0,733.3333333333334,700.0,99bd7809-c803-4970-a839-cddb00bbcb0a,"800.0, 600.0, 700.0, 700.0","800.0, 700.0, 700.0"
50,Maryam Abbasi from Iran,500.0,700.0,628.0,660.0,a4213b30-e729-4931-a499-058f9ab5603f,"500.0, 600.0, 700.0, 630.0, 650.0, 660.0","500.0, 700.0, 630.0, 650.0, 660.0"
50,Peter Schmidt from Germany,650.0,700.0,684.1666666666666,695.0,a4213b30-e729-4931-a499-058f9ab5603f,"500.0, 700.0, 600.0, 700.0, 650.0, 630.0, 675.0, 650.0, 685.0, 660.0, 695.0","700.0, 700.0, 650.0, 675.0, 685.0, 695.0"
50,Maryam Abbasi from Iran,600.0,795.0,729.0,795.0,a59756e9-d2ff-4570-8dab-e07f29956467,"600.0, 725.0, 750.0, 775.0, 795.0","600.0, 725.0, 750.0, 775.0, 795.0"
50,Peter Schmidt from Germany,795.0,850.0,808.0,795.0,a59756e9-d2ff-4570-8dab-e07f29956467,"850.0, 800.0, 750.0, 800.0, 775.0, 795.0, 795.0","850.0, 800.0, 800.0, 795.0, 795.0"
