Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,400.0,485.0,452.5,485.0,1998969a-48f2-432d-b014-997db580ecb6,"400.0, 450.0, 475.0, 485.0","400.0, 450.0, 475.0, 485.0"
50,Peter Schmidt from Germany,490.0,500.0,495.0,490.0,1998969a-48f2-432d-b014-997db580ecb6,"500.0, 490.0","500.0, 490.0"
50,Yi-Nuo Wang from China,350.0,450.0,406.25,450.0,19e48243-9f50-4ddc-bccc-4d6886c6943a,"350.0, 400.0, 425.0, 450.0","350.0, 400.0, 425.0, 450.0"
50,Peter Schmidt from Germany,450.0,450.0,450.0,450.0,19e48243-9f50-4ddc-bccc-4d6886c6943a,"450.0, 450.0, 450.0","450.0, 450.0, 450.0"
50,Yi-Nuo Wang from China,400.0,480.0,443.3333333333333,480.0,1a2e8c89-a6b6-4d4c-9d1b-ba5fcf2ed8bf,"400.0, 450.0, 480.0","400.0, 450.0, 480.0"
50,Peter Schmidt from Germany,500.0,500.0,500.0,500.0,1a2e8c89-a6b6-4d4c-9d1b-ba5fcf2ed8bf,"450.0, 500.0",500.0
50,Yi-Nuo Wang from China,450.0,550.0,515.0,550.0,1ef2ecfd-fc73-4749-9859-9b26a764568c,"450.0, 500.0, 525.0, 550.0, 550.0","450.0, 500.0, 525.0, 550.0, 550.0"
50,Peter Schmidt from Germany,575.0,575.0,575.0,575.0,1ef2ecfd-fc73-4749-9859-9b26a764568c,575.0,575.0
50,Yi-Nuo Wang from China,350.0,385.0,370.0,385.0,4a6cbcdf-4576-4336-813f-5ba1a53aa38e,"350.0, 375.0, 385.0","350.0, 375.0, 385.0"
50,Peter Schmidt from Germany,390.0,400.0,394.0,390.0,4a6cbcdf-4576-4336-813f-5ba1a53aa38e,"400.0, 375.0, 400.0, 390.0, 385.0, 390.0, 390.0","400.0, 400.0, 390.0, 390.0, 390.0"
50,Yi-Nuo Wang from China,400.0,550.0,483.3333333333333,550.0,5e8e7d5e-f56a-45b2-a497-d81970173b94,"400.0, 500.0, 550.0","400.0, 500.0, 550.0"
50,Peter Schmidt from Germany,575.0,650.0,631.25,650.0,5e8e7d5e-f56a-45b2-a497-d81970173b94,"650.0, 500.0, 575.0, 650.0, 650.0","650.0, 575.0, 650.0, 650.0"
50,Yi-Nuo Wang from China,600.0,800.0,730.0,800.0,674918b8-56c6-44b9-b3ce-ad5ed6d3f1a4,"600.0, 700.0, 750.0, 800.0, 800.0","600.0, 700.0, 750.0, 800.0, 800.0"
50,Peter Schmidt from Germany,600.0,800.0,730.0,800.0,674918b8-56c6-44b9-b3ce-ad5ed6d3f1a4,"600.0, 700.0, 750.0, 800.0, 800.0","600.0, 700.0, 750.0, 800.0, 800.0"
50,Yi-Nuo Wang from China,400.0,475.0,450.0,475.0,6fc5846b-0a1b-4574-85c3-e7115e1e7846,"400.0, 450.0, 475.0, 475.0","400.0, 450.0, 475.0, 475.0"
50,Peter Schmidt from Germany,450.0,475.0,462.5,475.0,6fc5846b-0a1b-4574-85c3-e7115e1e7846,"450.0, 475.0","450.0, 475.0"
50,Yi-Nuo Wang from China,500.0,625.0,575.0,625.0,753e5bc8-3753-4836-bf4c-1147369b3701,"500.0, 600.0, 625.0","500.0, 600.0, 625.0"
50,Peter Schmidt from Germany,650.0,650.0,650.0,650.0,753e5bc8-3753-4836-bf4c-1147369b3701,"650.0, 650.0, 650.0, 650.0","650.0, 650.0, 650.0, 650.0"
50,Yi-Nuo Wang from China,300.0,400.0,350.0,400.0,75509f85-6175-4730-893e-8e88faa81c44,"300.0, 400.0","300.0, 400.0"
50,Peter Schmidt from Germany,300.0,425.0,362.5,425.0,75509f85-6175-4730-893e-8e88faa81c44,"300.0, 400.0, 425.0","300.0, 425.0"
50,Yi-Nuo Wang from China,400.0,450.0,425.0,450.0,7b1e6226-6f2b-4799-ba77-59684363343c,"400.0, 450.0","400.0, 450.0"
50,Peter Schmidt from Germany,475.0,500.0,483.3333333333333,475.0,7b1e6226-6f2b-4799-ba77-59684363343c,"500.0, 500.0, 475.0, 475.0","500.0, 475.0, 475.0"
50,Yi-Nuo Wang from China,350.0,490.0,434.0,490.0,8ab98a92-9520-4533-827d-535ae82bde93,"350.0, 400.0, 450.0, 480.0, 490.0","350.0, 400.0, 450.0, 480.0, 490.0"
50,Peter Schmidt from Germany,350.0,500.0,446.0,490.0,8ab98a92-9520-4533-827d-535ae82bde93,"350.0, 400.0, 450.0, 500.0, 480.0, 490.0, 490.0","350.0, 400.0, 500.0, 490.0, 490.0"
50,Yi-Nuo Wang from China,400.0,525.0,475.0,525.0,8c95c13a-e952-4354-83c3-f04a5494fdf2,"400.0, 500.0, 525.0","400.0, 500.0, 525.0"
50,Peter Schmidt from Germany,550.0,600.0,568.75,550.0,8c95c13a-e952-4354-83c3-f04a5494fdf2,"600.0, 500.0, 550.0, 575.0, 550.0","600.0, 550.0, 575.0, 550.0"
50,Yi-Nuo Wang from China,400.0,450.0,425.0,450.0,9279fd21-92ec-40d7-8518-249a66f6bcf5,"400.0, 450.0","400.0, 450.0"
50,Peter Schmidt from Germany,525.0,600.0,574.0,575.0,9279fd21-92ec-40d7-8518-249a66f6bcf5,"600.0, 450.0, 525.0, 500.0, 575.0, 550.0, 595.0, 575.0","600.0, 525.0, 575.0, 595.0, 575.0"
