Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,800.0,1100.0,940.0,1100.0,08346ef9-ea63-43d7-8ad7-f3dd56263914,"800.0, 850.0, 1000.0, 950.0, 1100.0, 1000.0, 1200.0, 1100.0","800.0, 850.0, 950.0, 1000.0, 1100.0"
50,Peter Schmidt from Germany,800.0,1300.0,1080.0,1300.0,08346ef9-ea63-43d7-8ad7-f3dd56263914,"800.0, 850.0, 1000.0, 1100.0, 1000.0, 1200.0, 1100.0, 1300.0","800.0, 1000.0, 1100.0, 1200.0, 1300.0"
50,Yi-Nuo Wang from China,750.0,750.0,750.0,750.0,088d1e21-0fdc-4d2e-b2c2-2c88e60e3980,"750.0, 750.0","750.0, 750.0"
50,Peter Schmidt from Germany,900.0,900.0,900.0,900.0,088d1e21-0fdc-4d2e-b2c2-2c88e60e3980,900.0,900.0
50,Yi-Nuo Wang from China,600.0,650.0,640.0,650.0,0999b484-7b31-4fbb-914d-d0ea00b5c737,"600.0, 750.0, 650.0, 650.0, 650.0, 650.0","600.0, 650.0, 650.0, 650.0, 650.0"
50,Peter Schmidt from Germany,700.0,750.0,710.0,700.0,0999b484-7b31-4fbb-914d-d0ea00b5c737,"750.0, 650.0, 700.0, 650.0, 700.0, 650.0, 700.0, 650.0, 700.0","750.0, 700.0, 700.0, 700.0, 700.0"
50,Yi-Nuo Wang from China,500.0,800.0,683.3333333333334,750.0,1656a587-96ed-4ea0-8676-6697f39c6402,"500.0, 500.0, 800.0, 750.0","500.0, 800.0, 750.0"
50,Peter Schmidt from Germany,650.0,700.0,683.3333333333334,700.0,1656a587-96ed-4ea0-8676-6697f39c6402,"800.0, 650.0, 700.0, 700.0","650.0, 700.0, 700.0"
50,Yi-Nuo Wang from China,500.0,575.0,541.6666666666666,575.0,18f23665-7a40-4aa3-af3b-c42514ba73d6,"500.0, 550.0, 575.0","500.0, 550.0, 575.0"
50,Peter Schmidt from Germany,550.0,600.0,575.0,575.0,18f23665-7a40-4aa3-af3b-c42514ba73d6,"500.0, 600.0, 550.0, 575.0","600.0, 550.0, 575.0"
50,Yi-Nuo Wang from China,500.0,700.0,630.0,700.0,19f0c5ee-47d7-4c18-9854-7bf82a4e4c42,"500.0, 600.0, 650.0, 750.0, 700.0, 700.0","500.0, 600.0, 650.0, 700.0, 700.0"
50,Peter Schmidt from Germany,700.0,750.0,725.0,700.0,19f0c5ee-47d7-4c18-9854-7bf82a4e4c42,"600.0, 700.0, 650.0, 750.0, 700.0, 750.0, 700.0","700.0, 750.0, 750.0, 700.0"
50,Yi-Nuo Wang from China,500.0,590.0,560.0,590.0,2ed99645-4d1c-49fb-ab48-accc32ffa6d4,"500.0, 550.0, 600.0, 575.0, 595.0, 585.0, 600.0, 590.0","500.0, 550.0, 575.0, 585.0, 590.0"
50,Peter Schmidt from Germany,500.0,600.0,579.0,600.0,2ed99645-4d1c-49fb-ab48-accc32ffa6d4,"500.0, 550.0, 600.0, 575.0, 595.0, 585.0, 600.0, 590.0, 600.0","500.0, 600.0, 595.0, 600.0, 600.0"
50,Yi-Nuo Wang from China,600.0,750.0,695.0,730.0,36d8d837-9db1-45d0-bd8d-ade6b8fb9cf9,"600.0, 850.0, 700.0, 750.0, 730.0","600.0, 700.0, 750.0, 730.0"
50,Peter Schmidt from Germany,730.0,850.0,765.0,730.0,36d8d837-9db1-45d0-bd8d-ade6b8fb9cf9,"850.0, 700.0, 750.0, 730.0, 730.0","850.0, 750.0, 730.0, 730.0"
50,Yi-Nuo Wang from China,700.0,750.0,725.0,750.0,3ead5129-e150-480c-aac0-4e5e993c17e2,"700.0, 750.0","700.0, 750.0"
50,Peter Schmidt from Germany,900.0,950.0,912.5,900.0,3ead5129-e150-480c-aac0-4e5e993c17e2,"950.0, 750.0, 900.0, 850.0, 900.0, 900.0","950.0, 900.0, 900.0, 900.0"
50,Yi-Nuo Wang from China,600.0,800.0,716.6666666666666,800.0,410e124c-ada2-4ee9-bacb-084ef7d6ae4d,"600.0, 750.0, 800.0","600.0, 750.0, 800.0"
50,Peter Schmidt from Germany,800.0,900.0,850.0,800.0,410e124c-ada2-4ee9-bacb-084ef7d6ae4d,"900.0, 750.0, 850.0, 800.0","900.0, 850.0, 800.0"
50,Yi-Nuo Wang from China,700.0,850.0,785.0,850.0,43fa4913-0f3b-40e1-a6e0-b9ea7b6845b6,"700.0, 750.0, 800.0, 825.0, 850.0","700.0, 750.0, 800.0, 825.0, 850.0"
50,Peter Schmidt from Germany,850.0,900.0,862.5,850.0,43fa4913-0f3b-40e1-a6e0-b9ea7b6845b6,"900.0, 750.0, 850.0, 800.0, 850.0, 850.0","900.0, 850.0, 850.0, 850.0"
50,Yi-Nuo Wang from China,600.0,950.0,800.0,950.0,54cfd55c-c770-4a3e-a452-160c463d80c1,"600.0, 800.0, 850.0, 950.0","600.0, 800.0, 850.0, 950.0"
50,Peter Schmidt from Germany,950.0,1000.0,966.6666666666666,950.0,54cfd55c-c770-4a3e-a452-160c463d80c1,"1000.0, 850.0, 950.0, 950.0","1000.0, 950.0, 950.0"
50,Yi-Nuo Wang from China,500.0,650.0,583.3333333333334,650.0,59b3e0df-678a-4949-83c3-86e64221ba06,"500.0, 600.0, 650.0","500.0, 600.0, 650.0"
50,Peter Schmidt from Germany,500.0,650.0,600.0,650.0,59b3e0df-678a-4949-83c3-86e64221ba06,"500.0, 600.0, 650.0, 650.0","500.0, 650.0, 650.0"
50,Yi-Nuo Wang from China,500.0,725.0,657.5,725.0,715070db-6999-4c7e-841d-7a39e7e07154,"500.0, 800.0, 650.0, 750.0, 700.0, 725.0, 712.5, 737.5, 725.0","500.0, 650.0, 700.0, 712.5, 725.0"
