Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,600.0,650.0,633.3333333333334,650.0,12910e18-7bae-4bb5-baae-3cca3b8a94bd,"600.0, 700.0, 650.0, 650.0, 650.0","600.0, 650.0, 650.0"
50,Peter Schmidt from Germany,650.0,700.0,666.6666666666666,650.0,12910e18-7bae-4bb5-baae-3cca3b8a94bd,"600.0, 700.0, 650.0, 650.0","700.0, 650.0, 650.0"
50,Farhad Abbasi from Iran,800.0,975.0,920.0,975.0,21943dc2-cacb-49c4-ac63-2275d51715b8,"800.0, 900.0, 950.0, 1000.0, 975.0, 975.0","800.0, 900.0, 950.0, 975.0, 975.0"
50,Peter Schmidt from Germany,800.0,1050.0,945.0,1050.0,21943dc2-cacb-49c4-ac63-2275d51715b8,"800.0, 900.0, 950.0, 1000.0, 975.0, 975.0, 1050.0","800.0, 900.0, 1000.0, 975.0, 1050.0"
50,Farhad Abbasi from Iran,700.0,850.0,787.5,800.0,2ef5a801-c681-4584-9924-ee36e7a6d8f6,"700.0, 900.0, 800.0, 950.0, 850.0, 900.0, 800.0","700.0, 800.0, 850.0, 800.0"
50,Peter Schmidt from Germany,800.0,950.0,896.4285714285714,875.0,2ef5a801-c681-4584-9924-ee36e7a6d8f6,"700.0, 900.0, 800.0, 950.0, 950.0, 850.0, 900.0, 900.0, 800.0, 875.0","900.0, 950.0, 950.0, 900.0, 900.0, 800.0, 875.0"
50,Farhad Abbasi from Iran,800.0,975.0,915.0,950.0,3de8a889-4a13-4174-a62e-b95043e49f0b,"800.0, 1000.0, 900.0, 950.0, 975.0, 1000.0, 950.0","800.0, 900.0, 950.0, 975.0, 950.0"
50,Peter Schmidt from Germany,1000.0,1050.0,1010.0,1000.0,3de8a889-4a13-4174-a62e-b95043e49f0b,"800.0, 1000.0, 900.0, 1050.0, 1000.0, 1000.0, 950.0, 1000.0","1000.0, 1050.0, 1000.0, 1000.0, 1000.0"
50,Farhad Abbasi from Iran,750.0,775.0,765.625,775.0,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,"750.0, 765.0, 780.0, 772.5, 775.0","750.0, 765.0, 772.5, 775.0"
50,Peter Schmidt from Germany,750.0,780.0,768.3333333333334,775.0,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,"750.0, 765.0, 780.0, 772.5, 775.0","750.0, 780.0, 775.0"
50,Farhad Abbasi from Iran,900.0,950.0,925.0,950.0,53703740-4e83-431b-a3d3-3754520dff80,"900.0, 950.0","900.0, 950.0"
50,Peter Schmidt from Germany,950.0,1000.0,966.6666666666666,950.0,53703740-4e83-431b-a3d3-3754520dff80,"1000.0, 900.0, 950.0, 950.0","1000.0, 950.0, 950.0"
50,Farhad Abbasi from Iran,800.0,1000.0,900.0,950.0,540e4c35-1e56-4e69-b015-ac18f1bf851f,"800.0, 800.0, 1000.0, 950.0, 950.0","800.0, 800.0, 1000.0, 950.0, 950.0"
50,Peter Schmidt from Germany,800.0,1000.0,925.0,950.0,540e4c35-1e56-4e69-b015-ac18f1bf851f,"800.0, 800.0, 1000.0, 950.0, 950.0","800.0, 1000.0, 950.0, 950.0"
50,Farhad Abbasi from Iran,650.0,700.0,690.0,700.0,5852a6c1-6b17-41f8-a0c6-3c6621219006,"650.0, 700.0, 700.0, 700.0, 700.0","650.0, 700.0, 700.0, 700.0, 700.0"
50,Peter Schmidt from Germany,650.0,700.0,687.5,700.0,5852a6c1-6b17-41f8-a0c6-3c6621219006,"650.0, 700.0, 700.0, 700.0","650.0, 700.0, 700.0, 700.0"
50,Farhad Abbasi from Iran,700.0,780.0,757.0,780.0,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,"700.0, 800.0, 750.0, 775.0, 790.0, 780.0, 780.0, 780.0","700.0, 750.0, 775.0, 780.0, 780.0"
50,Peter Schmidt from Germany,750.0,800.0,780.0,780.0,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,"700.0, 800.0, 750.0, 775.0, 790.0, 780.0","800.0, 750.0, 790.0, 780.0"
50,Farhad Abbasi from Iran,400.0,450.0,433.3333333333333,450.0,64d42b30-134e-4f2e-80f6-06e95002324b,"400.0, 450.0, 450.0","400.0, 450.0, 450.0"
50,Peter Schmidt from Germany,400.0,450.0,425.0,450.0,64d42b30-134e-4f2e-80f6-06e95002324b,"400.0, 450.0","400.0, 450.0"
50,Farhad Abbasi from Iran,0,0,0,0,73f33ef6-0525-4dac-bb78-3dd487b0c59c,,
50,Peter Schmidt from Germany,800.0,800.0,800.0,800.0,73f33ef6-0525-4dac-bb78-3dd487b0c59c,800.0,800.0
50,Farhad Abbasi from Iran,1000.0,1100.0,1033.3333333333333,1100.0,776545e9-9c2b-4079-8745-b76012cf7a42,"1000.0, 1000.0, 1100.0, 1100.0","1000.0, 1000.0, 1100.0"
50,Peter Schmidt from Germany,1100.0,1200.0,1150.0,1100.0,776545e9-9c2b-4079-8745-b76012cf7a42,"1200.0, 1000.0, 1200.0, 1000.0, 1100.0, 1100.0","1200.0, 1200.0, 1100.0, 1100.0"
50,Farhad Abbasi from Iran,600.0,600.0,600.0,600.0,790daae2-5cd3-4761-8dc3-24cc9719d6b4,600.0,600.0
50,Peter Schmidt from Germany,600.0,600.0,600.0,600.0,790daae2-5cd3-4761-8dc3-24cc9719d6b4,600.0,600.0
50,Farhad Abbasi from Iran,600.0,750.0,675.0,750.0,b0a626d6-f285-49cc-ac41-de32c8ccaf12,"600.0, 650.0, 700.0, 750.0","600.0, 650.0, 700.0, 750.0"
50,Peter Schmidt from Germany,600.0,750.0,675.0,750.0,b0a626d6-f285-49cc-ac41-de32c8ccaf12,"600.0, 650.0, 700.0, 750.0, 750.0","600.0, 650.0, 700.0, 750.0"
50,Farhad Abbasi from Iran,800.0,950.0,883.3333333333334,950.0,b373b6a9-6238-4003-b143-68d18c7a1876,"800.0, 1000.0, 900.0, 950.0","800.0, 900.0, 950.0"
50,Peter Schmidt from Germany,950.0,1000.0,966.6666666666666,950.0,b373b6a9-6238-4003-b143-68d18c7a1876,"800.0, 1000.0, 900.0, 950.0, 950.0, 950.0","1000.0, 950.0, 950.0"
50,Farhad Abbasi from Iran,1000.0,1050.0,1033.3333333333333,1050.0,b3ca534a-25f9-4bc6-8849-db2ae725a2ee,"1000.0, 1100.0, 1050.0, 1050.0","1000.0, 1050.0, 1050.0"
50,Peter Schmidt from Germany,1050.0,1200.0,1116.6666666666667,1050.0,b3ca534a-25f9-4bc6-8849-db2ae725a2ee,"1200.0, 1200.0, 1100.0, 1050.0, 1050.0","1200.0, 1100.0, 1050.0"
50,Farhad Abbasi from Iran,850.0,890.0,874.0,890.0,b99c3de5-e8cf-4727-a724-9fd436d64aae,"850.0, 875.0, 890.0, 875.0, 880.0, 895.0, 890.0","850.0, 875.0, 875.0, 880.0, 890.0"
50,Peter Schmidt from Germany,850.0,900.0,888.3333333333334,900.0,b99c3de5-e8cf-4727-a724-9fd436d64aae,"850.0, 875.0, 900.0, 890.0, 880.0, 895.0, 895.0, 890.0, 900.0","850.0, 900.0, 890.0, 895.0, 895.0, 900.0"
50,Farhad Abbasi from Iran,650.0,725.0,687.5,725.0,bca1df7f-4798-4b48-9d04-895f0e9c1151,"650.0, 725.0, 725.0","650.0, 725.0"
50,Peter Schmidt from Germany,725.0,800.0,750.0,725.0,bca1df7f-4798-4b48-9d04-895f0e9c1151,"800.0, 650.0, 725.0, 725.0","800.0, 725.0, 725.0"
50,Farhad Abbasi from Iran,900.0,1000.0,950.0,1000.0,c4c3f483-97c5-4d3d-8acd-3b7c47961f9d,"900.0, 1200.0, 1000.0","900.0, 1000.0"
50,Peter Schmidt from Germany,1200.0,1200.0,1200.0,1200.0,c4c3f483-97c5-4d3d-8acd-3b7c47961f9d,"1200.0, 1200.0, 1200.0, 1000.0, 1200.0","1200.0, 1200.0, 1200.0, 1200.0"
50,Farhad Abbasi from Iran,550.0,590.0,571.6666666666666,590.0,c65fd1eb-8621-4023-8dda-d355dc713e36,"750.0, 550.0, 650.0, 575.0, 625.0, 590.0","550.0, 575.0, 590.0"
50,Peter Schmidt from Germany,600.0,750.0,656.25,600.0,c65fd1eb-8621-4023-8dda-d355dc713e36,"750.0, 550.0, 650.0, 575.0, 625.0, 590.0, 600.0","750.0, 650.0, 625.0, 600.0"
50,Farhad Abbasi from Iran,650.0,750.0,700.0,700.0,cb2c4725-0c4b-4489-a957-e7e5b89e1d6b,"750.0, 650.0, 700.0","750.0, 650.0, 700.0"
50,Peter Schmidt from Germany,700.0,750.0,716.6666666666666,700.0,cb2c4725-0c4b-4489-a957-e7e5b89e1d6b,"750.0, 650.0, 700.0, 700.0","750.0, 700.0, 700.0"
50,Farhad Abbasi from Iran,700.0,825.0,787.5,825.0,d8a8edf1-b02e-4012-9c09-27cc3adb979f,"700.0, 900.0, 800.0, 850.0, 825.0, 825.0","700.0, 800.0, 825.0, 825.0"
50,Peter Schmidt from Germany,825.0,900.0,850.0,825.0,d8a8edf1-b02e-4012-9c09-27cc3adb979f,"700.0, 900.0, 800.0, 850.0, 825.0, 825.0, 825.0","900.0, 850.0, 825.0, 825.0"
