Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Farhad Abbasi from Iran,500.0,700.0,631.25,700.0,0cea06d8-f425-407c-95dd-d23a75e5efae,"500.0, 650.0, 725.0, 675.0, 700.0, 700.0","500.0, 650.0, 675.0, 700.0"
50,Peter Schmidt from Germany,700.0,800.0,731.25,700.0,0cea06d8-f425-407c-95dd-d23a75e5efae,"800.0, 650.0, 725.0, 675.0, 700.0, 700.0","800.0, 725.0, 700.0, 700.0"
50,Farhad Abbasi from Iran,650.0,650.0,650.0,650.0,16e62268-8f79-49d1-9f94-04b312e4eff6,"650.0, 650.0","650.0, 650.0"
50,Peter Schmidt from Germany,650.0,650.0,650.0,650.0,16e62268-8f79-49d1-9f94-04b312e4eff6,650.0,650.0
50,Farhad Abbasi from Iran,500.0,675.0,617.0,675.0,195184b1-65a6-4786-b67f-eca191869b18,"500.0, 600.0, 700.0, 650.0, 675.0, 660.0, 675.0","500.0, 600.0, 650.0, 660.0, 675.0"
50,Peter Schmidt from Germany,675.0,800.0,705.0,675.0,195184b1-65a6-4786-b67f-eca191869b18,"500.0, 800.0, 600.0, 700.0, 650.0, 675.0, 660.0, 675.0, 675.0","800.0, 700.0, 675.0, 675.0, 675.0"
50,Farhad Abbasi from Iran,750.0,775.0,766.6666666666666,775.0,1adb9504-619c-447a-97ba-38e3eb0107ba,"750.0, 775.0, 775.0, 775.0","750.0, 775.0, 775.0"
50,Peter Schmidt from Germany,775.0,800.0,783.3333333333334,775.0,1adb9504-619c-447a-97ba-38e3eb0107ba,"800.0, 750.0, 775.0, 775.0","800.0, 775.0, 775.0"
50,Farhad Abbasi from Iran,700.0,750.0,725.0,750.0,2c6b1e75-cfc2-43e9-b407-34e9dfb4f165,"650.0, 700.0, 750.0","700.0, 750.0"
50,Peter Schmidt from Germany,700.0,800.0,766.6666666666666,750.0,2c6b1e75-cfc2-43e9-b407-34e9dfb4f165,"800.0, 800.0, 650.0, 700.0, 750.0, 800.0, 750.0","800.0, 800.0, 700.0, 750.0, 800.0, 750.0"
50,Farhad Abbasi from Iran,850.0,1000.0,925.0,925.0,4ec98560-a733-4dd4-9dd0-b83268a4d6e3,"1000.0, 850.0, 925.0","1000.0, 850.0, 925.0"
50,Peter Schmidt from Germany,900.0,1000.0,941.6666666666666,900.0,4ec98560-a733-4dd4-9dd0-b83268a4d6e3,"1000.0, 850.0, 925.0, 25.0, 900.0","1000.0, 925.0, 900.0"
50,Farhad Abbasi from Iran,600.0,700.0,650.0,700.0,547feffe-91ab-4720-98c0-a129772e3165,"600.0, 650.0, 700.0, 700.0","600.0, 650.0, 700.0"
50,Peter Schmidt from Germany,600.0,700.0,650.0,700.0,547feffe-91ab-4720-98c0-a129772e3165,"600.0, 650.0, 700.0","600.0, 700.0"
50,Farhad Abbasi from Iran,650.0,700.0,675.0,700.0,60402d16-d174-4e43-854a-231f3d2ee3a3,"800.0, 650.0, 725.0, 675.0, 700.0, 700.0","650.0, 675.0, 700.0"
50,Peter Schmidt from Germany,700.0,800.0,731.25,700.0,60402d16-d174-4e43-854a-231f3d2ee3a3,"800.0, 650.0, 725.0, 675.0, 700.0, 700.0","800.0, 725.0, 700.0, 700.0"
50,Farhad Abbasi from Iran,650.0,650.0,650.0,650.0,64905349-a8d2-405e-9388-4158a52b0f04,650.0,650.0
50,Peter Schmidt from Germany,725.0,800.0,762.5,725.0,64905349-a8d2-405e-9388-4158a52b0f04,"800.0, 725.0","800.0, 725.0"
50,Farhad Abbasi from Iran,600.0,600.0,600.0,600.0,6e287874-fee9-4be7-bc96-c117e178f57f,600.0,600.0
50,Peter Schmidt from Germany,600.0,600.0,600.0,600.0,6e287874-fee9-4be7-bc96-c117e178f57f,600.0,600.0
50,Farhad Abbasi from Iran,650.0,735.0,708.0,735.0,6e4fabaf-bb5b-497d-a9e2-b1f7924c2b53,"650.0, 800.0, 700.0, 750.0, 725.0, 730.0, 730.0, 735.0, 735.0","650.0, 700.0, 725.0, 730.0, 735.0"
50,Peter Schmidt from Germany,735.0,800.0,752.0,735.0,6e4fabaf-bb5b-497d-a9e2-b1f7924c2b53,"650.0, 800.0, 700.0, 750.0, 725.0, 740.0, 730.0, 735.0, 735.0","800.0, 750.0, 740.0, 735.0, 735.0"
50,Farhad Abbasi from Iran,3.0,650.0,520.6,650.0,6ec9b578-9627-4997-9fd3-dbf0b48b87e1,"750.0, 650.0, 650.0, 650.0, 650.0, 650.0, 6.0, 3.0, 650.0","650.0, 650.0, 650.0, 3.0, 650.0"
50,Peter Schmidt from Germany,3.0,750.0,472.3333333333333,3.0,6ec9b578-9627-4997-9fd3-dbf0b48b87e1,"750.0, 650.0, 650.0, 750.0, 650.0, 6.0, 3.0, 675.0, 3.0","750.0, 650.0, 750.0, 6.0, 675.0, 3.0"
50,Farhad Abbasi from Iran,1200.0,1500.0,1333.3333333333333,1300.0,82346c6a-ed37-4223-ae1c-1ff3c10839df,"1500.0, 1400.0, 1200.0, 1300.0","1500.0, 1200.0, 1300.0"
50,Peter Schmidt from Germany,1300.0,1500.0,1375.0,1300.0,82346c6a-ed37-4223-ae1c-1ff3c10839df,"1500.0, 1400.0, 1200.0, 1300.0, 1300.0","1500.0, 1400.0, 1300.0, 1300.0"
50,Farhad Abbasi from Iran,12.0,800.0,602.0,750.0,872b3761-0b85-499a-847c-34f00889d493,"650.0, 800.0, 700.0, 12.0, 700.0, 12.0, 750.0","650.0, 800.0, 700.0, 700.0, 12.0, 750.0"
50,Peter Schmidt from Germany,12.0,800.0,592.4,12.0,872b3761-0b85-499a-847c-34f00889d493,"800.0, 700.0, 12.0, 700.0, 750.0, 750.0, 12.0","800.0, 700.0, 700.0, 750.0, 12.0"
50,Farhad Abbasi from Iran,450.0,525.0,500.0,525.0,8ef0c282-1257-400d-889b-76148999d907,"450.0, 525.0, 525.0","450.0, 525.0, 525.0"
50,Peter Schmidt from Germany,475.0,600.0,533.3333333333334,475.0,8ef0c282-1257-400d-889b-76148999d907,"600.0, 450.0, 525.0, 525.0, 475.0","600.0, 525.0, 475.0"
50,Farhad Abbasi from Iran,600.0,650.0,640.0,650.0,a598063a-09e9-40bf-ae69-f5926db1fcf6,"600.0, 700.0, 650.0, 650.0, 650.0, 675.0, 650.0","600.0, 650.0, 650.0, 650.0, 650.0"
50,Peter Schmidt from Germany,665.0,700.0,678.0,665.0,a598063a-09e9-40bf-ae69-f5926db1fcf6,"600.0, 700.0, 650.0, 675.0, 650.0, 675.0, 675.0, 665.0","700.0, 675.0, 675.0, 675.0, 665.0"
50,Farhad Abbasi from Iran,700.0,725.0,712.5,725.0,a63ad649-687f-4611-94d3-e60d3a75d9dc,"700.0, 725.0","700.0, 725.0"
50,Peter Schmidt from Germany,715.0,750.0,730.0,715.0,a63ad649-687f-4611-94d3-e60d3a75d9dc,"750.0, 700.0, 725.0, 715.0","750.0, 725.0, 715.0"
