Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Yi-Nuo Wang from China,700.0,750.0,733.3333333333334,750.0,011611ef-4cba-4297-9291-726dc587e9a8,"700.0, 750.0, 750.0, 750.0","700.0, 750.0, 750.0"
50,Peter Schmidt from Germany,700.0,750.0,733.3333333333334,750.0,011611ef-4cba-4297-9291-726dc587e9a8,"700.0, 750.0, 750.0, 750.0","700.0, 750.0, 750.0"
50,Yi-Nuo Wang from China,1200.0,1350.0,1283.3333333333333,1300.0,076e78b9-4fbd-4cb2-ae6d-b1953b0f4743,"1200.0, 1350.0, 1300.0","1200.0, 1350.0, 1300.0"
50,Peter Schmidt from Germany,1200.0,1500.0,1340.0,1300.0,076e78b9-4fbd-4cb2-ae6d-b1953b0f4743,"1500.0, 1200.0, 1350.0, 1350.0, 1300.0","1500.0, 1200.0, 1350.0, 1350.0, 1300.0"
50,Yi-Nuo Wang from China,1350.0,1350.0,1350.0,1350.0,142d48c9-8bfa-47ec-b3ab-a32581c0ab6a,1350.0,1350.0
50,Peter Schmidt from Germany,1350.0,1500.0,1400.0,1350.0,142d48c9-8bfa-47ec-b3ab-a32581c0ab6a,"1500.0, 1400.0, 1350.0, 1350.0","1500.0, 1400.0, 1350.0, 1350.0"
50,Yi-Nuo Wang from China,12.0,2000.0,1090.5,2000.0,1af08a2f-e186-4617-90b2-f1837c2a1d91,"1200.0, 1150.0, 12.0, 2000.0","1200.0, 1150.0, 12.0, 2000.0"
50,Peter Schmidt from Germany,12.0,2000.0,1090.5,2000.0,1af08a2f-e186-4617-90b2-f1837c2a1d91,"1200.0, 1200.0, 1150.0, 1150.0, 12.0, 2000.0","1200.0, 1150.0, 12.0, 2000.0"
50,Yi-Nuo Wang from China,1200.0,1350.0,1275.0,1350.0,290078b8-e495-4e99-bded-bcf1b2c7db29,"1200.0, 1350.0","1200.0, 1350.0"
50,Peter Schmidt from Germany,1350.0,1500.0,1400.0,1350.0,290078b8-e495-4e99-bded-bcf1b2c7db29,"1500.0, 1350.0, 1350.0","1500.0, 1350.0, 1350.0"
50,Yi-Nuo Wang from China,1150.0,1200.0,1166.6666666666667,1150.0,475e66c9-f9f9-4576-9a61-a2ace8ecb922,"1200.0, 1150.0, 1150.0, 1150.0","1200.0, 1150.0, 1150.0"
50,Peter Schmidt from Germany,1150.0,1200.0,1162.5,1150.0,475e66c9-f9f9-4576-9a61-a2ace8ecb922,"1200.0, 1150.0, 1150.0, 1150.0","1200.0, 1150.0, 1150.0, 1150.0"
50,Yi-Nuo Wang from China,1500.0,1500.0,1500.0,1500.0,47eb6f0a-9036-425e-9bf1-4f02f9f6ea87,1500.0,1500.0
50,Peter Schmidt from Germany,1500.0,1500.0,1500.0,1500.0,47eb6f0a-9036-425e-9bf1-4f02f9f6ea87,1500.0,1500.0
